rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1558538901687506537,1,0,0,"""MANAGER""",,1558538901,687634154,'',,0,0,'','','',False,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",'','',[],,0,0,'','',0.0,0,0,0.0,"""START""",0.0,'',0,0,0,0.0
1558538910854852515,1,1,3,"""SENSOR""",,1558538910,855136406,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""0.000000""",[],,1558538909,472365714,"""success""","""HUMAN""",7.784060466,0,1,100.0,'',7.784060466,'',0,0,0,nan
1558538921238471783,1,2,8,"""SENSOR""",,1558538921,238771355,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""5.315055""",[],,1558538919,858294786,"""success""","""HUMAN""",10.384504779,0,2,100.0,'',18.168565245,'',0,0,0,nan
1558538927256257962,1,3,11,"""SENSOR""",,1558538927,256574756,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""10.217493""",[],,1558538925,817748037,"""success""","""HUMAN""",5.959472989,0,3,100.0,'',24.128038234,'',0,0,0,nan
1558538934823680897,1,4,14,"""SENSOR""",,1558538934,823924857,'',,0,0,'','','',False,1,'',[],'',[],0,0,'','',"""15.641018""",[],,1558538933,398804556,"""success""","""HUMAN""",7.581014705,0,4,100.0,'',31.709052939,'',0,0,0,nan
1558538954494899836,1,5,19,"""SENSOR""",,1558538954,495128340,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""18.026196""",[],,1558538953,117160124,"""success""","""HUMAN""",19.71993114,0,5,100.0,'',51.428984079,'',0,0,0,nan
1558538960299723289,1,6,22,"""SENSOR""",,1558538960,299659600,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""22.640331""",[],,1558538958,877954417,"""success""","""HUMAN""",5.759151261,0,6,100.0,'',57.18813534,'',0,0,0,nan
1558538965332192704,1,7,25,"""SENSOR""",,1558538965,332009697,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""28.063856""",[],,1558538963,894500492,"""success""","""HUMAN""",5.016636055,0,7,100.0,'',62.204771395,'',0,0,0,nan
1558538971380591534,1,8,28,"""SENSOR""",,1558538971,380746073,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""33.487381""",[],,1558538969,935381732,"""success""","""HUMAN""",6.040842077,0,8,100.0,'',68.245613472,'',0,0,0,nan
1558538976271335139,1,9,31,"""SENSOR""",,1558538976,271437473,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""38.802437""",[],,1558538974,841362931,"""success""","""HUMAN""",4.906029888,0,9,100.0,'',73.15164336,'',0,0,0,nan
1558538982092674335,1,10,34,"""SENSOR""",,1558538982,92439162,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""44.336647""",[],,1558538980,615265434,"""fail""","""HUMAN""",5.773764299,1,9,90.0,'',78.925407659,'',0,1,0,100.0
1558538982092746524,1,10,34,"""MANAGER-TASK-DONE""",,1558538982,92561395,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""44.336647""",[],,1558538980,615265434,'','',0.0,1,9,90.0,"""success""",78.925407659,'',1,1,0,100.0
1558539085710028039,2,0,0,"""MANAGER""",,1558539085,709943655,'',,0,0,'','','',False,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",'','',[],,0,0,'','',0.0,0,0,0.0,"""START""",0.0,'',0,0,0,0.0
1558539099817186283,2,1,5,"""SENSOR""",,1558539099,817070553,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""0.000000""",[],,1558539098,418862258,"""success""","""HUMAN""",12.706881717,0,1,100.0,'',12.706881717,'',0,1,0,100.0
1558539107301014343,2,2,9,"""SENSOR""",,1558539107,300789595,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""4.708302""",[],,1558539105,880647997,"""fail""","""HUMAN""",7.463321853,1,1,50.0,'',20.17020357,'',0,1,0,100.0
1558539111795702107,2,3,11,"""SENSOR""",,1558539111,795415358,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-0.606753""",[],,1558539110,356921920,"""fail""","""HUMAN""",4.47410203,2,1,33.3333333333,'',24.6443056,'',0,1,0,100.0
1558539115485888295,2,4,12,"""SENSOR""",,1558539115,485302093,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-0.606753""",[],,1558539114,43126714,"""fail""","""HUMAN""",3.686816436,3,1,25.0,'',28.331122036,'',0,1,0,100.0
1558539120130736394,2,5,13,"""SENSOR""",,1558539120,130493662,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-0.606753""",[],,1558539118,689143962,"""fail""","""HUMAN""",4.646057685,4,1,20.0,'',32.977179721,'',0,1,0,100.0
1558539135753386519,2,6,16,"""SENSOR""",,1558539135,752972812,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-17.322325""",[],,1558539127,373678961,"""fail""","""HUMAN""",8.684537042,5,1,16.6666666667,'',41.661716763,'',0,1,0,100.0
1558539144442426451,2,7,16,"""SENSOR""",,1558539144,442123991,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-17.322325""",[],,1558539144,441745153,"""ROBOT SUCCEEDED""","""ROBOT""",17.070509882,5,2,28.5714285714,'',58.732226645,'',0,1,0,100.0
1558539152796392833,2,8,19,"""SENSOR""",,1558539152,796028953,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-16.426903""",[],,1558539151,385554761,"""success""","""HUMAN""",6.942925332,5,3,37.5,'',65.675151977,'',0,1,0,100.0
1558539167793727302,2,9,26,"""SENSOR""",,1558539167,793160203,'',,0,0,'','','',False,2,'',[],'',[],0,0,'','',"""-13.384128""",[],,1558539166,404259993,"""success""","""HUMAN""",15.018574496,5,4,44.4444444444,'',80.693726473,'',0,1,0,100.0
1558539175523422379,2,10,31,"""SENSOR""",,1558539175,523164124,'',,0,0,'','','',False,1,'',[],'',[],0,0,'','',"""-14.194694""",[],,1558539174,127065059,"""success""","""HUMAN""",7.722762468,5,5,50.0,'',88.416488941,'',0,1,1,50.0
1558539175523696870,2,10,31,"""MANAGER-TASK-DONE""",,1558539175,523240586,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-14.194694""",[],,1558539174,127065059,'','',0.0,5,5,50.0,"""fail""",88.416488941,'',3,1,1,50.0
1558539530056657712,3,0,0,"""MANAGER""",,1558539530,55830563,'',,0,0,'','','',False,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",'','',[],,0,0,'','',0.0,0,0,0.0,"""START""",0.0,'',0,0,0,0.0
1558539539878651713,3,1,3,"""SENSOR""",,1558539539,877837735,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""0.000000""",[],,1558539538,478613487,"""success""","""HUMAN""",8.420630523,0,1,100.0,'',8.420630523,'',0,1,1,50.0
1558539544233837963,3,2,6,"""SENSOR""",,1558539544,232424010,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""5.104579""",[],,1558539542,870458708,"""success""","""HUMAN""",4.393231661,0,2,100.0,'',12.813862184,'',0,1,1,50.0
1558539554974965817,3,3,12,"""SENSOR""",,1558539554,974263960,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""10.751731""",[],,1558539553,528654198,"""fail""","""HUMAN""",10.656845708,1,2,66.6666666667,'',23.470707892,'',0,1,1,50.0
1558539582215170598,3,4,19,"""SENSOR""",,1558539582,214327249,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""2.968093""",[],,1558539582,213887697,"""ROBOT SUCCEEDED""","""ROBOT""",28.687651811,1,3,75.0,'',52.158359703,'',0,1,1,50.0
1558539605092054928,3,5,27,"""SENSOR""",,1558539605,91215207,'',,0,0,'','','',False,2,'',[],'',[],0,0,'','',"""7.083051""",[],,1558539603,657104994,"""fail""","""HUMAN""",21.441929204,2,3,60.0,'',73.600288907,'',0,1,1,50.0
1558539612510585832,3,6,30,"""SENSOR""",,1558539612,509704627,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""2.827119""",[],,1558539611,98532771,"""fail""","""HUMAN""",7.440267528,3,3,50.0,'',81.040556435,'',0,1,1,50.0
1558539617582400945,3,7,31,"""SENSOR""",,1558539617,581644928,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""2.827119""",[],,1558539616,152278390,"""success""","""HUMAN""",5.053723648,3,4,57.1428571429,'',86.094280083,'',0,1,1,50.0
1558539623590726585,3,8,34,"""SENSOR""",,1558539623,589814379,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""3.041890""",[],,1558539622,163352683,"""fail""","""HUMAN""",6.012396261,4,4,50.0,'',92.106676344,'',0,1,1,50.0
1558539633951995203,3,9,37,"""SENSOR""",,1558539633,951098369,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-2.492319""",[],,1558539632,538921040,"""fail""","""HUMAN""",10.375786635,5,4,44.4444444444,'',102.482462979,'',0,1,1,50.0
1558539638336427922,3,10,40,"""SENSOR""",,1558539638,334383592,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-8.026528""",[],,1558539636,967817480,"""fail""","""HUMAN""",4.428658611,6,4,40.0,'',106.91112159,'',0,1,2,33.3333333333
1558539638336701616,3,10,40,"""MANAGER-TASK-DONE""",,1558539638,334470352,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-8.026528""",[],,1558539636,967817480,'','',0.0,6,4,40.0,"""fail""",106.91112159,'',2,1,2,33.3333333333
1558539828108183241,4,0,0,"""MANAGER""",,1558539828,107043147,'',,0,0,'','','',False,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",'','',[],,0,0,'','',0.0,0,0,0.0,"""START""",0.0,'',0,0,0,0.0
1558539835283714596,4,1,3,"""SENSOR""",,1558539835,282560672,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""0.000000""",[],,1558539833,916077498,"""success""","""HUMAN""",5.808422231,0,1,100.0,'',5.808422231,'',0,1,2,33.3333333333
1558539839632548102,4,2,6,"""SENSOR""",,1558539839,631554533,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""5.423525""",[],,1558539838,288640401,"""success""","""HUMAN""",4.371047989,0,2,100.0,'',10.17947022,'',0,1,2,33.3333333333
1558539846174766273,4,3,10,"""SENSOR""",,1558539846,173170051,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""10.957735""",[],,1558539844,787480406,"""success""","""HUMAN""",6.498795002,0,3,100.0,'',16.678265222,'',0,1,2,33.3333333333
1558539850514033212,4,4,11,"""SENSOR""",,1558539850,513084281,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""10.957735""",[],,1558539849,100769138,"""fail""","""HUMAN""",4.313330619,1,3,75.0,'',20.991595841,'',0,1,2,33.3333333333
1558539853847931187,4,5,12,"""SENSOR""",,1558539853,846751992,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""10.957735""",[],,1558539852,468434617,"""success""","""HUMAN""",3.367604805,1,4,80.0,'',24.359200646,'',0,1,2,33.3333333333
1558539865325114875,4,6,18,"""SENSOR""",,1558539865,324144862,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""16.385735""",[],,1558539863,894615043,"""success""","""HUMAN""",11.426202332,1,5,83.3333333333,'',35.785402978,'',0,1,2,33.3333333333
