Timestamp,Are you confident with English? ,Age: ,How often have you interacted with a robot before?,Gender: ,1-1: Please rate how much you agree:  [I could intuitively understand the robots intention],1-1: Please rate how much you agree:  [I could quickly understand the robots intention],1-1: Please rate how much you agree:  [The gesture appeared natural to me],1-1: Please rate how much you agree:  [I liked how the robot expressed its’ intentions],1-1:  I think the robot wanted to communicate the following to me: ,1-1: Comment on gesture. (e.g. how to improve it),1-1: I perceived the robot as: [Friendly ],1-1: I perceived the robot as: [Scary ],1-2: Please rate how much you agree:  [I could intuitively understand the robots intention],1-2: Please rate how much you agree:  [I could quickly understand the robots intention],1-2: Please rate how much you agree:  [The gesture appeared natural to me],1-2: Please rate how much you agree:  [I liked how the robot expressed its’ intentions],1-2:  I think the robot wanted to communicate the following to me: ,1-2: Comment on gesture. (e.g. how to improve it),1-2: I perceived the robot as: [Friendly ],1-2: I perceived the robot as: [Scary ],1-3: Please rate how much you agree:  [I could intuitively understand the robots intention],1-3: Please rate how much you agree:  [I could quickly understand the robots intention],1-3: Please rate how much you agree:  [The gesture appeared natural to me],1-3: Please rate how much you agree:  [I liked how the robot expressed its’ intentions],1-3:  I think the robot wanted to communicate the following to me: ,1-3: Comment on gesture. (e.g. how to improve it),1-3: I perceived the robot as: [Friendly ],1-3: I perceived the robot as: [Scary ],1-4: Please rate how much you agree:  [I could intuitively understand the robots intention],1-4: Please rate how much you agree:  [I could quickly understand the robots intention],1-4: Please rate how much you agree:  [The gesture appeared natural to me],1-4: Please rate how much you agree:  [I liked how the robot expressed its’ intentions],1-4:  I think the robot wanted to communicate the following to me: ,1-4: Comment on gesture. (e.g. how to improve it),1-4: I perceived the robot as: [Friendly ],1-4: I perceived the robot as: [Scary ],1-5: Please rate how much you agree:  [I could intuitively understand the robots intention],1-5: Please rate how much you agree:  [I could quickly understand the robots intention],1-5: Please rate how much you agree:  [The gesture appeared natural to me],1-5: Please rate how much you agree:  [I liked how the robot expressed its’ intentions],1-5:  I think the robot wanted to communicate the following to me: ,1-5: Comment on gesture. (e.g. how to improve it),1-5: I perceived the robot as: [Friendly ],1-5: I perceived the robot as: [Scary ],1-6: Please rate how much you agree:  [I could intuitively understand the robots intention],1-6: Please rate how much you agree:  [I could quickly understand the robots intention],1-6: Please rate how much you agree:  [The gesture appeared natural to me],1-6: Please rate how much you agree:  [I liked how the robot expressed its’ intentions],1-6:  I think the robot wanted to communicate the following to me: ,1-6: Comment on gesture. (e.g. how to improve it),1-6: I perceived the robot as: [Friendly ],1-6: I perceived the robot as: [Scary ],1-7: Please rate how much you agree:  [I could intuitively understand the robots intention],1-7: Please rate how much you agree:  [I could quickly understand the robots intention],1-7: Please rate how much you agree:  [The gesture appeared natural to me],1-7: Please rate how much you agree:  [I liked how the robot expressed its’ intentions],1-7:  I think the robot wanted to communicate the following to me: ,1-7: Comment on gesture. (e.g. how to improve it),1-7: I perceived the robot as: [Friendly ],1-7: I perceived the robot as: [Scary ],2-1: Which of the sentences explains the gesture you just saw best? ,2-2: Which of the sentences explains the gesture you just saw best? ,2-3: Which of the sentences explains the gesture you just saw best? ,2-4: Which of the sentences explains the gesture you just saw best? ,2-5: Which of the sentences explains the gesture you just saw best? ,2-6: Which of the sentences explains the gesture you just saw best? ,2-7: Which of the sentences explains the gesture you just saw best? 
5/3/2019 16:58:48,yes,22,1,Female,5,4,4,5,where i have to put the object,,5,2,1,2,3,1,maybe i should take the object? not sure about,showing more exact what to do,3,2,2,2,4,3,maybe that I should not do anything but only look,,3,2,3,2,4,4,lift the object,,4,1,4,4,5,5,showing ,,5,1,2,1,2,1,its my turn,,2,1,2,2,4,2,he is laying back now,,4,1,grasped an object,planned for a grasping action,pointed towards and object to remind me about my task,waved to get my attention,pointed towards and object to remind me about my task,was idle/inactive,waved to get my attention
5/3/2019 17:38:32,yes,48,2,Male,1,2,2,3,to place,,2,3,1,1,3,2,to wait,,1,2,1,1,2,1,to stop,,1,2,3,2,2,3,to lift,Change the speed,1,3,2,1,1,2,to reach,Move closer to the objects,1,2,1,1,2,1,to finish,,1,1,1,1,1,1,to show,,2,1,waved to get my attention,pointed towards and object to remind me about my task,cancelled an action,waved to get my attention,pointed towards and object to remind me about my task,was idle/inactive,planned for a grasping action
5/3/2019 17:39:25,no,46,1,Female,5,4,4,5,transport object,breaks are good ,4,1,4,5,4,4,places itself ,,4,1,2,2,3,2,cancel ,something was wrong ,3,1,1,1,4,3,irritated ,,4,1,1,1,2,2,help me ,,4,1,1,1,3,1,nothing,,3,1,2,3,3,3,prepare ,,5,1,grasped an object,planned for a grasping action,cancelled an action,cancelled an action,pointed towards and object to remind me about my task,was idle/inactive,waved to get my attention
5/17/2019 13:19:11,yes,22,1,Male,5,5,5,5,"It wanted to take a cube in front of him, and then put it to the colored cards. I found it natural.",I think it was quick and clear. It doesnt show any positive or negative feelings. Maybe it can welcome me first.,4,1,3,2,4,3,"It just moved to the top of the cube, but then did nothing. I am not sure what it wants to do next.",I did not understand if he is done.,3,3,4,4,5,5,It went back to its first position like it is done with its work.,I could not understand whether he is completely done maybe he can close something so that it is not going to do anything next.,3,1,1,1,1,1,"I could not understand anything, it was meaningless.",It was a repeated action that I did not understand why it did that.,2,4,2,2,1,1,It was like it could not decide whether it should go or not.,I did not understand why it moved back after going forward because it repeated it.,2,4,1,1,1,1,I think it did not do anything.,There was no gesture.,3,3,2,2,1,2,"It is like it stopped in the half way, and I thought it was supposed to move more.",That was like an uncompleted action. Maybe there could be a sign that it is done with that part.,3,4,grasped an object,planned for a grasping action,was idle/inactive,pointed towards and object to remind me about my task,pointed towards and object to remind me about my task,was idle/inactive,cancelled an action
5/17/2019 14:39:10,yes,22,2,Male,4,4,5,4,Pick up the first box and put it on the sticker(dark red one),"Well, the gesture was smooth and it looks like it is doing the job(box moving from one place to another) good. But the speed when first touch with the box can be more slower.",4,2,3,3,3,3,I think that the human worker should be picking up this box.,"To make this communication more easily, some led lights can be put on the robot arms head.",5,1,2,2,4,3,I think that there isnt any job assigned to the robot arm right now and it is waiting for further instructions,,5,1,2,2,2,3,"I think that robot arm is waiting for a human interaction to continue on the next step, it looks like it is trying to get attention from the worker.",,4,1,4,4,4,3,I think that robot arm is trying to tell me that i(the worker) should pick up this box,,5,1,2,2,1,2,The robot hasnt moved so I think that the robot arm isnt working right now,It will be good if there some led s showing that the robot arms state,4,1,4,4,4,4,I think that the box in the conveyor belt is in some weird place and the robot arm can not identify the box very well.,,5,1,grasped an object,pointed towards and object to remind me about my task,cancelled an action,waved to get my attention,pointed towards and object to remind me about my task,was idle/inactive,planned for a grasping action
5/21/2019 15:35:57,yes,26,1,Male,5,5,5,3,take and put red to red,,3,4,4,4,1,3,take red square,optic or acoustic feedback,3,4,1,1,1,1,malfunction ,,4,1,5,5,1,5,thanking,acoustic feedback,5,3,5,5,5,5,take two red cubes,,3,3,3,3,3,3,nothing,,3,3,4,4,4,4,repair my color sensor,acoustic feedback,3,3,grasped an object,planned for a grasping action,cancelled an action,waved to get my attention,pointed towards and object to remind me about my task,was idle/inactive,pointed towards and object to remind me about my task
5/22/2019 9:22:51,yes,27,2,Female,5,5,5,4,putting the box in the right container,,4,1,5,5,5,5,robot is ready to help me if I need help,,5,1,5,5,5,4,robot stays in standby so that I have to do the task,,4,1,3,4,2,1,robot does not know what to do,,3,1,4,3,4,3,robot tries to help me but does not know if I need its help,,4,1,5,4,4,4,robot is not ready to help me,,4,1,4,4,4,5,robot would be ready to help but stays in background,,5,1,grasped an object,planned for a grasping action,cancelled an action,waved to get my attention,pointed towards and object to remind me about my task,was idle/inactive,cancelled an action
5/22/2019 11:56:06,yes,24,1,Male,2,2,2,2,he is able to move cubes,,3,1,1,1,1,1,not able to move red cubes,,3,1,2,2,2,2,not able to move red cube,,3,1,4,4,3,5,I should move the cube,,4,1,3,3,3,3,shows me how to pick it up,,4,1,4,4,3,4,waiting for me to pick it up,,3,1,1,1,1,1,move cube to the right ,,3,1,grasped an object,planned for a grasping action,cancelled an action,waved to get my attention,waved to get my attention,was idle/inactive,pointed towards and object to remind me about my task
5/23/2019 12:14:09,yes,30,2,Male,4,4,4,3,It wants to transport the  green (current) block,,2,2,2,2,3,3,me to transport the block or replace the block with one of another color,Point at me (to take the block) or point in the direction from where I could get another block ,2,2,2,2,3,2,I should move the green (current) block to its color detecting unit,,2,2,3,3,4,5,I should move the green (current) block to its color detecting unit,I liked it already,4,2,3,3,3,4,I should move the green (current) block to the color detecting unit,,3,2,2,2,3,2,I should take over,,2,2,2,2,3,2,Remove the current block from the conveyer and discard it,,2,2,grasped an object,planned for a grasping action,cancelled an action,waved to get my attention,pointed towards and object to remind me about my task,was idle/inactive,pointed towards and object to remind me about my task
5/23/2019 15:54:24,yes,23,2,Male,3,3,4,3,pointing to object,longer wait time,4,1,3,4,4,4,pointing to object,shine on it with led,4,1,4,3,3,3,it will rest now,,4,1,3,4,2,3,pointing towards lights,,4,1,4,3,4,4,get the object,,4,1,4,4,3,3,nothing to do right now,,4,1,1,1,3,2,repair object detection sensor?,,4,1,grasped an object,planned for a grasping action,cancelled an action,waved to get my attention,pointed towards and object to remind me about my task,was idle/inactive,planned for a grasping action
