rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1.55809973194499E+018,1,0,0,"""MANAGER""",,1558099731,943340586,'',,0,0,'','','',False,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_fast2.pomdpx""",'','',[],,0,0,'','',0,0,0,0,"""START""",0,'',0,0,0,0
1.55809973318234E+018,1,0,0,"""ROBOT""",,1558099733,164428756,'',,1558099733,124830022,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_fast2.pomdpx""",'','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.55809973405037E+018,1,0,1,"""OBSERVATION""",,1558099734,43496941,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.55809973661778E+018,1,0,2,"""OBSERVATION""",,1558099736,603228643,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 1]",'',"[True, False, False, True, False, False]",12,39,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.55809973793811E+018,1,1,2,"""SENSOR""",,1558099737,936704784,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','','',[],,1558099736,583708150,"""success""","""HUMAN""",4.639084158,0,1,100,'',0,'',0,0,0,nan
1.55809973822767E+018,1,0,2,"""ROBOT""",,1558099738,220090703,'',,1558099737,910391283,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_fast2.pomdpx""","""6.000000""","""5.534209""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.55809973825203E+018,1,0,3,"""OBSERVATION""",,1558099738,243934751,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.55809973972735E+018,1,0,3,"""ROBOT""",,1558099739,720467686,'',,1558099739,586650175,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_fast2.pomdpx""","""0.000000""","""5.534209""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.5580997397523E+018,1,0,4,"""OBSERVATION""",,1558099739,744197819,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.55809974112316E+018,1,0,5,"""OBSERVATION""",,1558099741,116252956,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 1]",'',"[True, False, False, True, False, False]",12,39,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.55809974249845E+018,1,2,5,"""SENSOR""",,1558099742,496945006,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""5.534209""",[],,1558099741,102552860,"""success""","""HUMAN""",4.5196584,0,2,100,'',0,'',0,0,0,nan
1.55809974283616E+018,1,0,5,"""ROBOT""",,1558099742,828513873,'',,1558099742,472088086,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_fast2.pomdpx""","""6.000000""","""11.068419""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.55809974286461E+018,1,0,6,"""OBSERVATION""",,1558099742,854401292,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.55809974592371E+018,1,0,6,"""ROBOT""",,1558099745,916726837,'',,1558099744,223274915,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_fast2.pomdpx""","""0.000000""","""11.068419""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.55809974595463E+018,1,0,7,"""OBSERVATION""",,1558099745,946984211,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.55809974738206E+018,1,0,8,"""OBSERVATION""",,1558099747,368257529,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 1]",'',"[True, False, False, True, False, False]",12,39,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.55809974878526E+018,1,3,8,"""SENSOR""",,1558099748,783975422,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""11.068419""",[],,1558099747,350800769,"""success""","""HUMAN""",6.248422898,0,3,100,'',0,'',0,0,0,nan
1.55809974912952E+018,1,0,8,"""ROBOT""",,1558099749,122770920,'',,1558099748,757637858,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_fast2.pomdpx""","""6.000000""","""16.491943""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
