file,ttype1_rewards,ttype1_duration,ttype1_warnings,ttype1_robot_interference,ttype23_rewards,ttype23_duration,ttype23_warnings,ttype23_robot_interference,ttype24_rewards,ttype24_duration,ttype24_warnings,ttype24_robot_interference,ttype25_rewards,ttype25_duration,ttype25_warnings,ttype25_robot_interference,ttype26_rewards,ttype26_duration,ttype26_warnings,ttype26_robot_interference,ttype47_rewards,ttype47_duration,ttype47_warnings,ttype47_robot_interference,ttype49_rewards,ttype49_duration,ttype49_warnings,ttype49_robot_interference
11,49.701721,52.835356786,0,0,49.371838,54.788235808,0,0,50.03603,51.438493355,0,0,50.259655,42.625255036,0,0,0.920795,71.565397499,2,0,51.460796,134.88294605,0,4,37.56823,102.419585563,1,2
7,49.469765,94.917947601,0,2,41.449612,106.345359882,1,2,17.297997,131.16452034,0,4,50.077206,66.92965212,0,4,11.154517,57.3081539,0,4,19.49902,117.646408033,0,7,27.161684,94.696258814,1,3
12,3.333018,51.444885789,1,0,6.361979,59.10716886,0,2,18.558399,117.146486069,0,5,-26.976524,54.333071045,0,5,16.205925,70.346414564,0,5,6.659032,99.661109033,0,2,2.869013,73.741464775,0,1
9,4.087397,126.948278793,0,1,24.816334,137.023038216,0,7,28.862686,156.242935909,0,5,-3.330987,87.589645576,0,5,6.805219,88.54595509,0,5,29.312798,118.742508023,0,4,39.727543,111.77586293,0,3
10,8.380221,106.052305289,0,1,47.900017,80.84381208,0,0,49.7085,66.186365262,0,0,49.925346,52.930671165,0,0,50.040504,54.426793838,0,0,25.677128,141.081782947,0,2,39.698868,105.426905106,0,1
8,-26.687531,68.239495854,0,2,-5.506355,54.763855404,0,2,26.784615,43.860133655,0,0,39.071331,38.565628969,0,0,40.585976,57.673274229,0,0,40.348812,153.527939913,0,5,-3.635992,90.79285876,0,3
6,12.052611,119.583863899,2,3,49.228565,60.936736722,0,0,48.104717,92.936322478,1,2,49.456848,55.852115447,0,2,50.000767,51.429726869,0,2,27.305187,119.419996308,0,3,7.148846,77.943272386,0,4
5,-14.194694,88.416488941,3,1,-8.026528,106.91112159,2,1,26.742781,82.538849208,0,1,-33.85672,132.169327582,10,1,18.141239,69.155300231,1,1,29.380825,105.654920368,0,2,38.969868,51.446818548,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,robot_interference,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,label ,Type 1 ,Type 4,,,,,,,,,,,,,,,,,,,,,,,,,
,mean,1.25,3.625,,,,,,,,,,,,,,,,,,,,,,,,,
