rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1558614322424223187,1,0,0,"""MANAGER""",,1558614322,446234951,'',,0,0,'','','',False,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",'','',[],,0,0,'','',0.0,0,0,0.0,"""START""",0.0,'',0,0,0,0.0
1558614323659781230,1,0,0,"""ROBOT""",,1558614323,659945423,'',,1558614323,628234867,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",'','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614324524653753,1,0,1,"""OBSERVATION""",,1558614324,540445463,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614326065760767,1,0,2,"""OBSERVATION""",,1558614326,81494652,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 1]",'',"[True, False, False, True, False, False]",12,39,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614327406752438,1,1,2,"""SENSOR""",,1558614327,429326914,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','','',[],,1558614326,51477095,"""success""","""HUMAN""",3.60330488,0,1,100.0,'',3.60330488,'',0,0,0,nan
1558614327638523469,1,0,2,"""ROBOT""",,1558614327,654837389,'',,1558614327,400635222,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""6.000000""","""5.647152""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614327661585838,1,0,3,"""OBSERVATION""",,1558614327,678048721,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614329118947540,1,0,3,"""ROBOT""",,1558614329,135741751,'',,1558614328,990468015,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""5.647152""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614329142040729,1,0,4,"""OBSERVATION""",,1558614329,158152161,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614330574466423,1,0,4,"""ROBOT""",,1558614330,591019386,'',,1558614330,496756310,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""5.647152""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614330597205047,1,0,5,"""OBSERVATION""",,1558614330,613775602,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614331995308328,1,0,6,"""OBSERVATION""",,1558614332,8779424,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 1]",'',"[True, False, False, True, False, False]",12,39,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614333369211290,1,2,6,"""SENSOR""",,1558614333,391717420,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""5.647152""",[],,1558614331,992570176,"""success""","""HUMAN""",5.942617558,0,2,100.0,'',9.545922438,'',0,0,0,nan
1558614333608174486,1,0,6,"""ROBOT""",,1558614333,624910154,'',,1558614333,364748629,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""6.000000""","""11.070678""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614333632523560,1,0,7,"""OBSERVATION""",,1558614333,648642592,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614336336755471,1,0,8,"""OBSERVATION""",,1558614336,345438671,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 1]",'',"[True, False, False, True, False, False]",12,39,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614337705906214,1,3,8,"""SENSOR""",,1558614337,728491093,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""11.070678""",[],,1558614336,324036666,"""success""","""HUMAN""",4.32995882,0,3,100.0,'',13.875881258,'',0,0,0,nan
1558614337797200829,1,0,8,"""ROBOT""",,1558614337,814132183,'',,1558614337,702312418,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""6.000000""","""16.604887""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614337827423106,1,0,9,"""OBSERVATION""",,1558614337,843994733,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614340762606034,1,0,9,"""ROBOT""",,1558614340,779507461,'',,1558614339,207034357,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""16.604887""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614340786352487,1,0,10,"""OBSERVATION""",,1558614340,802843497,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614343752490674,1,0,10,"""ROBOT""",,1558614343,769375316,'',,1558614342,180946507,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""16.604887""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614343774742143,1,0,11,"""OBSERVATION""",,1558614343,790084566,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614345180278034,1,0,12,"""OBSERVATION""",,1558614345,190322021,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 1]",'',"[True, False, False, True, False, False]",12,39,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614346554918810,1,4,12,"""SENSOR""",,1558614346,577486402,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""16.604887""",[],,1558614345,171462554,"""success""","""HUMAN""",8.849019483,0,4,100.0,'',22.724900741,'',0,0,0,nan
1558614346665986739,1,0,12,"""ROBOT""",,1558614346,682446105,'',,1558614346,552825126,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""6.000000""","""21.709465""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614346690608628,1,0,13,"""OBSERVATION""",,1558614346,706909660,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614348296931487,1,0,13,"""ROBOT""",,1558614348,312587767,'',,1558614348,89022012,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""21.709465""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614348325295718,1,0,14,"""OBSERVATION""",,1558614348,343298275,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614350177805979,1,0,14,"""ROBOT""",,1558614350,193834881,'',,1558614349,693202780,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""21.709465""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614350205129379,1,0,15,"""OBSERVATION""",,1558614350,220972751,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614353154587408,1,0,15,"""ROBOT""",,1558614353,171856227,'',,1558614351,581461208,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""21.709465""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614353175025015,1,0,16,"""OBSERVATION""",,1558614353,191787504,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614356187221822,1,0,16,"""ROBOT""",,1558614356,202132632,'',,1558614354,586145985,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""21.709465""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614356208318438,1,0,17,"""OBSERVATION""",,1558614356,225252585,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614357663336088,1,0,17,"""ROBOT""",,1558614357,679849683,'',,1558614357,599432838,"""planning for grasping""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""21.709465""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614357695524983,1,0,18,"""OBSERVATION""",,1558614357,703148183,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614359957634943,1,0,19,"""OBSERVATION""",,1558614359,974142668,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 1]",'',"[True, False, False, True, False, False]",12,39,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614361311532883,1,5,19,"""SENSOR""",,1558614361,334388777,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""21.709465""",[],,1558614359,958800653,"""success""","""HUMAN""",14.785699699,0,5,100.0,'',37.51060044,'',0,0,0,nan
1558614361655041750,1,0,19,"""ROBOT""",,1558614361,671658447,'',,1558614361,309457181,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""6.000000""","""26.231318""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614361676084999,1,0,20,"""OBSERVATION""",,1558614361,692648204,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1558614364335094338,1,0,21,"""OBSERVATION""",,1558614364,347253078,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 1]",'',"[True, False, False, True, False, False]",12,39,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
