,rosbagTimestamp,task_id,subtask_id,step_count,who_reports,taken_action,belief_state,warnings_count_subtask,real_obs_received,real_obs_received_array,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,secs.2,nsecs.2,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
0,1.55871005678435E+018,1,0,0,"""MANAGER""",'','',0,'',[],[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",'','',0,0,'','',0.0,0,0,0.0,"""START""",0.0,0,0,0,0.0
1,1.55871005801021E+018,1,0,0,"""ROBOT""","""idle""","""TaskHuman""",0,'',[],[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",'','',0,0,'','',0.0,0,0,0.0,'',0.0,0,0,0,0.0
2,1.55871005937057E+018,1,0,1,"""OBSERVATION""",'','',0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]","[True, False, True, False, False, False]",4,7,'','','',0,0,'','',0.0,0,0,0.0,'',0.0,0,0,0,0.0
3,1.55871006138841E+018,1,0,2,"""OBSERVATION""",'','',0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 1]","[True, False, False, True, False, False]",12,39,'','','',0,0,'','',0.0,0,0,0.0,'',0.0,0,0,0,0.0
4,1.55871006273819E+018,1,1,2,"""SENSOR""",'','',0,'',[],[],0,0,'','','',1558710061,365924310,"""success""","""HUMAN""",4.580922438,0,1,100.0,'',4.580922438,0,0,0,
5,1.55871006281141E+018,1,0,2,"""ROBOT""","""idle""","""HumanDoingOk""",0,'',[],[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""6.000000""","""5.534209""",0,0,'','',0.0,0,0,0.0,'',0.0,0,0,0,0.0
6,1.55871006283582E+018,1,0,3,"""OBSERVATION""",'','',0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]","[True, False, False, False, False, True]",9,35,'','','',0,0,'','',0.0,0,0,0.0,'',0.0,0,0,0,0.0
7,1.55871006429928E+018,1,0,3,"""ROBOT""","""idle""","""HumanDoingOk""",0,'',[],[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""5.534209""",0,0,'','',0.0,0,0,0.0,'',0.0,0,0,0,0.0
8,1.55871006432228E+018,1,0,4,"""OBSERVATION""",'','',0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]","[True, False, True, False, False, False]",4,7,'','','',0,0,'','',0.0,0,0,0.0,'',0.0,0,0,0,0.0
9,1.55871006677915E+018,1,0,5,"""OBSERVATION""",'','',0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 1]","[True, False, False, True, False, False]",12,39,'','','',0,0,'','',0.0,0,0,0.0,'',0.0,0,0,0,0.0
10,1.5587100681363E+018,1,2,5,"""SENSOR""",'','',0,'',[],[],0,0,'','',"""5.534209""",1558710066,750015278,"""success""","""HUMAN""",5.384085625,0,2,100.0,'',9.965008062999999,0,0,0,
11,1.55871006823947E+018,1,0,5,"""ROBOT""","""idle""","""HumanDoingOk""",0,'',[],[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""6.000000""","""10.957734""",0,0,'','',0.0,0,0,0.0,'',0.0,0,0,0,0.0
12,1.55871006826493E+018,1,0,6,"""OBSERVATION""",'','',0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]","[True, False, False, False, False, True]",9,35,'','','',0,0,'','',0.0,0,0,0.0,'',0.0,0,0,0,0.0
