rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.53718277519343E+018,1,0,"""MANAGER""",,1537182775,192504494,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53718278247274E+018,1,1,"""SENSORS""",,1537182782,472548979,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.53718279617175E+018,2,0,"""MANAGER""",,1537182796,171653111,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53718281647129E+018,2,3,"""SENSORS""",,1537182816,471169077,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.53718283024102E+018,3,0,"""MANAGER""",,1537182830,240837176,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53718284147128E+018,3,2,"""SENSORS""",,1537182841,471080174,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.53718285486186E+018,4,0,"""MANAGER""",,1537182854,861753117,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53718290683009E+018,4,6,"""SENSORS""",,1537182906,830018887,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53718291803649E+018,5,0,"""MANAGER""",,1537182918,36393652,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53718294646345E+018,5,6,"""SENSORS""",,1537182946,463320338,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53718295681769E+018,6,0,"""MANAGER""",,1537182956,817540479,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53718296347418E+018,6,1,"""SENSORS""",,1537182963,474016103,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.53718297793252E+018,7,0,"""MANAGER""",,1537182977,932382239,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53718300647301E+018,7,6,"""SENSORS""",,1537183006,472841882,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53718301925332E+018,8,0,"""MANAGER""",,1537183019,253226603,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53718304046402E+018,8,3,"""SENSORS""",,1537183040,463818897,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.53718305501421E+018,9,0,"""MANAGER""",,1537183055,14110733,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53718308746346E+018,9,6,"""SENSORS""",,1537183087,463247729,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53718310023515E+018,10,0,"""MANAGER""",,1537183100,234774813,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53718312647349E+018,10,7,"""SENSORS""",,1537183126,473208033,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.5371831391783E+018,11,0,"""MANAGER""",,1537183139,177937151,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53718314647773E+018,11,1,"""SENSORS""",,1537183146,477570300,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.53718315989764E+018,12,0,"""MANAGER""",,1537183159,897557082,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53718319746428E+018,12,4,"""SENSORS""",,1537183197,464151304,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.53718321186408E+018,13,0,"""MANAGER""",,1537183211,863950689,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53718324747511E+018,13,9,"""SENSORS""",,1537183247,474938701,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53718326070445E+018,14,0,"""MANAGER""",,1537183260,704285403,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53718329047221E+018,14,7,"""SENSORS""",,1537183290,472085735,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53718330048423E+018,15,0,"""MANAGER""",,1537183300,484135548,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.5371833264758E+018,15,5,"""SENSORS""",,1537183326,475673092,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
