rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.54110966840652E+018,3477,0,"""MANAGER""",,1541109668,406385097,"""beginner_tired_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy6.pomdpx""",'','',[]
1.54110966958957E+018,3477,0,"""ROBOT""",,1541109669,587454270,'',,1541109669,584137801,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy6.pomdpx""",'','',[]
1.54110966960761E+018,3477,0,"""HUMAN""",,1541109669,604473258,"""beginner_tired_collaborative.POMDPx""",,1541109669,249690508,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.54110966961403E+018,3477,1,"""ROBOT""",,1541109669,613081444,'',,1541109669,584137801,"""idle""","""TaskHuman""","""MayBeTired""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""",[]
1.54110967245508E+018,3477,1,"""OBSERVATION""",,1541109672,453715520,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.54110967371732E+018,3477,1,"""HUMAN""",,1541109673,714904319,"""beginner_tired_collaborative.POMDPx""",,1541109670,680182298,"""2""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.54110967372731E+018,3477,2,"""ROBOT""",,1541109673,726152019,'',,1541109673,698411188,"""idle""","""TaskHuman""","""MayBeTired""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""",[]
1.54110967648837E+018,3477,2,"""OBSERVATION""",,1541109676,486969068,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.54110967798791E+018,3477,2,"""HUMAN""",,1541109677,985657615,"""beginner_tired_collaborative.POMDPx""",,1541109674,779189056,"""2""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.54110967799273E+018,3477,3,"""ROBOT""",,1541109677,991795510,'',,1541109677,726822335,"""planning for grasping""","""MayBeTired""","""MayBeTired""",True,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""",[]
1.54110968130505E+018,3477,3,"""OBSERVATION""",,1541109681,303700221,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.54110968289174E+018,3477,3,"""HUMAN""",,1541109682,889318958,"""beginner_tired_collaborative.POMDPx""",,1541109679,46601838,"""2""","""Tired""","""Tired""",True,0,'','',[],'','','','','',[]
1.54110968290415E+018,3477,4,"""ROBOT""",,1541109682,903149753,'',,1541109682,588647925,"""grasp""","""NeedsHelp""","""MayBeTired""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""",[]
1.54110968565489E+018,3477,4,"""OBSERVATION""",,1541109685,653598401,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.54110968720453E+018,3477,4,"""HUMAN""",,1541109687,202159843,"""beginner_tired_collaborative.POMDPx""",,1541109683,952046775,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.54110968721463E+018,3477,5,"""ROBOT""",,1541109687,213588074,'',,1541109686,948305762,"""planning for grasping""","""MayBeTired""","""MayBeTired""",True,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""",[]
