rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.54152975002124E+018,6795,0,"""MANAGER""",,1541529750,20749836,"""expert_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""reactive.pomdpx""",'','',[]
1.54152975108448E+018,6795,0,"""ROBOT""",,1541529751,82057341,'',,1541529751,79420496,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""reactive.pomdpx""",'','',[]
1.54152975110266E+018,6795,0,"""HUMAN""",,1541529751,99454675,"""expert_tired_noncollaborative.POMDPx""",,1541529750,862858102,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.54152975110921E+018,6795,1,"""ROBOT""",,1541529751,108005899,'',,1541529751,79420496,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""reactive.pomdpx""","""0""","""0""",[]
1.54152976397755E+018,6795,1,"""OBSERVATION""",,1541529763,976169486,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, True, False, False]","""ONGOING""",'','','','',[]
1.54152976505273E+018,6795,1,"""HUMAN""",,1541529765,50390527,"""expert_tired_noncollaborative.POMDPx""",,1541529752,209518299,"""0""","""Tired""","""Tired""",True,0,'','',[],'','','','','',[]
1.54152976505919E+018,6795,2,"""ROBOT""",,1541529765,58218753,'',,1541529765,42429789,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""reactive.pomdpx""","""0""","""0""",[]
1.54152976871074E+018,6795,2,"""OBSERVATION""",,1541529768,709462509,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.54152977399492E+018,6795,2,"""HUMAN""",,1541529773,992823453,"""expert_tired_noncollaborative.POMDPx""",,1541529766,113394534,"""2""","""Tired""","""Tired""",True,0,'','',[],'','','','','',[]
1.54152977400024E+018,6795,3,"""ROBOT""",,1541529773,999166750,'',,1541529769,762814864,"""grasp""","""HumanNeedsHelp""","""WarningReceived""",False,0,'','',[],'','',"""reactive.pomdpx""","""-3""","""-2.8812""",[]
1.54152977692759E+018,6795,3,"""OBSERVATION""",,1541529776,926117692,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, True, False]","""ONGOING""",'','','','',[]
1.54152977826983E+018,6795,3,"""HUMAN""",,1541529778,267799394,"""expert_tired_noncollaborative.POMDPx""",,1541529775,64790539,"""4""","""WarningTheRobot""","""WarningTheRobot""",True,1,'','',[],'','','','','',[]
1.54152977827524E+018,6795,4,"""ROBOT""",,1541529778,274106165,'',,1541529777,996473592,"""cancel all actions""","""WarningReceived""","""WarningReceived""",True,0,'','',[],'','',"""reactive.pomdpx""","""0""","""-2.8812""",[]
1.54152978156083E+018,6795,4,"""OBSERVATION""",,1541529781,559445637,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.5415297868775E+018,6795,4,"""HUMAN""",,1541529786,875171203,"""expert_tired_noncollaborative.POMDPx""",,1541529779,342077431,"""2""","""RobotIsWarned""","""RobotIsWarned""",True,1,'','',[],'','','','','',[]
1.54152978688216E+018,6795,5,"""ROBOT""",,1541529786,881351220,'',,1541529782,631399801,"""grasp""","""HumanNeedsHelp""","""TaskHuman""",False,0,'','',[],'','',"""reactive.pomdpx""","""0""","""-2.8812""",[]
1.54152978932747E+018,6795,5,"""OBSERVATION""",,1541529789,326115884,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.54152979061138E+018,6795,5,"""HUMAN""",,1541529790,608961015,"""expert_tired_noncollaborative.POMDPx""",,1541529787,952107850,"""2""","""RobotInterfered""","""RobotInterfered""",True,1,'','',[],'','','','','',[]
1.54152979061611E+018,6795,6,"""ROBOT""",,1541529790,615313739,'',,1541529790,408337762,"""grasp""","""HumanNeedsHelp""","""WarningReceived""",False,0,'','',[],'','',"""reactive.pomdpx""","""-3""","""-5.59296""",[]
1.54152980149308E+018,6795,6,"""OBSERVATION""",,1541529793,192927391,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, True, False]","""ONGOING""",'','','','',[]
1.5415298014931E+018,6795,6,"""SENSORS""",,1541529801,493005630,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.5415298027696E+018,6795,6,"""HUMAN""",,1541529802,767514851,"""expert_tired_noncollaborative.POMDPx""",,1541529791,685364556,"""4""","""WarningTheRobot""","""WarningTheRobot""",True,2,'','',[],'','','','','',[]
1.54152980277512E+018,6795,7,"""ROBOT""",,1541529802,774237349,'',,1541529802,557651020,"""cancel all actions""","""WarningReceived""","""GlobalSuccess""",False,0,'','',[],'','',"""reactive.pomdpx""","""3""","""-2.93544""",[]
1.54152980278671E+018,6795,7,"""HUMAN""",,1541529802,782854661,"""expert_tired_noncollaborative.POMDPx""",,1541529791,685364556,"""4""","""WarningTheRobot""","""GlobalSuccess""",False,3,'','',[],'','','','','',[]
1.54152981357856E+018,6796,0,"""MANAGER""",,1541529813,578383069,"""expert_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""reactive.pomdpx""",'','',[]
1.54152981461462E+018,6796,0,"""ROBOT""",,1541529814,612208698,'',,1541529814,609900929,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""reactive.pomdpx""","""3""","""-2.93544""",[]
1.54152981463148E+018,6796,0,"""HUMAN""",,1541529814,628491485,"""expert_tired_noncollaborative.POMDPx""",,1541529814,462537201,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.54152981484547E+018,6796,1,"""ROBOT""",,1541529814,844511393,'',,1541529814,609900929,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""reactive.pomdpx""","""0""","""0""",[]
1.54152981769417E+018,6796,1,"""OBSERVATION""",,1541529817,692832539,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.54152981877515E+018,6796,1,"""HUMAN""",,1541529818,772727395,"""expert_tired_noncollaborative.POMDPx""",,1541529815,923110140,"""2""","""Tired""","""Tired""",True,0,'','',[],'','','','','',[]
1.5415298187802E+018,6796,2,"""ROBOT""",,1541529818,779302306,'',,1541529818,757294902,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""reactive.pomdpx""","""0""","""0""",[]
1.54152982156093E+018,6796,2,"""OBSERVATION""",,1541529821,559458672,'',,0,0,'','','',False,0,"""LA","""LA","[False, True, False, False, False, False]","""ONGOING""",'','','','',[]
1.54152982690409E+018,6796,2,"""HUMAN""",,1541529826,901856693,"""expert_tired_noncollaborative.POMDPx""",,1541529819,832269483,"""3""","""Tired""","""Tired""",True,0,'','',[],'','','','','',[]
1.54152982690928E+018,6796,3,"""ROBOT""",,1541529826,908356580,'',,1541529822,625508647,"""grasp""","""HumanNeedsHelp""","""HumanNeedsHelp""",True,0,'','',[],'','',"""reactive.pomdpx""","""0""","""0""",[]
1.54152982984476E+018,6796,3,"""OBSERVATION""",,1541529829,843444567,'',,0,0,'','','',False,0,"""LA","""LA","[False, False, False, False, False, False]","""ONGOING""",'','','','',[]
1.54152983784381E+018,6796,3,"""SENSORS""",,1541529837,843695038,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.54153008640084E+018,6796,3,"""HUMAN""",,1541530086,398256683,"""expert_tired_noncollaborative.POMDPx""",,1541529827,968264453,"""2""","""Recovery""","""Recovery""",True,0,'','',[],'','','','','',[]
1.5415300864171E+018,6796,4,"""HUMAN""",,1541530086,413578638,"""expert_tired_noncollaborative.POMDPx""",,1541529827,968264453,"""2""","""Recovery""","""GlobalSuccess""",False,0,'','',[],'','','','','',[]
1.54153010763754E+018,6797,0,"""MANAGER""",,1541530107,637014001,"""expert_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""reactive.pomdpx""",'','',[]
1.54153010868108E+018,6797,0,"""ROBOT""",,1541530108,679265861,'',,1541530108,676350331,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""reactive.pomdpx""","""6""","""5.7624""",[]
1.54153010869328E+018,6797,0,"""HUMAN""",,1541530108,690400721,"""expert_tired_noncollaborative.POMDPx""",,1541530108,504471814,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.54153010869873E+018,6797,1,"""ROBOT""",,1541530108,697801836,'',,1541530108,676350331,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""reactive.pomdpx""","""0""","""0""",[]
1.5415301148444E+018,6797,1,"""SENSORS""",,1541530114,844221580,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.54153011779398E+018,6797,1,"""OBSERVATION""",,1541530117,792737299,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, True, False, False, False]","""SUCCESS""","""human""",'','','',[]
1.54153011886826E+018,6797,1,"""HUMAN""",,1541530118,866130252,"""expert_tired_noncollaborative.POMDPx""",,1541530109,750055837,"""0""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.54153011887373E+018,6797,2,"""ROBOT""",,1541530118,872785078,'',,1541530118,858059187,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,0,'','',[],'','',"""reactive.pomdpx""","""6""","""5.88""",[]
1.54153011888514E+018,6797,2,"""HUMAN""",,1541530118,881505378,"""expert_tired_noncollaborative.POMDPx""",,1541530109,750055837,"""0""","""Evaluating""","""GlobalSuccess""",False,0,'','',[],'','','','','',[]
1.54153013064044E+018,6798,0,"""MANAGER""",,1541530130,640348650,"""expert_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""reactive.pomdpx""",'','',[]
1.54153013168633E+018,6798,0,"""ROBOT""",,1541530131,684851960,'',,1541530131,683005139,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""reactive.pomdpx""","""6""","""5.88""",[]
