task_id,total_disc_reward,warnings_received,time_took,task_status
1,4.359816,0.4,37.5986378193,1
2,2.805524,0.4,38.5986378193,1
3,2.807784,0.4,37.5986378193,1
4,2.4973682,0.8,40.1630625725,1
5,-4.799216,0.8,40.1630625725,0
6,2.807784,0.4,40.1630625725,1
7,-0.0668686,0.6,40.1630625725,1
8,-2.259976,1,40.1630625725,1
9,-2.259976,0.8,52.6273081303,1
10,2.814846,0.2,40.1630625725,1
11,-1.517576,0.8,40.1630625725,1
12,-2.356796,1.2,52.7841567993,0
13,1.32535,0.8,52.7841567993,1
14,1.32535,0,52.7841567993,1
15,-0.019452,0.8,52.8597207069,1
16,0.997254,0.4,52.8597207069,1
17,1.5282979,0.6,37.5986378193,1
18,-3.000026,0.8,37.5986378193,1
19,2.0940942,0.4,41.4972105026,1
20,1.672034,0.2,52.957691431,0
21,1.86657,0.6,53.2267079353,0
22,1.08606,0.4,37.5986378193,1
23,2.13247496,0.8,54.6821391582,1
24,3.311794,0.2,40.1630625725,1
25,-2.070102,1,52.5246946812,1
26,0.11030096,0.6,37.5986378193,1
27,-0.05534304,0.6,52.2539923191,0
28,0.9106904,0.8,52.7236001492,0
29,1.1494,0.4,52.4893221855,0
30,0.165078,0.8,41.4972105026,1
31,4.489514,0.4,37.5986378193,1
32,5.85648,0,37.5986378193,1
33,5.76334,0,16.4150500298,1
34,5.188944,0.2,20.1869730949,1
35,3.073802,0.4,51.4857497215,0
36,5.76287,0,15.8991110325,1
37,5.85648,0,6.4514980316,1
38,5.157516,0.2,15.8991110325,1
39,5.142374,0.2,15.8991110325,1
40,5.83343,0,7.2839024067,1
41,5.85648,0,12.3030278683,1
42,4.532446,0.2,12.0051305294,1
43,5.83296,0,6.5474660397,1
44,5.55141,0,6.9427075386,1
45,5.21015,0,11.865486145,1
46,5.198156,0,11.6052165031,1
47,1.8752,0.6,7.4925467968,1
48,5.76287,0,11.5515093803,1
49,5.80991,0,11.8944244385,1
50,5.12068,0.2,6.8800647259,1
51,5.83343,0,15.8991110325,1
52,5.85648,0,6.8547790051,1
53,5.78639,0,12.3227221966,1
54,5.73935,0,11.9943678379,1
55,5.677876,0,11.7223734856,1
56,5.26848,0,6.7383675575,1
57,5.001274,0.2,52.4888980389,1
58,5.85648,0,7.0083048344,1
59,4.339696,0.2,23.8816874027,1
60,5.85648,0,6.6425075531,1
61,-1.692562,0.4,7.1757354736,1
62,3.559614,0.2,6.9169363976,1
63,0.155232,0.4,21.7387890816,1
64,-0.453562,0.4,26.6076982021,1
65,-1.0151072,0.4,6.572401762,1
66,0.155232,0.2,11.0605728626,1
67,-2.936816,0.8,26.6069083214,0
68,3.445268,0.2,26.6069083214,1
69,0.747124,0.6,24.9409661293,1
70,2.025678,0.4,25.8443081379,1
71,-0.950908,0.6,26.6069083214,0
72,2.025678,0.8,36.8901188374,0
73,3.364896,0.4,36.8901188374,1
74,-1.047236,0.6,53.4771692753,0
75,0.091074,0.2,26.2703092098,0
76,2.327116,0.4,26.2703092098,1
77,1.5194746,0.4,6.6157364845,1
78,2.963068,0.4,6.9762279987,1
79,1.055794,0.4,36.8901188374,1
80,1.603698,0.2,6.8714435101,1
81,1.875628,0.2,28.072394371,0
82,2.79177,0.4,11.2046585083,1
83,3.425146,0.2,9.4167289734,1
84,3.41501,0.4,28.072394371,0
85,3.41161,0.2,52.7194347382,1
86,2.19559896,0.4,11.2046585083,1
87,0.101486,0.2,28.072394371,1
88,2.98564696,0.2,11.2046585083,0
89,2.8487,0.2,11.2046585083,1
90,2.025678,0.6,31.6268939972,1
91,1.875628,0.2,31.6268939972,1
92,2.025678,0,39.8569254875,1
93,2.149532,0.2,39.8569254875,1
94,3.15965,0.4,54.2915496826,1
95,4.694712,0.2,39.8569254875,1
96,5.44789,0,39.8569254875,1
97,5.307066,0,52.7194347382,1
98,4.804548,0.2,52.7194347382,1
99,5.3484,0,52.7194347382,1
100,4.868402,0,52.7194347382,1
101,5.376224,0,24.1105713844,1
102,5.307066,0,24.1105713844,1
103,4.608766,0,39.9522235394,1
104,5.279348,0,27.6302392483,1
105,5.56267,0,35.6906375885,1
106,5.307066,0.2,36.5775783062,1
107,5.56267,0.2,19.7261545658,1
108,5.307066,0.2,32.6636021137,1
109,4.85336,0.2,36.258808136,1
110,5.56267,0,34.1922223568,1
111,5.54094,0,33.7188904285,1
112,5.56267,0.2,39.3135671616,1
113,5.45194,0,32.168266058,1
114,4.67666,0.2,30.8442854881,1
115,4.95685,0.2,30.5159246922,1
116,1.114002,0.2,52.7298686504,0
117,3.87126,0.2,52.4841601849,1
118,5.49625,0,36.2209808826,1
119,2.4184532,0.2,52.4667952061,0
120,5.584418,0,22.7169194221,1
121,5.230436,0,29.933011055,1
122,2.560748,0.2,41.05625844,1
123,2.815942,0.4,52.9396648407,0
124,5.362,0,25.8614141941,1
125,5.45147,0,25.0041058064,1
126,4.834234,0.2,29.2193744183,1
127,4.111054,0.4,39.4355020523,1
128,4.888972,0,16.0909423828,1
129,2.917636,0.4,52.759275198,0
130,5.29465,0,24.5762457848,1
131,5.274694,0,52.9972879887,1
132,3.11631,0.2,26.3041946888,1
133,4.890716,0.2,22.6830005646,1
134,2.801772,0.2,25.9425477982,1
135,3.155792,0.2,21.1120743752,1
136,4.780818,0.2,15.660531044,1
137,1.5513399,0.4,38.6570055485,1
138,3.7708,0,30.8729310036,1
139,5.01071,0,28.9299411774,1
140,4.709518,0.2,21.2754983902,1
141,1.538092,0.8,28.631336689,1
142,5.251696,0,40.1700043678,1
143,3.878472,0,52.2109761238,0
144,0.4340706,0.4,52.5706264973,0
145,3.907682,0,25.8629603386,1
146,4.657846,0.2,67.5520169735,1
147,4.3005944,0.4,52.5005404949,1
148,4.55890296,0.2,7.6398038864,1
149,4.25291,0,29.1735599041,1
150,3.2592839,0.4,24.3477447033,1
151,5.022964,0,22.8433818817,1
152,1.82976,0,6.2699365616,1
153,-1.86069,0.6,52.859511137,0
154,3.07252,0.2,6.5556445122,1
155,4.00059902,0.2,21.3213133812,1
156,3.48136,0.4,52.0698544979,1
157,3.156246,0.2,52.7123777866,0
158,2.415072,0.4,36.6677501202,1
159,5.59431,0,24.6270782948,1
160,5.83343,0,41.1776266098,1
161,2.854726,0.2,24.6270782948,1
162,3.65162,0.2,24.6270782948,1
163,3.45031,0,24.8440206051,1
164,1.1586346,0.8,52.2675845623,1
165,3.345692,0.2,24.6270782948,1
166,0.145322,0.4,24.6270782948,0
167,4.609962,0.2,24.6270782948,1
168,5.165424,0,32.4481077194,1
169,4.70625,0,32.4481077194,1
170,4.686516,0.2,43.6148862839,1
171,1.194674,0.4,39.4569504261,1
172,4.686516,0.2,29.6640028954,0
