rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward
1.53582274658371E+018,1,0,"""MANAGER""",,1535822746,583211133,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582274775627E+018,1,0,"""ROBOT""",,1535822747,754441686,'',,1535822747,751993375,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""",'',''
1.53582275140069E+018,1,0,"""OBSERVATION""",,1535822751,399345318,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','',''
1.53582275268667E+018,1,0,"""HUMAN""",,1535822752,683138393,"""distracted_collaborative.POMDPx""",,1535822747,468883834,"""1""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','',''
1.5358227526942E+018,1,1,"""ROBOT""",,1535822752,693223890,'',,1535822752,654222851,"""idle""","""NoFocus""","""TaskHuman""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582275540054E+018,1,1,"""OBSERVATION""",,1535822755,399148995,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','',''
1.53582275695942E+018,1,1,"""HUMAN""",,1535822756,956708142,"""distracted_collaborative.POMDPx""",,1535822753,774744823,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','',''
1.53582275696499E+018,1,2,"""ROBOT""",,1535822756,964035087,'',,1535822756,628937881,"""planning for grasping""","""NoFocus""","""MayBeTired""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582275953548E+018,1,2,"""OBSERVATION""",,1535822759,533958611,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','',''
1.53582276108415E+018,1,2,"""HUMAN""",,1535822761,81525897,"""distracted_collaborative.POMDPx""",,1535822758,28850881,"""1""","""Tired""","""Tired""",True,0,'','',[],'','','','',''
1.53582276108978E+018,1,3,"""ROBOT""",,1535822761,88869153,'',,1535822760,801516579,"""planning for grasping""","""NeedsToBeReminded""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582276353905E+018,1,3,"""OBSERVATION""",,1535822763,537771767,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.53582276506815E+018,1,3,"""HUMAN""",,1535822765,64733073,"""distracted_collaborative.POMDPx""",,1535822762,142885183,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','',''
1.53582276507344E+018,1,4,"""ROBOT""",,1535822765,72557780,'',,1535822764,806321133,"""grasp""","""NeedsHelp""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582276711945E+018,1,4,"""OBSERVATION""",,1535822767,118149610,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.53582276849282E+018,1,4,"""HUMAN""",,1535822768,490199316,"""distracted_collaborative.POMDPx""",,1535822766,145992107,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','',''
1.53582276850019E+018,1,5,"""ROBOT""",,1535822768,499223824,'',,1535822768,363515437,"""planning for grasping""","""MayBeTired""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582277078487E+018,1,5,"""OBSERVATION""",,1535822770,783475686,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.53582277223199E+018,1,5,"""HUMAN""",,1535822772,229664417,"""distracted_collaborative.POMDPx""",,1535822769,568313518,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','',''
1.53582277223777E+018,1,6,"""ROBOT""",,1535822772,236806662,'',,1535822772,50720484,"""grasp""","""NeedsHelp""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
