task_id,total_disc_reward,cumulative_reward,moving_avg_reward,overall_est_accur,warnings_received,cumulative_warnings,moving_avg_warnings,robot_model_ID
1,5.20875,5.20875,5.20875,0,0,0,0,0
2,5.20875,10.4175,5.20875,33.3333333333,0,0,0,0
3,-3.56478,6.85272,2.28424,37.5,0,0,0,0
4,5.20875,12.06147,3.0153675,12.5,0,0,0,0
5,5.20875,17.27022,3.454044,25,0,0,0,0
6,5.88,23.15022,3.85837,100,0,0,0,0
7,5.88,29.03022,4.1471742857,100,0,0,0,0
8,5.20875,34.23897,4.27987125,50,0,0,0,0
9,5.64715,39.88612,4.4317911111,80,0,0,0,0
10,3.19428,43.0804,4.30804,40,0,0,0,0
11,5.88,48.9604,4.4509454545,100,0,0,0,0
12,5.88,54.8404,4.5700333333,100,0,0,0,0
13,4.68675,59.52715,4.5790115385,80,0,0,0,0
14,5.88,65.40715,4.6719392857,100,0,0,0,0
15,4.59302,70.00017,4.666678,66.6666666667,0,0,0,0
16,5.88,75.88017,4.742510625,100,0,0,0,0
17,5.88,81.76017,4.8094217647,100,0,0,0,0
18,4.68675,86.44692,4.8026066667,80,0,0,0,0
19,5.42352,91.87044,4.8352863158,50,0,0,0,0
20,5.88,97.75044,4.887522,100,0,0,0,0
21,5.88,103.63044,4.9347828571,100,0,0,0,0
22,5.88,109.51044,4.9777472727,100,0,0,0,0
23,-8.25939,101.25105,4.4022195652,20,2,2,0.0869565217,0
24,5.7624,107.01345,4.45889375,100,0,2,0.0833333333,0
25,5.7624,112.77585,4.511034,100,0,2,0.08,0
26,5.88,118.65585,4.5636865385,100,0,2,0.0769230769,0
27,5.88,124.53585,4.6124388889,100,0,2,0.0740740741,0
28,5.88,130.41585,4.6577089286,100,0,2,0.0714285714,0
29,5.7624,136.17825,4.6958017241,75,0,2,0.0689655172,0
30,5.7624,141.94065,4.731355,100,0,2,0.0666666667,0
31,5.7624,147.70305,4.7646145161,100,0,2,0.064516129,0
32,5.88,153.58305,4.7994703125,100,0,2,0.0625,0
33,5.88,159.46305,4.8322136364,100,0,2,0.0606060606,0
34,5.88,165.34305,4.8630308824,100,0,2,0.0588235294,0
35,5.88,171.22305,4.8920871429,100,0,2,0.0571428571,0
36,5.20875,176.4318,4.9008833333,22.2222222222,0,2,0.0555555556,0
