rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward
1.53582274658371E+018,1,0,"""MANAGER""",,1535822746,583211133,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582277560438E+018,1,6,"""SENSORS""",,1535822775,604248385,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','',''
1.53582278660546E+018,2,0,"""MANAGER""",,1535822786,605308443,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582282160379E+018,2,7,"""SENSORS""",,1535822821,603666962,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','',''
1.53582283319922E+018,3,0,"""MANAGER""",,1535822833,199056216,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582288595284E+018,3,6,"""SENSORS""",,1535822885,952655241,'',,0,0,'','','',False,0,'','',[],"""FAIL""",'','','',''
1.53582289805016E+018,4,0,"""MANAGER""",,1535822898,49989287,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582294060418E+018,4,6,"""SENSORS""",,1535822940,603985381,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','',''
1.53582296117156E+018,5,0,"""MANAGER""",,1535822961,171326686,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582299760421E+018,5,6,"""SENSORS""",,1535822997,603788318,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','',''
1.53582300995369E+018,6,0,"""MANAGER""",,1535823009,953610354,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582301660415E+018,6,1,"""SENSORS""",,1535823016,603998314,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','',''
1.53582303229749E+018,7,0,"""MANAGER""",,1535823032,297400438,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582303960418E+018,7,1,"""SENSORS""",,1535823039,604044262,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','',''
1.5358230546574E+018,8,0,"""MANAGER""",,1535823054,657261646,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582308960382E+018,8,6,"""SENSORS""",,1535823089,603688075,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','',''
1.53582310571961E+018,9,0,"""MANAGER""",,1535823105,719510941,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582312460421E+018,9,3,"""SENSORS""",,1535823124,604055066,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','',''
1.53582313977857E+018,10,0,"""MANAGER""",,1535823139,778485129,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582319280305E+018,10,8,"""SENSORS""",,1535823192,802782686,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','',''
1.53582320508253E+018,11,0,"""MANAGER""",,1535823205,82457959,"""distracted_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582321260431E+018,11,1,"""SENSORS""",,1535823212,604138463,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','',''
1.53582322836923E+018,12,0,"""MANAGER""",,1535823228,369129633,"""distracted_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582323560423E+018,12,1,"""SENSORS""",,1535823235,604084187,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','',''
1.53582324978035E+018,13,0,"""MANAGER""",,1535823249,780140777,"""distracted_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582326960425E+018,13,3,"""SENSORS""",,1535823269,604101273,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','',''
1.53582328548879E+018,14,0,"""MANAGER""",,1535823285,488686466,"""distracted_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582329260417E+018,14,1,"""SENSORS""",,1535823292,604053194,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','',''
1.53582330822438E+018,15,0,"""MANAGER""",,1535823308,224256279,"""distracted_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582333260421E+018,15,4,"""SENSORS""",,1535823332,604055952,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','',''
1.53582334765545E+018,16,0,"""MANAGER""",,1535823347,655260103,"""distracted_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582335460418E+018,16,1,"""SENSORS""",,1535823354,603993148,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','',''
1.53582337034846E+018,17,0,"""MANAGER""",,1535823370,348235443,"""distracted_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582337760424E+018,17,1,"""SENSORS""",,1535823377,604097616,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','',''
