rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1535996567672201004,1,0,"""HUMAN""",,1535996567,668979143,"""distracted_collaborative.POMDPx""",,1535996567,367861561,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1535996574399555710,1,1,"""HUMAN""",,1535996574,397244777,"""distracted_collaborative.POMDPx""",,1535996568,766003764,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1535996574399555710,1,1,"""HUMAN""",,1535996574,397244777,"""distracted_collaborative.POMDPx""",,1535996569,766003764,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1535996574399555710,1,1,"""HUMAN""",,1535996574,397244777,"""distracted_collaborative.POMDPx""",,1535996570,766003764,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1535996574399555710,1,1,"""HUMAN""",,1535996574,397244777,"""distracted_collaborative.POMDPx""",,1535996571,766003764,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1535996574399555710,1,1,"""HUMAN""",,1535996574,397244777,"""distracted_collaborative.POMDPx""",,1535996572,766003764,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1535996574399555710,1,1,"""HUMAN""",,1535996574,397244777,"""distracted_collaborative.POMDPx""",,1535996573,766003764,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1535996574399555710,1,1,"""HUMAN""",,1535996574,397244777,"""distracted_collaborative.POMDPx""",,1535996574,766003764,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1535996578643518976,1,2,"""HUMAN""",,1535996578,641053699,"""distracted_collaborative.POMDPx""",,1535996575,475491181,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1535996578643518976,1,2,"""HUMAN""",,1535996578,641053699,"""distracted_collaborative.POMDPx""",,1535996576,475491181,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
