rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1535996566471094624,1,0,"""MANAGER""",,1535996566,470929808,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1535996567653023722,1,0,"""ROBOT""",,1535996567,651227655,'',,1535996567,648541799,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""",'','',[]
1535996567672201004,1,0,"""HUMAN""",,1535996567,668979143,"""distracted_collaborative.POMDPx""",,1535996567,367861561,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1535996567678621277,1,1,"""ROBOT""",,1535996567,677655605,'',,1535996567,648541799,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1535996572864068975,1,1,"""OBSERVATION""",,1535996572,862637561,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1535996574399555710,1,1,"""HUMAN""",,1535996574,397244777,"""distracted_collaborative.POMDPx""",,1535996568,766003764,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1535996574406007781,1,2,"""ROBOT""",,1535996574,405009011,'',,1535996574,133128679,"""planning for grasping""","""NoFocus""","""NoFocus""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1535996577130336058,1,2,"""OBSERVATION""",,1535996577,128920313,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1535996578643518976,1,2,"""HUMAN""",,1535996578,641053699,"""distracted_collaborative.POMDPx""",,1535996575,475491181,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1535996578648378476,1,3,"""ROBOT""",,1535996578,647470617,'',,1535996578,388050866,"""planning for grasping""","""NoFocus""","""TaskHuman""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
