task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,moving_avg_time,task_status,moving_avg_status,who_succeeded
1,1535996566,470929808,1535996593,670303576,27.199373722076416,27.199373722076416,1,1.0,"""robot"""
2,1535996603,485809924,1535996610,666948606,7.181138515472412,17.190256118774414,1,1.0,"""human"""
3,1535996624,304823398,1535996676,382307458,52.077484130859375,28.819332122802734,1,1.0,"""robot"""
4,1535996687,410864366,1535996739,545143023,52.134278774261475,34.64806878566742,1,1.0,"""robot"""
5,1535996754,379746026,1535996788,666597601,34.28685164451599,34.57582535743713,1,1.0,"""robot"""
6,1535996799,100311770,1535996817,667185082,18.56687331199646,31.90766668319702,1,1.0,"""human"""
7,1535996830,748165247,1535996855,666574140,24.9184091091156,30.909201315471105,1,1.0,"""robot"""
8,1535996866,112521292,1535996899,666679600,33.554158210754395,31.239820927381516,1,1.0,"""robot"""
9,1535996910,997298403,1535996933,666693967,22.669395446777344,30.287551429536606,1,1.0,"""robot"""
10,1535996943,735874343,1535996970,667191160,26.93131685256958,29.951927971839904,1,1.0,"""robot"""
11,1535996980,651553686,1535997022,666741817,42.015188217163086,31.04858799414201,1,1.0,"""robot"""
12,1535997043,921794347,1535997050,666943428,6.7451488971710205,29.023301402727764,1,1.0,"""human"""
13,1535997064,565050616,1535997090,666663922,26.10161328315735,28.798556162760807,1,1.0,"""robot"""
14,1535997101,393165582,1535997132,666793840,31.27362823486328,28.975347025053843,1,1.0,"""robot"""
15,1535997143,280586169,1535997150,667066518,7.386480331420898,27.536089245478312,1,1.0,"""human"""
16,1535997164,11207329,1535997184,667033724,20.55496048927307,27.099768698215485,1,1.0,"""human"""
17,1535997198,555064143,1535997235,667002143,37.11193799972534,27.688719833598416,1,1.0,"""human"""
18,1535997249,247331335,1535997274,666767289,25.41943597793579,27.56264850828383,1,1.0,"""robot"""
19,1535997284,966773469,1535997337,61880040,52.652026891708374,28.883142107411434,1,1.0,"""robot"""
20,1535997348,69189109,1535997399,945167236,51.253276109695435,30.001648807525633,0,0.95,''
21,1535997410,478449425,1535997462,894947870,52.41649842262268,31.069022598720732,1,0.9523809523809523,"""robot"""
22,1535997477,607484801,1535997519,666893387,42.05940866470337,31.568585601719942,1,0.9545454545454546,"""robot"""
23,1535997538,362057201,1535997564,666595177,26.304538011550903,31.339713967364766,1,0.9565217391304348,"""robot"""
24,1535997576,638704360,1535997591,667100463,15.028396129608154,30.66007572412491,1,0.9583333333333334,"""human"""
25,1535997604,985594044,1535997611,667023915,6.681429862976074,29.700929889678957,1,0.96,"""human"""
26,1535997625,554334582,1535997638,667118079,13.112783432006836,29.062924256691566,1,0.9615384615384616,"""human"""
27,1535997652,77004175,1535997658,667232675,5.897191047668457,28.20493413783886,1,0.9629629629629629,"""human"""
28,1535997672,729444664,1535997679,667090655,6.93764591217041,27.44538812977927,1,0.9642857142857143,"""human"""
29,1535997693,453553562,1535997700,667037451,7.213483810424805,26.747736256698083,1,0.9655172413793104,"""human"""
30,1535997714,35913232,1535997735,666928601,21.307796239852905,26.566404922803244,1,0.9666666666666667,"""human"""
31,1535997749,742956960,1535997802,666673836,52.92371702194214,27.416640796969013,1,0.967741935483871,"""robot"""
32,1535997812,738633754,1535997834,667087858,21.92845392227173,27.245134957134724,1,0.96875,"""human"""
33,1535997848,257482852,1535997875,666628542,27.409145832061768,27.250104983647663,1,0.9696969696969697,"""robot"""
34,1535997885,837910140,1535997919,666676721,33.82876658439636,27.44359503072851,1,0.9705882352941176,"""robot"""
35,1535997930,846415315,1535997983,34371872,52.49730348587036,28.15941527230399,1,0.9714285714285714,"""robot"""
36,1535997997,795203136,1535998027,667038665,29.871835470199585,28.20698250002331,1,0.9722222222222222,"""human"""
37,1535998040,293836064,1535998069,666632205,29.372796058654785,28.23849097458092,1,0.972972972972973,"""robot"""
38,1535998080,112679485,1535998132,212003049,52.09932351112366,28.866407620279414,0,0.9473684210526315,''
39,1535998143,83923922,1535998169,666634657,25.82739543914795,28.78848423101963,1,0.9487179487179487,"""robot"""
40,1535998180,68780939,1535998200,666987250,19.979177713394165,28.568251568078995,1,0.95,"""human"""
41,1535998214,582724203,1535998242,666598700,28.083874702453613,28.556437498185694,1,0.9512195121951219,"""robot"""
42,1535998252,91717499,1535998265,667120239,12.749945163726807,28.18009244260334,1,0.9523809523809523,"""human"""
43,1535998278,810038571,1535998331,130019661,52.31998109817505,28.74148520203524,0,0.9302325581395349,''
44,1535998348,483694600,1535998389,668137224,41.18444275856018,29.02427969195626,1,0.9318181818181818,"""robot"""
45,1535998400,281189559,1535998407,667040693,7.385851144790649,28.54342572424147,1,0.9333333333333333,"""human"""
46,1535998420,879193367,1535998447,666618363,26.78742504119873,28.505251796349235,1,0.9347826086956522,"""robot"""
47,1535998457,792599221,1535998490,666597229,32.873997926712036,28.598203841676103,1,0.9361702127659575,"""robot"""
48,1535998501,481776762,1535998517,666957641,16.18518090248108,28.33959919710954,1,0.9375,"""human"""
49,1535998532,14853515,1535998566,666667142,34.51813197135925,28.465691702706472,1,0.9387755102040817,"""robot"""
50,1535998578,246778946,1535998615,666855884,37.420076847076416,28.644779405593873,1,0.94,"""robot"""
51,1535998626,144642893,1535998633,667012405,7.522369623184204,28.230614507899563,1,0.9411764705882353,"""human"""
52,1535998646,656285045,1535998657,667010714,11.010725736618042,27.899462800759537,1,0.9423076923076923,"""human"""
53,1535998671,412017750,1535998681,666996573,10.254978656768799,27.566548005589897,1,0.9433962264150944,"""human"""
54,1535998695,873582707,1535998702,667053346,6.793470859527588,27.181861391773932,1,0.9444444444444444,"""human"""
55,1535998716,352644602,1535998727,667142367,11.314497709274292,26.893363870273937,1,0.9454545454545454,"""human"""
56,1535998740,938033745,1535998747,667008760,6.728975057601929,26.53328549861908,1,0.9464285714285714,"""human"""
57,1535998761,381363440,1535998771,666976990,10.285613536834717,26.248238622096547,1,0.9473684210526315,"""human"""
