rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.53829588081825E+018,1,0,"""MANAGER""",,1538295880,817679900,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53829588198777E+018,1,0,"""ROBOT""",,1538295881,986003631,'',,1538295881,983810140,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""",'','',[]
1.53829588619346E+018,1,0,"""OBSERVATION""",,1538295886,191941738,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1.53829588774967E+018,1,0,"""HUMAN""",,1538295887,746316677,"""distracted_collaborative.POMDPx""",,1538295881,688277590,"""1""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53829588775916E+018,1,1,"""ROBOT""",,1538295887,758121742,'',,1538295887,420365220,"""planning for grasping""","""NoFocus""","""NoFocus""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1.53829589082643E+018,1,1,"""OBSERVATION""",,1538295890,825003353,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1.53829589240124E+018,1,1,"""HUMAN""",,1538295892,399119949,"""distracted_collaborative.POMDPx""",,1538295888,837279186,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53829589241447E+018,1,2,"""ROBOT""",,1538295892,413322430,'',,1538295892,103867763,"""point to remind""","""NoFocus""","""TaskHuman""",False,0,'','',[],'','',"""base.pomdpx""","""-1""","""-0.9604""",[]
1.53829589502605E+018,1,2,"""OBSERVATION""",,1538295895,24839311,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1.53829589665721E+018,1,2,"""HUMAN""",,1538295896,654962874,"""distracted_collaborative.POMDPx""",,1538295893,480189375,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53829589666925E+018,1,3,"""ROBOT""",,1538295896,668138796,'',,1538295896,316031319,"""planning for grasping""","""NoFocus""","""NeedsToBeReminded""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""-0.9604""",[]
1.53829590030936E+018,1,3,"""OBSERVATION""",,1538295900,308088799,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.53829590202299E+018,1,3,"""HUMAN""",,1538295902,20704894,"""distracted_collaborative.POMDPx""",,1538295897,746489470,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53829590203169E+018,1,4,"""ROBOT""",,1538295902,30652720,'',,1538295901,587407862,"""planning for grasping""","""NeedsHelp""","""NeedsToBeReminded""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""-0.9604""",[]
1.53829590774283E+018,1,4,"""OBSERVATION""",,1538295907,741592930,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1.53829590932462E+018,1,4,"""HUMAN""",,1538295909,322400425,"""distracted_collaborative.POMDPx""",,1538295903,89077273,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53829590933807E+018,1,5,"""ROBOT""",,1538295909,336884928,'',,1538295908,997342920,"""grasp""","""NeedsHelp""","""NeedsToBeReminded""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""-0.9604""",[]
1.53829591257668E+018,1,5,"""OBSERVATION""",,1538295912,575329305,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.53829591414163E+018,1,5,"""HUMAN""",,1538295914,139120717,"""distracted_collaborative.POMDPx""",,1538295910,403230783,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53829591415073E+018,1,6,"""ROBOT""",,1538295914,149692758,'',,1538295913,867037380,"""planning for grasping""","""MayBeTired""","""NeedsToBeReminded""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""-0.9604""",[]
1.53829591715946E+018,1,6,"""OBSERVATION""",,1538295917,158150263,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.53829591875158E+018,1,6,"""HUMAN""",,1538295918,749064139,"""distracted_collaborative.POMDPx""",,1538295915,211158413,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.5382959187616E+018,1,7,"""ROBOT""",,1538295918,760484162,'',,1538295918,456431976,"""point to remind""","""NoFocus""","""TaskHuman""",False,0,'','',[],'','',"""base.pomdpx""","""-1""","""-1.82853""",[]
1.5382959194092E+018,1,7,"""SENSORS""",,1538295919,408989710,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.5382959327416E+018,1,7,"""OBSERVATION""",,1538295924,541641328,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""SUCCESS""","""robot""",'','','',[]
1.53829593403273E+018,1,7,"""HUMAN""",,1538295934,30139648,"""distracted_collaborative.POMDPx""",,1538295919,827760763,"""0""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53829593404949E+018,1,8,"""ROBOT""",,1538295934,48133884,'',,1538295934,19416379,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,0,'','',[],'','',"""base.pomdpx""","""6""","""3.27605""",[]
