rosbagTimestamp,task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward
1.53582274775627E+018,1,0,"""ROBOT""",,1535822747,754441686,'',,1535822747,751993375,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""",'',''
1.5358227526942E+018,1,1,"""ROBOT""",,1535822752,693223890,'',,1535822752,654222851,"""idle""","""NoFocus""","""TaskHuman""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582275696499E+018,1,2,"""ROBOT""",,1535822756,964035087,'',,1535822756,628937881,"""planning for grasping""","""NoFocus""","""MayBeTired""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582276108978E+018,1,3,"""ROBOT""",,1535822761,88869153,'',,1535822760,801516579,"""planning for grasping""","""NeedsToBeReminded""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582276507344E+018,1,4,"""ROBOT""",,1535822765,72557780,'',,1535822764,806321133,"""grasp""","""NeedsHelp""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582276850019E+018,1,5,"""ROBOT""",,1535822768,499223824,'',,1535822768,363515437,"""planning for grasping""","""MayBeTired""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582277223777E+018,1,6,"""ROBOT""",,1535822772,236806662,'',,1535822772,50720484,"""grasp""","""NeedsHelp""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582277593667E+018,1,7,"""ROBOT""",,1535822775,935677760,'',,1535822775,804790615,"""planning for grasping""","""NoFocus""","""GlobalSuccess""",False,0,'','',[],'','',"""base.pomdpx""","""6""","""5.20875"""
1.53582278776372E+018,2,0,"""ROBOT""",,1535822787,761659870,'',,1535822787,758771303,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""6""","""5.20875"""
1.53582278778057E+018,2,1,"""ROBOT""",,1535822787,779620703,'',,1535822787,758771303,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.5358227952968E+018,2,2,"""ROBOT""",,1535822795,295588320,'',,1535822794,814722946,"""planning for grasping""","""NoFocus""","""MayBeTired""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582279973312E+018,2,3,"""ROBOT""",,1535822799,732086790,'',,1535822799,700067501,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582280452764E+018,2,4,"""ROBOT""",,1535822804,526467282,'',,1535822804,313461585,"""planning for grasping""","""MayBeTired""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.5358228098741E+018,2,5,"""ROBOT""",,1535822809,873018193,'',,1535822809,554067372,"""grasp""","""NeedsToBeReminded""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582281471082E+018,2,6,"""ROBOT""",,1535822814,709738725,'',,1535822814,568174050,"""planning for grasping""","""MayBeTired""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582281853586E+018,2,7,"""ROBOT""",,1535822818,534979927,'',,1535822818,341721662,"""grasp""","""NeedsHelp""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582282283503E+018,2,8,"""ROBOT""",,1535822822,834045515,'',,1535822822,488793660,"""planning for grasping""","""MayBeTired""","""GlobalSuccess""",False,0,'','',[],'','',"""base.pomdpx""","""6""","""5.20875"""
1.53582283438656E+018,3,0,"""ROBOT""",,1535822834,384753754,'',,1535822834,382540233,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""6""","""5.20875"""
1.53582284056191E+018,3,1,"""ROBOT""",,1535822840,560888581,'',,1535822840,232105421,"""planning for grasping""","""NoFocus""","""TaskHuman""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582284555858E+018,3,2,"""ROBOT""",,1535822845,557515933,'',,1535822845,265373705,"""point to remind""","""NoFocus""","""TaskHuman""",False,0,'','',[],'','',"""base.pomdpx""","""-1""","""-0.9604"""
1.5358228499832E+018,3,3,"""ROBOT""",,1535822849,982064395,'',,1535822849,852772965,"""planning for grasping""","""NoFocus""","""NoFocus""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""-0.9604"""
1.53582285503115E+018,3,4,"""ROBOT""",,1535822855,30053111,'',,1535822854,673270426,"""planning for grasping""","""NeedsToBeReminded""","""NeedsToBeReminded""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""-0.9604"""
1.53582285974394E+018,3,5,"""ROBOT""",,1535822859,742663358,'',,1535822859,530483065,"""point to remind""","""NeedsToBeReminded""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""-0.9604"""
1.53582287414114E+018,3,6,"""ROBOT""",,1535822874,140147236,'',,1535822873,967648377,"""planning for grasping""","""NeedsHelp""","""MayNotBeCapable""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""-0.9604"""
1.53582288750822E+018,3,7,"""ROBOT""",,1535822887,507287324,'',,1535822887,230196766,"""grasp""","""NeedsHelp""","""GlobalFail""",False,0,'','',[],'','',"""base.pomdpx""","""-3""","""-3.56478"""
1.53582289922324E+018,4,0,"""ROBOT""",,1535822899,221466440,'',,1535822899,219368962,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""-3""","""-3.56478"""
1.53582290518197E+018,4,1,"""ROBOT""",,1535822905,180961614,'',,1535822904,817642789,"""planning for grasping""","""NoFocus""","""TaskHuman""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582291991804E+018,4,2,"""ROBOT""",,1535822919,916834454,'',,1535822919,898094208,"""idle""","""NoNeedHelp""","""MayNotBeCapable""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582292514729E+018,4,3,"""ROBOT""",,1535822925,146302772,'',,1535822924,934397985,"""planning for grasping""","""MayNotBeCapable""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582292959174E+018,4,4,"""ROBOT""",,1535822929,590784962,'',,1535822929,345956597,"""grasp""","""NeedsHelp""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582293447739E+018,4,5,"""ROBOT""",,1535822934,476327417,'',,1535822934,212255248,"""planning for grasping""","""MayBeTired""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582293876006E+018,4,6,"""ROBOT""",,1535822938,759023692,'',,1535822938,479315242,"""grasp""","""NeedsHelp""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582295042931E+018,4,7,"""ROBOT""",,1535822950,428465967,'',,1535822942,971301635,"""planning for grasping""","""MayBeTired""","""GlobalSuccess""",False,0,'','',[],'','',"""base.pomdpx""","""6""","""5.20875"""
1.53582296234823E+018,5,0,"""ROBOT""",,1535822962,346304138,'',,1535822962,343853448,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""6""","""5.20875"""
