task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,task_status,who_succeeded
1,1535822746,583211133,1535822775,604248385,29.021037101745605,"""SUCCESS""","""robot"""
2,1535822786,605308443,1535822821,603666962,34.998358488082886,"""SUCCESS""","""robot"""
3,1535822833,199056216,1535822885,952655241,52.75359916687012,"""FAIL""",''
4,1535822898,49989287,1535822940,603985381,42.10409235954285,"""SUCCESS""","""robot"""
5,1535822961,171326686,1535822997,603788318,36.432461738586426,"""SUCCESS""","""robot"""
6,1535823009,953610354,1535823016,603998314,6.65038800239563,"""SUCCESS""","""human"""
7,1535823032,297400438,1535823039,604044262,7.306643724441528,"""SUCCESS""","""human"""
8,1535823054,657261646,1535823089,603688075,34.94642639160156,"""SUCCESS""","""robot"""
9,1535823105,719510941,1535823124,604055066,18.884544134140015,"""SUCCESS""","""human"""
10,1535823139,778485129,1535823192,802782686,53.0242977142334,"""SUCCESS""","""robot"""
11,1535823205,82457959,1535823212,604138463,6.779558897018433,"""SUCCESS""","""human"""
12,1535823228,369129633,1535823235,604084187,7.234954595565796,"""SUCCESS""","""human"""
13,1535823249,780140777,1535823269,604101273,19.823960304260254,"""SUCCESS""","""human"""
14,1535823285,488686466,1535823292,604053194,7.115366697311401,"""SUCCESS""","""human"""
15,1535823308,224256279,1535823332,604055952,24.379799604415894,"""SUCCESS""","""human"""
16,1535823347,655260103,1535823354,603993148,6.94873309135437,"""SUCCESS""","""human"""
17,1535823370,348235443,1535823377,604097616,7.255862236022949,"""SUCCESS""","""human"""
18,1535823392,450488847,1535823411,603976658,19.15348792076111,"""SUCCESS""","""human"""
19,1535823427,13707700,1535823455,604157153,28.467080116271973,"""SUCCESS""","""human"""
20,1535823470,488586585,1535823477,604096130,7.115509510040283,"""SUCCESS""","""human"""
21,1535823493,78921917,1535823500,604045113,6.814826011657715,"""SUCCESS""","""human"""
22,1535823515,287397045,1535823522,604173592,7.316776514053345,"""SUCCESS""","""human"""
23,1535823537,854880671,1535823591,136247239,53.28136658668518,"""FAIL""",''
24,1535823602,684113198,1535823614,604010677,11.919897317886353,"""SUCCESS""","""human"""
25,1535823630,683188432,1535823642,604131702,11.920943260192871,"""SUCCESS""","""human"""
26,1535823658,157850342,1535823665,604004553,7.446154356002808,"""SUCCESS""","""human"""
27,1535823681,118027996,1535823688,604186419,7.486158609390259,"""SUCCESS""","""human"""
28,1535823704,77003475,1535823711,604239038,6.834204196929932,"""SUCCESS""","""human"""
29,1535823725,764208212,1535823737,604031778,11.839823484420776,"""SUCCESS""","""human"""
30,1535823752,628564233,1535823764,604054620,11.97549057006836,"""SUCCESS""","""human"""
31,1535823779,961623613,1535823790,604051025,10.642427444458008,"""SUCCESS""","""human"""
32,1535823805,803732869,1535823812,604039800,6.800307035446167,"""SUCCESS""","""human"""
33,1535823828,529764358,1535823835,604034270,7.074269771575928,"""SUCCESS""","""human"""
34,1535823850,774251320,1535823857,604018572,6.829767465591431,"""SUCCESS""","""human"""
35,1535823873,57587090,1535823880,604131576,7.0282604694366455,"""SUCCESS""","""human"""
36,1535823895,322600814,1535823930,604029860,35.281429052352905,"""SUCCESS""","""human"""
37,1535823945,486314110,1535823952,604044297,7.117730140686035,"""SUCCESS""","""human"""
38,1535823967,103011064,1535823974,603963884,7.50095272064209,"""SUCCESS""","""human"""
39,1535823989,342590500,1535824005,604054647,16.26146411895752,"""SUCCESS""","""human"""
40,1535824020,846255783,1535824032,604217947,11.757962226867676,"""SUCCESS""","""human"""
