rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1535996567672201004,1,0,"""HUMAN""",,1535996567,668979143,"""distracted_collaborative.POMDPx""",,1535996567,367861561,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1535996574399555710,1,1,"""HUMAN""",,1535996574,397244777,"""distracted_collaborative.POMDPx""",,1535996568,766003764,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1535996578643518976,1,2,"""HUMAN""",,1535996578,641053699,"""distracted_collaborative.POMDPx""",,1535996575,475491181,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1535996583023258311,1,3,"""HUMAN""",,1535996583,21165689,"""distracted_collaborative.POMDPx""",,1535996579,709736166,"""2""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1535996587314200955,1,4,"""HUMAN""",,1535996587,312150188,"""distracted_collaborative.POMDPx""",,1535996584,86075748,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1535996593989759795,1,5,"""HUMAN""",,1535996593,987307269,"""distracted_collaborative.POMDPx""",,1535996588,387983854,"""1""","""WarningTheRobot""","""WarningTheRobot""",True,0,'','',[],'','','','','',[]
1535996594002132752,1,6,"""HUMAN""",,1535996593,998876124,"""distracted_collaborative.POMDPx""",,1535996588,387983854,"""1""","""WarningTheRobot""","""GlobalSuccess""",False,0,'','',[],'','','','','',[]
1535996604675034196,2,0,"""HUMAN""",,1535996604,672123489,"""distracted_collaborative.POMDPx""",,1535996604,368973578,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1535996614031963693,2,1,"""HUMAN""",,1535996614,28844352,"""distracted_collaborative.POMDPx""",,1535996605,745822149,"""0""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1535996614045499785,2,2,"""HUMAN""",,1535996614,41600143,"""distracted_collaborative.POMDPx""",,1535996605,745822149,"""0""","""Evaluating""","""GlobalSuccess""",False,0,'','',[],'','','','','',[]
