task_id,total_disc_reward,cumulative_reward,moving_avg_reward,overall_est_accur,warnings_received,cumulative_warnings,moving_avg_warnings,robot_model_ID
1,4.48233,4.48233,4.48233,33.33333333333333,0,0.0,0.0,0
2,5.88,10.36233,5.181165,100.0,0,0.0,0.0,0
3,4.90244,15.26477,5.088256666666667,9.090909090909092,0,0.0,0.0,0
4,5.10458,20.36935,5.0923375,30.0,0,0.0,0.0,0
5,4.16339,24.53274,4.906548,30.0,0,0.0,0.0,0
6,4.68675,29.21949,4.869915,80.0,0,0.0,0.0,0
7,5.31505,34.53454,4.933505714285714,28.57142857142857,0,0.0,0.0,0
8,3.46994,38.00448,4.75056,50.0,0,0.0,0.0,0
9,5.42352,43.428,4.825333333333333,42.857142857142854,0,0.0,0.0,0
10,5.31505,48.74305,4.874305,25.0,0,0.0,0.0,0
11,2.39811,51.14116,4.649196363636364,36.36363636363637,1,1.0,0.09090909090909091,0
12,5.88,57.02116,4.751763333333334,100.0,0,1.0,0.08333333333333333,0
13,5.31505,62.33621,4.795093076923077,28.57142857142857,0,1.0,0.07692307692307693,0
14,2.55123,64.88744,4.634817142857143,33.33333333333333,1,2.0,0.14285714285714285,0
15,5.88,70.76744,4.7178293333333325,100.0,0,2.0,0.13333333333333333,0
16,4.59302,75.36045999999999,4.710028749999999,60.0,0,2.0,0.125,0
17,5.20875,80.56920999999998,4.739365294117646,37.5,0,2.0,0.11764705882352941,0
18,5.31505,85.88425999999998,4.771347777777777,28.57142857142857,0,2.0,0.1111111111111111,0
19,3.11972,89.00397999999998,4.684419999999999,30.0,0,2.0,0.10526315789473684,0
20,-2.71176,86.29221999999999,4.314610999999999,71.42857142857143,0,2.0,0.1,0
21,4.06129,90.35350999999999,4.302548095238095,20.0,0,2.0,0.09523809523809523,0
22,5.20875,95.56225999999998,4.34373909090909,12.5,0,2.0,0.09090909090909091,0
23,-0.0542352,95.50802479999999,4.152522817391303,25.0,1,3.0,0.13043478260869565,0
24,5.64715,101.15517479999998,4.21479895,80.0,0,3.0,0.125,0
25,5.88,107.03517479999998,4.281406991999999,100.0,0,3.0,0.12,0
26,5.7624,112.79757479999998,4.338368261538461,66.66666666666666,0,3.0,0.11538461538461539,0
27,5.88,118.67757479999997,4.3954657333333325,100.0,0,3.0,0.1111111111111111,0
28,5.88,124.55757479999997,4.448484814285713,100.0,0,3.0,0.10714285714285714,0
29,5.88,130.43757479999996,4.49784740689655,100.0,0,3.0,0.10344827586206896,0
30,5.53421,135.97178479999997,4.5323928266666655,66.66666666666666,0,3.0,0.1,0
31,3.99852,139.97030479999998,4.515171122580645,27.27272727272727,0,3.0,0.0967741935483871,0
32,4.59302,144.56332479999998,4.517603899999999,66.66666666666666,0,3.0,0.09375,0
33,5.31505,149.8783748,4.541768933333333,37.5,0,3.0,0.09090909090909091,0
34,5.20875,155.0871248,4.561386023529412,33.33333333333333,0,3.0,0.08823529411764706,0
35,5.10458,160.1917048,4.576905851428571,20.0,0,3.0,0.08571428571428572,0
36,4.37386,164.5655648,4.571265688888889,62.5,0,3.0,0.08333333333333333,0
37,5.31505,169.88061480000002,4.591367967567568,25.0,0,3.0,0.08108108108108109,0
38,-5.33898,164.54163480000003,4.330043021052632,22.22222222222222,0,3.0,0.07894736842105263,0
39,2.65753,167.19916480000003,4.287158071794873,25.0,0,3.0,0.07692307692307693,0
40,5.53421,172.73337480000004,4.3183343700000005,60.0,0,3.0,0.075,0
41,5.31505,178.04842480000005,4.3426445073170745,25.0,0,3.0,0.07317073170731707,0
42,5.64715,183.69557480000006,4.373704161904763,75.0,0,3.0,0.07142857142857142,0
43,-2.55229,181.14328480000006,4.21263453023256,40.0,0,3.0,0.06976744186046512,0
44,5.20875,186.35203480000007,4.2352735181818195,33.33333333333333,0,3.0,0.06818181818181818,0
45,5.88,192.23203480000006,4.271822995555557,100.0,0,3.0,0.06666666666666667,0
46,5.31505,197.54708480000008,4.294501843478263,25.0,0,3.0,0.06521739130434782,0
47,5.42352,202.97060480000007,4.31852350638298,28.57142857142857,0,3.0,0.06382978723404255,0
48,4.68675,207.65735480000006,4.326194891666668,75.0,0,3.0,0.0625,0
49,2.5002,210.15755480000007,4.2889296897959195,40.0,1,4.0,0.08163265306122448,0
50,4.14418,214.30173480000008,4.2860346960000015,11.11111111111111,0,4.0,0.08,0
51,5.88,220.18173480000007,4.31728891764706,100.0,0,4.0,0.0784313725490196,0
52,5.7624,225.94413480000009,4.345079515384617,75.0,0,4.0,0.07692307692307693,0
53,5.7624,231.7065348000001,4.371821411320757,100.0,0,4.0,0.07547169811320754,0
54,5.88,237.5865348000001,4.399750644444446,100.0,0,4.0,0.07407407407407407,0
55,5.7624,243.3489348000001,4.42452608727273,75.0,0,4.0,0.07272727272727272,0
56,5.88,249.2289348000001,4.4505166928571445,100.0,0,4.0,0.07142857142857142,0
57,5.7624,254.99133480000012,4.473532189473686,100.0,0,4.0,0.07017543859649122,0
58,5.88,260.8713348000001,4.49778163448276,100.0,0,4.0,0.06896551724137931,0
59,2.8812,263.7525348000001,4.470381945762713,75.0,0,4.0,0.06779661016949153,0
60,5.64715,269.3996848000001,4.489994746666668,80.0,0,4.0,0.06666666666666667,0
61,5.31505,274.7147348000001,4.503520242622952,50.0,0,4.0,0.06557377049180328,0
62,5.88,280.5947348000001,4.52572152903226,100.0,0,4.0,0.06451612903225806,0
63,2.44165,283.03638480000006,4.4926410285714296,44.44444444444444,1,5.0,0.07936507936507936,0
64,5.7624,288.7987848000001,4.512481012500001,75.0,0,5.0,0.078125,0
65,5.7624,294.5611848000001,4.531710535384617,100.0,0,5.0,0.07692307692307693,0
66,5.31505,299.8762348000001,4.543579315151517,25.0,0,5.0,0.07575757575757576,0
67,5.88,305.7562348000001,4.5635258925373146,100.0,0,5.0,0.07462686567164178,0
68,2.49148,308.2477148000001,4.533054629411766,37.5,1,6.0,0.08823529411764706,0
69,5.7624,314.0101148000001,4.550871228985509,100.0,0,6.0,0.08695652173913043,0
70,-0.109577,313.9005378000001,4.484293397142859,12.5,1,7.0,0.1,0
71,4.35465,318.2551878000001,4.482467433802818,62.5,0,7.0,0.09859154929577464,0
72,5.88,324.1351878000001,4.501877608333334,100.0,0,7.0,0.09722222222222222,0
73,5.7624,329.8975878000001,4.519145038356166,100.0,0,7.0,0.0958904109589041,0
74,5.7624,335.6599878000001,4.535945781081082,100.0,0,7.0,0.0945945945945946,0
75,5.7624,341.42238780000014,4.552298504000002,100.0,0,7.0,0.09333333333333334,0
76,5.88,347.30238780000013,4.569768260526318,100.0,0,7.0,0.09210526315789473,0
77,5.53421,352.8365978000001,4.58229347792208,66.66666666666666,0,7.0,0.09090909090909091,0
78,5.7624,358.5989978000001,4.597423048717951,100.0,0,7.0,0.08974358974358974,0
79,5.7624,364.36139780000013,4.612169592405065,75.0,0,7.0,0.08860759493670886,0
80,5.88,370.24139780000013,4.628017472500002,100.0,0,7.0,0.0875,0
81,5.88,376.1213978000001,4.643474046913582,100.0,0,7.0,0.08641975308641975,0
82,5.7624,381.88379780000014,4.657119485365856,100.0,0,7.0,0.08536585365853659,0
83,5.88,387.76379780000013,4.67185298554217,100.0,0,7.0,0.08433734939759036,0
84,2.94,390.70379780000013,4.651235688095239,66.66666666666666,0,7.0,0.08333333333333333,0
85,2.30314,393.0069378000001,4.623611032941178,30.76923076923077,1,8.0,0.09411764705882353,0
86,5.88,398.8869378000001,4.6382202069767455,100.0,0,8.0,0.09302325581395349,0
87,5.88,404.7669378000001,4.6524935379310355,100.0,0,8.0,0.09195402298850575,0
88,5.7624,410.5293378000001,4.665106111363638,100.0,0,8.0,0.09090909090909091,0
89,5.88,416.4093378000001,4.678756604494383,100.0,0,8.0,0.0898876404494382,0
90,5.88,422.2893378000001,4.692103753333335,100.0,0,8.0,0.08888888888888889,0
91,5.88,428.1693378000001,4.705157558241759,100.0,0,8.0,0.08791208791208792,0
92,5.88,434.0493378000001,4.717927584782609,100.0,0,8.0,0.08695652173913043,0
93,5.88,439.9293378000001,4.730422987096775,100.0,0,8.0,0.08602150537634409,0
94,5.7624,445.6917378000001,4.741401465957448,100.0,0,8.0,0.0851063829787234,0
95,5.88,451.5717378000001,4.753386713684212,100.0,0,8.0,0.08421052631578947,0
96,5.7624,457.3341378000001,4.763897268750001,100.0,0,8.0,0.08333333333333333,0
97,2.94,460.2741378000001,4.7450942041237125,66.66666666666666,0,8.0,0.08247422680412371,0
98,5.7624,466.03653780000013,4.755474875510205,100.0,0,8.0,0.08163265306122448,0
99,5.7624,471.79893780000015,4.765645836363638,75.0,0,8.0,0.08080808080808081,0
100,5.53421,477.3331478000001,4.773331478000001,83.33333333333334,0,8.0,0.08,0
101,5.53421,482.8673578000001,4.780864928712872,66.66666666666666,0,8.0,0.07920792079207921,0
102,5.31505,488.1824078000001,4.786102037254903,12.5,0,8.0,0.0784313725490196,0
103,5.10458,493.2869878000001,4.789194056310681,20.0,0,8.0,0.07766990291262135,0
104,5.20875,498.4957378000001,4.7932282480769235,11.11111111111111,0,8.0,0.07692307692307693,0
