rosbagTimestamp,task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1535996567653023722,1,0,"""ROBOT""",,1535996567,651227655,'',,1535996567,648541799,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""",'','',[]
1535996567678621277,1,1,"""ROBOT""",,1535996567,677655605,'',,1535996567,648541799,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1535996574406007781,1,2,"""ROBOT""",,1535996574,405009011,'',,1535996574,133128679,"""planning for grasping""","""NoFocus""","""NoFocus""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1535996578648378476,1,3,"""ROBOT""",,1535996578,647470617,'',,1535996578,388050866,"""planning for grasping""","""NoFocus""","""TaskHuman""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1535996583028708093,1,4,"""ROBOT""",,1535996583,27708025,'',,1535996582,718430416,"""grasp""","""NeedsHelp""","""TaskHuman""",False,0,'','',[],'','',"""base.pomdpx""","""-1""","""-0.941192""",[]
1535996587319236906,1,5,"""ROBOT""",,1535996587,318236765,'',,1535996587,80210095,"""planning for grasping""","""MayBeTired""","""WarningReceived""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""-0.941192""",[]
1535996593994647057,1,6,"""ROBOT""",,1535996593,993726036,'',,1535996593,745147997,"""grasp""","""NeedsHelp""","""GlobalSuccess""",False,0,'','',[],'','',"""base.pomdpx""","""6""","""4.48233""",[]
1535996604663649258,2,0,"""ROBOT""",,1535996604,661965175,'',,1535996604,658798917,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""6""","""4.48233""",[]
1535996604681031244,2,1,"""ROBOT""",,1535996604,680097677,'',,1535996604,658798917,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1535996614037553443,2,2,"""ROBOT""",,1535996614,36557345,'',,1535996614,19766018,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,0,'','',[],'','',"""base.pomdpx""","""6""","""5.88""",[]
