rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1535996566471094624,1,0,"""MANAGER""",,1535996566,470929808,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1535996593670467026,1,5,"""SENSORS""",,1535996593,670303576,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1535996603486114623,2,0,"""MANAGER""",,1535996603,485809924,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1535996610667167940,2,1,"""SENSORS""",,1535996610,666948606,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1535996624304918562,3,0,"""MANAGER""",,1535996624,304823398,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1535996676382460817,3,9,"""SENSORS""",,1535996676,382307458,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1535996687411137798,4,0,"""MANAGER""",,1535996687,410864366,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1535996739545396541,4,8,"""SENSORS""",,1535996739,545143023,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1535996754379828163,5,0,"""MANAGER""",,1535996754,379746026,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1535996788666824416,5,8,"""SENSORS""",,1535996788,666597601,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1535996799100425569,6,0,"""MANAGER""",,1535996799,100311770,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1535996817667317961,6,3,"""SENSORS""",,1535996817,667185082,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1535996830748274654,7,0,"""MANAGER""",,1535996830,748165247,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1535996855666699703,7,5,"""SENSORS""",,1535996855,666574140,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1535996866112641887,8,0,"""MANAGER""",,1535996866,112521292,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1535996899666802792,8,6,"""SENSORS""",,1535996899,666679600,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1535996910997390128,9,0,"""MANAGER""",,1535996910,997298403,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
