rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.53813156236275E+018,1,0,"""MANAGER""",,1538131562,362511402,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53813156357064E+018,1,0,"""ROBOT""",,1538131563,568819612,'',,1538131563,566334577,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""",'','',[]
1.53813156734737E+018,1,0,"""OBSERVATION""",,1538131567,345923737,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1.53813156877873E+018,1,0,"""HUMAN""",,1538131568,775339409,"""distracted_collaborative.POMDPx""",,1538131563,222111798,"""1""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53813156878502E+018,1,1,"""ROBOT""",,1538131568,783967174,'',,1538131568,600906861,"""planning for grasping""","""NoFocus""","""NoFocus""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1.53813157125535E+018,1,1,"""OBSERVATION""",,1538131571,253877539,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.53813157253445E+018,1,1,"""HUMAN""",,1538131572,531831447,"""distracted_collaborative.POMDPx""",,1538131569,842242758,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53813157254204E+018,1,2,"""ROBOT""",,1538131572,540549765,'',,1538131572,510653179,"""idle""","""TaskHuman""","""NeedsToBeReminded""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1.5381315750475E+018,1,2,"""OBSERVATION""",,1538131575,45994288,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.53813157653783E+018,1,2,"""HUMAN""",,1538131576,535293333,"""distracted_collaborative.POMDPx""",,1538131573,649964621,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53813157654699E+018,1,3,"""ROBOT""",,1538131576,545847196,'',,1538131576,298640697,"""planning for grasping""","""MayBeTired""","""NeedsToBeReminded""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1.53813157909287E+018,1,3,"""OBSERVATION""",,1538131579,91508611,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.53813158059446E+018,1,3,"""HUMAN""",,1538131580,591948179,"""distracted_collaborative.POMDPx""",,1538131577,618234383,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53813158060769E+018,1,4,"""ROBOT""",,1538131580,606638934,'',,1538131580,366726112,"""grasp""","""NeedsHelp""","""NeedsToBeReminded""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1.53813158294467E+018,1,4,"""OBSERVATION""",,1538131582,943195648,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.53813158435254E+018,1,4,"""HUMAN""",,1538131584,349788069,"""distracted_collaborative.POMDPx""",,1538131581,669856268,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53813158436114E+018,1,5,"""ROBOT""",,1538131584,360180260,'',,1538131584,225783151,"""planning for grasping""","""MayBeTired""","""NeedsToBeReminded""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1.53813158661925E+018,1,5,"""OBSERVATION""",,1538131586,617749239,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.53813158802472E+018,1,5,"""HUMAN""",,1538131588,21997574,"""distracted_collaborative.POMDPx""",,1538131585,455741902,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53813158803763E+018,1,6,"""ROBOT""",,1538131588,36519121,'',,1538131587,858127670,"""grasp""","""NeedsHelp""","""NeedsToBeReminded""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1.53813159032646E+018,1,6,"""OBSERVATION""",,1538131590,324955808,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.53813159111026E+018,1,6,"""SENSORS""",,1538131591,110150534,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53813159161248E+018,1,6,"""HUMAN""",,1538131591,609674969,"""distracted_collaborative.POMDPx""",,1538131589,96595222,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53813159162269E+018,1,7,"""ROBOT""",,1538131591,621546267,'',,1538131591,596443378,"""idle""","""TaskHuman""","""GlobalSuccess""",False,0,'','',[],'','',"""base.pomdpx""","""6""","""5.20875""",[]
1.53813159163198E+018,1,7,"""HUMAN""",,1538131591,629131245,"""distracted_collaborative.POMDPx""",,1538131589,96595222,"""2""","""RobotInterfered""","""GlobalSuccess""",False,0,'','',[],'','','','','',[]
1.53813160113756E+018,2,0,"""MANAGER""",,1538131601,137400364,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'','',[]
1.53813160231074E+018,2,0,"""ROBOT""",,1538131602,308748685,'',,1538131602,306213371,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""6""","""5.20875""",[]
1.53813160568898E+018,2,0,"""OBSERVATION""",,1538131605,687456143,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1.53813160731852E+018,2,0,"""HUMAN""",,1538131607,315604132,"""distracted_collaborative.POMDPx""",,1538131601,990257035,"""1""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53813160733043E+018,2,1,"""ROBOT""",,1538131607,329420329,'',,1538131606,921521971,"""planning for grasping""","""NoFocus""","""NoFocus""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1.53813160959697E+018,2,1,"""OBSERVATION""",,1538131609,595271294,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1.53813161086453E+018,2,1,"""HUMAN""",,1538131610,861867613,"""distracted_collaborative.POMDPx""",,1538131608,407395833,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53813161087963E+018,2,2,"""ROBOT""",,1538131610,874367529,'',,1538131610,843271862,"""idle""","""TaskHuman""","""NeedsToBeReminded""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1.53813161305368E+018,2,2,"""OBSERVATION""",,1538131613,52247862,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1.53813161458102E+018,2,2,"""HUMAN""",,1538131614,578382690,"""distracted_collaborative.POMDPx""",,1538131611,939570640,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53813161458724E+018,2,3,"""ROBOT""",,1538131614,586111898,'',,1538131614,303862702,"""planning for grasping""","""MayBeTired""","""TaskHuman""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0""",[]
1.53813161672779E+018,2,3,"""OBSERVATION""",,1538131616,726022134,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1.53813161834067E+018,2,3,"""HUMAN""",,1538131618,338045185,"""distracted_collaborative.POMDPx""",,1538131615,651740832,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53813161835194E+018,2,4,"""ROBOT""",,1538131618,350692349,'',,1538131617,996197013,"""point to remind""","""NeedsToBeReminded""","""TaskHuman""",False,0,'','',[],'','',"""base.pomdpx""","""-1""","""-0.922368""",[]
1.53813163047243E+018,2,4,"""OBSERVATION""",,1538131630,470954096,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, True, False, False]","""ONGOING""",'','','','',[]
1.53813163186603E+018,2,4,"""HUMAN""",,1538131631,863709901,"""distracted_collaborative.POMDPx""",,1538131619,419115633,"""0""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53813163187222E+018,2,5,"""ROBOT""",,1538131631,871154644,'',,1538131631,749264349,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""-0.922368""",[]
1.53813163484808E+018,2,5,"""OBSERVATION""",,1538131634,846379540,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1.53813163628754E+018,2,5,"""HUMAN""",,1538131636,285181104,"""distracted_collaborative.POMDPx""",,1538131632,948985557,"""2""","""FailedToGrasp""","""FailedToGrasp""",True,0,'','',[],'','','','','',[]
1.53813163629363E+018,2,6,"""ROBOT""",,1538131636,292662264,'',,1538131636,93581592,"""grasp""","""NeedsHelp""","""WarningReceived""",False,0,'','',[],'','',"""base.pomdpx""","""-3""","""-3.5799""",[]
1.53813164124255E+018,2,6,"""OBSERVATION""",,1538131641,241055707,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
