task_id,total_disc_reward,warnings_received,time_took,task_status
1,1.09924,0.2,37.71797271,1
2,2.39039,0.6,38.25656328,0.8
3,1.09924,0.8,39.07134962,0.6
4,2.39039,0.2,37.71797271,1
5,3.45409,0.4,35.57892222,0.8
6,3.099606,0.2,36.76346259,0.8
7,4.802986,0.2,35.57892222,1
8,4.987744,0.6,33.18973031,1
9,4.865624,0,33.18973031,1
10,2.958156,0,33.18973031,0.8
11,4.762534,0.2,28.66904941,1
12,2.277568,0.2,36.62638826,0.8
13,4.484548,0.2,35.34660544,1
14,2.87585,0.2,37.46097503,0.6
15,3.485486,0,36.62638826,0.8
16,5.063068,0,29.09206743,1
17,4.996228,0.2,28.65030227,1
18,3.338026,0.2,36.97013092,0.8
19,4.725122,0.2,28.01295209,1
20,3.212256,0.2,32.90440545,0.8
21,4.033988,0,32.3912796,1
22,4.79363,0,21.97332268,1
23,3.398058,0,26.91988134,0.8
24,3.249234,0,49.13508096,0.8
25,5.18479,0,25.41344972,1
26,3.3157336,0.6,32.43574772,0.8
27,4.626416,0.6,35.99528866,1
28,4.4989308,0,24.4029439,1
29,3.505638,0,18.5164865,0.8
30,3.973096,0.6,29.71374907,1
31,5.83296,0,9.267786694,1
32,5.351418,0,12.61568928,1
33,5.76287,0,13.86699586,1
34,5.85648,0,7.821740341,1
35,5.365582,0.2,13.44109335,1
36,5.73935,0,12.58204269,1
37,5.318542,0.2,13.1590703,1
38,5.696026,0,17.45498142,1
39,5.72223,0,12.42771301,1
40,5.76287,0,11.20624084,1
41,5.78639,0,10.45582986,1
42,5.83296,0,12.52049103,1
43,5.83296,0,8.750258732,1
44,5.625936,0,17.3269177,1
45,5.83296,0,8.337049961,1
46,5.78639,0,10.71879072,1
47,5.83296,0,8.690802527,1
48,5.80991,0,9.372909403,1
49,5.763802,0,11.2504364,1
50,5.068534,0.2,17.71088934,1
51,5.78639,0,10.37381086,1
52,5.156358,0,12.5603518,1
53,5.80991,0,9.440306997,1
54,5.67566,0,14.94637299,1
55,5.69692,0,13.2992806,1
56,5.787322,0,10.02284193,1
57,5.83296,0,8.933143377,1
58,5.188944,0.2,11.40549808,1
59,5.80944,0,9.672207785,1
60,5.80944,0,9.760359573,1
61,3.8023316,0.2,29.73055501,0.8
62,5.74029,0,16.53371468,1
63,5.674332,0,20.95990462,1
64,3.270552,0.2,43.65246572,0.8
65,5.80944,0.2,55.52847829,0.6
66,3.668198,0,25.25598359,0.8
67,2.8193256,0,25.15189924,0.6
68,5.76701,0,16.02084832,1
69,5.80944,0,40.02546854,0.6
70,4.484772,0.2,37.09534855,0.8
71,4.4833348,0,17.4,0.8
72,5.012578,0,32.39226904,1
73,5.525622,0.2,19.28767357,1
74,4.484772,0,25.29086699,0.6
75,5.205614,0,43.18801723,1
76,5.80944,0.2,52.0222909,0.4
77,4.484772,0,32.26502113,0.6
78,3.65107,0,29.72320328,0.8
79,4.696782,0.2,40.06628547,1
80,3.411694,0,48.43216076,0.8
81,3.286054,0.4,38.75086203,0.8
82,4.484772,0,35.28972788,1
83,2.804154,0,33.31063461,0.8
84,4.512234,0,39.20005674,1
85,4.512234,0.2,37.09241939,0.6
86,4.47599,0.4,46.51769633,1
87,4.891246,0,38.30832019,1
88,3.462516,0.2,38.90419879,0.8
89,5.017488,0.2,21.36927319,1
90,4.47599,0,33.50573835,0.6
91,5.575564,0,12.67029128,1
92,5.177842,0,25.15488701,1
93,4.77267,0.4,30.76150661,1
94,2.079706,0.2,37.16327319,0.6
95,3.457112,0,34.67713423,0.8
96,5.310422,0,34.45805593,1
97,4.58808,0,25.74417105,1
98,3.018872,0.4,33.57401552,0.8
99,5.375514,0.2,33.10600882,1
100,5.585296,0,23.25038338,1
101,5.163572,0.2,42.32411509,1
102,2.371432,0,32.45272613,0.6
103,5.369922,0.2,29.67073827,1
104,5.56478,0,20.6067132,1
105,5.156186,0,45.85256367,1
106,3.398574,0,27.87873993,0.8
107,2.271332,0,33.2515955,0.6
108,5.538292,0,24.6069346,1
109,5.283624,0.2,29.50473804,1
110,5.742134,0,13.70698428,1
111,5.649456,0,24.09014392,1
112,5.156838,0.2,33.83510914,1
113,5.334476,0.2,24.66761742,1
114,5.76334,0,16.34592566,1
115,3.69339,0,33.70209231,0.8
116,5.236602,0.2,21.08226643,1
117,3.858594,0,22.95884881,0.8
118,4.044988,0,24.19218559,0.8
119,5.540082,0,24.14669528,1
120,3.740128,0,28.08914781,0.8
121,5.63276,0,19.76201806,1
122,5.217354,0.2,24.61585808,1
123,3.944464,0.4,21.58808823,1
124,3.899908,0,30.0246067,0.8
125,1.902692,0.2,43.92872062,0.6
126,5.291088,0.2,29.45862651,1
127,4.368782,0.4,28.8581533,1
128,4.975156,0.2,28.84655519,1
129,5.404954,0,25.80598035,1
130,5.231296,0,34.74821496,1
131,4.805018,0.2,27.30084662,1
132,2.272058,0.6,26.46831861,0.8
133,4.932116,0.2,23.47114506,1
134,5.36426,0,30.80189915,1
135,5.409846,0,25.05927286,1
136,5.387168,0,26.49347224,1
137,3.75728,0,33.99098592,0.8
138,4.67917,0.2,34.57972021,1
139,5.012592,0.2,24.60923772,1
140,5.127514,0,38.15586395,1
141,2.175654,0,34.91539526,0.6
142,4.757878,0.2,26.7346612,1
143,4.604538,0.2,37.50798125,1
144,4.645564,0.2,31.35205207,1
145,5.278654,0,30.37889152,1
146,5.209176,0,33.99484921,1
147,3.291978,0.2,32.90148959,0.8
148,4.198228,0.4,29.23480849,1
149,4.879476,0.2,22.94201984,1
150,4.777554,0.2,35.37816939,1
151,4.220626,0,24.11747789,1
152,3.715512,0,25.21010418,0.8
153,5.467722,0.2,23.7297576,1
154,2.37122,0,21.4153264,0.8
155,5.342062,0.4,16.50686927,1
156,3.577428,0.2,36.39893274,0.8
157,5.176614,0,26.33582311,1
158,3.91505,0,18.98778987,0.8
159,2.20377,0.2,18.98778987,0.6
160,5.304848,0,18.98778987,1
161,3.784614,0,30.83101506,0.8
162,3.923428,0,24.38851995,0.8
163,3.653082,0.4,24.38851995,0.8
164,5.83343,0,10.68107238,1
165,4.077344,0,24.38851995,0.8
166,3.818578,0.2,25.46317577,0.8
