rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1535935966764239671,1,0,"""MANAGER""",,1535935966,763956182,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy6.pomdpx""",'','',[]
1535935967944203810,1,0,"""ROBOT""",,1535935967,942027540,'',,1535935967,939701043,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy6.pomdpx""",'','',"[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1535935971919121811,1,0,"""OBSERVATION""",,1535935971,917848519,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1535935973361942965,1,0,"""HUMAN""",,1535935973,359005993,"""distracted_collaborative.POMDPx""",,1535935967,639752077,"""1""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1535935973372542315,1,1,"""ROBOT""",,1535935973,371525493,'',,1535935973,162048881,"""planning for grasping""","""NoFocus""","""NoFocus""",True,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1535935975859727293,1,1,"""OBSERVATION""",,1535935975,858560141,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1535935977348498267,1,1,"""HUMAN""",,1535935977,346221183,"""distracted_collaborative.POMDPx""",,1535935974,438459720,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1535935977358601282,1,2,"""ROBOT""",,1535935977,357583311,'',,1535935977,126886357,"""point to remind""","""NeedsToBeReminded""","""TaskHuman""",False,0,'','',[],'','',"""policy6.pomdpx""","""-1""","""-0.9604""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1535935979955196130,1,2,"""OBSERVATION""",,1535935979,953694922,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1535935981444423076,1,2,"""HUMAN""",,1535935981,442050178,"""distracted_collaborative.POMDPx""",,1535935978,423567687,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1535935981455205089,1,3,"""ROBOT""",,1535935981,454201110,'',,1535935981,246451293,"""planning for grasping""","""NoFocus""","""NeedsToBeReminded""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""-0.9604""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1535935983801985582,1,3,"""OBSERVATION""",,1535935983,800489232,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1535935989297362370,1,3,"""HUMAN""",,1535935989,295003416,"""distracted_collaborative.POMDPx""",,1535935982,513727918,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1535935989308125811,1,4,"""ROBOT""",,1535935989,307072040,'',,1535935985,76241994,"""point to remind""","""NeedsToBeReminded""","""TaskHuman""",False,0,'','',[],'','',"""policy6.pomdpx""","""-1""","""-1.88277""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1535935991621447809,1,4,"""OBSERVATION""",,1535935991,620155705,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1535935993188738898,1,4,"""HUMAN""",,1535935993,186266237,"""distracted_collaborative.POMDPx""",,1535935990,376207342,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1535935993199876686,1,5,"""ROBOT""",,1535935993,198817394,'',,1535935992,882687652,"""planning for grasping""","""NoFocus""","""NeedsToBeReminded""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""-1.88277""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1535935996438361361,1,5,"""OBSERVATION""",,1535935996,436992988,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1535935998061151828,1,5,"""HUMAN""",,1535935998,59118520,"""distracted_collaborative.POMDPx""",,1535935994,257385855,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1535935998071241693,1,6,"""ROBOT""",,1535935998,70187805,'',,1535935997,730672296,"""grasp""","""NeedsHelp""","""NeedsToBeReminded""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""-1.88277""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1535936000576917412,1,6,"""OBSERVATION""",,1535936000,575249713,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','','',[]
1535936001900196754,1,6,"""HUMAN""",,1535936001,897855753,"""distracted_collaborative.POMDPx""",,1535935999,144654030,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
