task_id,total_disc_reward,cumulative_reward,moving_avg_reward,overall_est_accur,warnings_received,cumulative_warnings,moving_avg_warnings,robot_model_ID
1,3.11972,3.11972,3.11972,22.22222222222222,0,0.0,0.0,6
2,5.20875,8.32847,4.164235,33.33333333333333,0,0.0,0.0,3
3,2.60329,10.931759999999999,3.6439199999999996,50.0,1,1.0,0.3333333333333333,1
4,5.20875,16.14051,4.0351275,44.44444444444444,0,1.0,0.25,3
5,5.31505,21.45556,4.291112,14.285714285714285,0,1.0,0.2,3
6,5.88,27.335559999999997,4.555926666666666,100.0,0,1.0,0.16666666666666666,9
7,5.31505,32.65061,4.664372857142857,37.5,0,1.0,0.14285714285714285,9
8,5.64715,38.29776,4.78722,80.0,0,1.0,0.125,9
9,5.20875,43.50651,4.834056666666666,33.33333333333333,0,1.0,0.1111111111111111,9
10,5.31505,48.82156,4.882156,28.57142857142857,0,1.0,0.1,9
11,5.10458,53.92614,4.902376363636363,20.0,0,1.0,0.09090909090909091,9
12,5.88,59.80614,4.983845,100.0,0,1.0,0.08333333333333333,9
13,-3.5799,56.22624,4.325095384615384,28.57142857142857,0,1.0,0.07692307692307693,9
14,4.11664,60.342879999999994,4.310205714285714,20.0,0,1.0,0.07142857142857142,9
15,5.31505,65.65793,4.377195333333333,37.5,0,1.0,0.06666666666666667,9
16,4.24835,69.90628,4.3691425,44.44444444444444,0,1.0,0.0625,9
17,-3.52674,66.37953999999999,3.9046788235294114,50.0,0,1.0,0.058823529411764705,9
18,5.31505,71.69458999999999,3.9830327777777774,28.57142857142857,0,1.0,0.05555555555555555,9
19,5.7624,77.45698999999999,4.076683684210526,100.0,0,1.0,0.05263157894736842,9
20,5.42352,82.88050999999999,4.1440255,33.33333333333333,0,1.0,0.05,9
21,5.20875,88.08925999999998,4.194726666666666,55.55555555555556,0,1.0,0.047619047619047616,9
22,5.10458,93.19383999999998,4.236083636363635,22.22222222222222,0,1.0,0.045454545454545456,9
23,5.7624,98.95623999999998,4.302445217391304,100.0,0,1.0,0.043478260869565216,9
24,4.50116,103.45739999999998,4.310724999999999,66.66666666666666,0,1.0,0.041666666666666664,9
25,2.60329,106.06068999999998,4.242427599999999,37.5,1,2.0,0.08,9
26,5.00249,111.06317999999997,4.271660769230769,36.36363636363637,0,2.0,0.07692307692307693,9
27,5.31505,116.37822999999997,4.310304814814814,28.57142857142857,0,2.0,0.07407407407407407,9
28,5.88,122.25822999999997,4.366365357142856,100.0,0,2.0,0.07142857142857142,9
29,5.88,128.13822999999996,4.4185596551724124,100.0,0,2.0,0.06896551724137931,9
30,5.20875,133.34697999999997,4.444899333333333,33.33333333333333,0,2.0,0.06666666666666667,9
31,-2.55229,130.79468999999997,4.219183548387096,20.0,0,2.0,0.06451612903225806,9
32,5.88,136.67468999999997,4.271084062499999,100.0,0,2.0,0.0625,9
33,5.7624,142.43708999999998,4.316275454545454,100.0,0,2.0,0.06060606060606061,9
