task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,human_observables,Human Detected,Looked Around,Succesfull Grasp,Failed Grasp,Warned Robot,Stood Idle
1,1,"""OBSERVATION""",,1536017593,720623901,"""distracted_collaborative.POMDPx""","[True, False, True, False, False, False]",1,0,1,0,0,0
2,1,"""OBSERVATION""",,1536017616,907850879,"""distracted_collaborative.POMDPx""","[True, False, True, False, False, False]",1,0,1,0,0,0
3,0,"""OBSERVATION""",,1536017635,824578126,"""distracted_collaborative.POMDPx""","[True, True, False, False, False, True]",1,1,0,0,0,1
3,1,"""OBSERVATION""",,1536017641,74943363,"""distracted_collaborative.POMDPx""","[True, True, False, False, False, True]",1,1,0,0,0,1
3,2,"""OBSERVATION""",,1536017652,674492170,"""distracted_collaborative.POMDPx""","[True, False, True, False, False, False]",1,0,1,0,0,0
4,0,"""OBSERVATION""",,1536017671,291149105,"""distracted_collaborative.POMDPx""","[True, True, False, False, False, True]",1,1,0,0,0,1
4,1,"""OBSERVATION""",,1536017676,257746616,"""distracted_collaborative.POMDPx""","[True, True, False, False, False, True]",1,1,0,0,0,1
4,2,"""OBSERVATION""",,1536017680,891196432,"""distracted_collaborative.POMDPx""","[True, True, False, False, False, True]",1,1,0,0,0,1
4,3,"""OBSERVATION""",,1536017685,924508608,"""distracted_collaborative.POMDPx""","[True, True, False, False, False, True]",1,1,0,0,0,1
4,4,"""OBSERVATION""",,1536017690,907748493,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
4,5,"""OBSERVATION""",,1536017698,458258898,"""distracted_collaborative.POMDPx""","[True, True, False, False, False, True]",1,1,0,0,0,1
4,6,"""OBSERVATION""",,1536017704,107811921,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
4,7,"""OBSERVATION""",,1536017709,324475868,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
4,8,"""OBSERVATION""",,1536017721,158067266,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
5,1,"""OBSERVATION""",,1536017737,441214873,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
5,2,"""OBSERVATION""",,1536017742,641196677,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
5,3,"""OBSERVATION""",,1536017750,7834732,"""distracted_collaborative.POMDPx""","[True, True, False, False, False, True]",1,1,0,0,0,1
5,4,"""OBSERVATION""",,1536017755,141188350,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
5,5,"""OBSERVATION""",,1536017760,274492557,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
5,6,"""OBSERVATION""",,1536017764,941157578,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
6,1,"""OBSERVATION""",,1536017784,724477010,"""distracted_collaborative.POMDPx""","[True, True, False, False, False, True]",1,1,0,0,0,1
6,2,"""OBSERVATION""",,1536017789,807828455,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
6,3,"""OBSERVATION""",,1536017797,291204803,"""distracted_collaborative.POMDPx""","[True, True, False, False, False, True]",1,1,0,0,0,1
6,4,"""OBSERVATION""",,1536017802,691220354,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
6,5,"""OBSERVATION""",,1536017807,424491987,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
6,6,"""OBSERVATION""",,1536017812,357837303,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
7,0,"""OBSERVATION""",,1536017830,724488753,"""distracted_collaborative.POMDPx""","[True, True, False, False, False, True]",1,1,0,0,0,1
7,1,"""OBSERVATION""",,1536017835,707826530,"""distracted_collaborative.POMDPx""","[True, True, False, False, False, True]",1,1,0,0,0,1
7,2,"""OBSERVATION""",,1536017841,41129713,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
7,3,"""OBSERVATION""",,1536017845,574486253,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
7,4,"""OBSERVATION""",,1536017850,457821983,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
7,5,"""OBSERVATION""",,1536017855,107904182,"""distracted_collaborative.POMDPx""","[True, False, False, False, False, True]",1,0,0,0,0,1
8,1,"""OBSERVATION""",,1536017880,757838357,"""distracted_collaborative.POMDPx""","[True, False, False, True, False, False]",1,0,0,1,0,0
8,2,"""OBSERVATION""",,1536017892,157817736,"""distracted_collaborative.POMDPx""","[True, False, True, False, False, False]",1,0,1,0,0,0
9,0,"""OBSERVATION""",,1536017910,424490060,"""distracted_collaborative.POMDPx""","[True, True, False, False, False, True]",1,1,0,0,0,1
