rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.53601758441371E+018,1,0,"""MANAGER""",,1536017584,413395723,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy6.pomdpx""",'','',[]
1.53601759125936E+018,1,1,"""SENSORS""",,1536017591,259203445,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.5360176067706E+018,2,0,"""MANAGER""",,1536017606,770388469,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy6.pomdpx""",'','',[]
1.53601761425929E+018,2,1,"""SENSORS""",,1536017614,259155936,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.53601762962558E+018,3,0,"""MANAGER""",,1536017629,625414394,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy6.pomdpx""",'','',[]
1.5360176492592E+018,3,2,"""SENSORS""",,1536017649,259095437,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.53601766536118E+018,4,0,"""MANAGER""",,1536017665,361034053,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.53601771815956E+018,4,8,"""SENSORS""",,1536017685,159435889,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53601773343733E+018,5,0,"""MANAGER""",,1536017733,437179626,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.53601776325899E+018,5,6,"""SENSORS""",,1536017763,258870606,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53601777738226E+018,6,0,"""MANAGER""",,1536017777,382042929,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.53601781025944E+018,6,6,"""SENSORS""",,1536017810,259340540,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53601782483885E+018,7,0,"""MANAGER""",,1536017824,838720260,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.53601785425905E+018,7,5,"""SENSORS""",,1536017854,258921768,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53601786677608E+018,8,0,"""MANAGER""",,1536017866,775939981,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.53601788925927E+018,8,2,"""SENSORS""",,1536017889,259106969,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.5360179044261E+018,9,0,"""MANAGER""",,1536017904,425898045,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.5360179472589E+018,9,7,"""SENSORS""",,1536017947,258765642,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53601796802277E+018,10,0,"""MANAGER""",,1536017968,22636560,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.5360180072593E+018,10,7,"""SENSORS""",,1536018007,259166868,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53601801938765E+018,11,0,"""MANAGER""",,1536018019,387103654,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.53601805325923E+018,11,6,"""SENSORS""",,1536018053,259040221,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53601806553117E+018,12,0,"""MANAGER""",,1536018065,531044314,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.5360180722592E+018,12,1,"""SENSORS""",,1536018072,259045553,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.53601808840075E+018,13,0,"""MANAGER""",,1536018088,400563539,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.53601809925934E+018,13,1,"""SENSORS""",,1536018099,259227725,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.53601811426374E+018,14,0,"""MANAGER""",,1536018114,263662974,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.53601814925913E+018,14,6,"""SENSORS""",,1536018149,258961266,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53601816074111E+018,15,0,"""MANAGER""",,1536018160,741034040,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.53601816825924E+018,15,1,"""SENSORS""",,1536018168,259118552,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.5360181834412E+018,16,0,"""MANAGER""",,1536018183,441100117,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.53601821225897E+018,16,5,"""SENSORS""",,1536018212,258851974,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53601822549364E+018,17,0,"""MANAGER""",,1536018225,493528299,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.53601827769133E+018,17,6,"""SENSORS""",,1536018255,691182856,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1.53601829062715E+018,18,0,"""MANAGER""",,1536018290,626872189,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.53601834290945E+018,18,6,"""SENSORS""",,1536018320,909339634,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53601835767205E+018,19,0,"""MANAGER""",,1536018357,671927826,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy9.pomdpx""",'','',[]
1.53601837325925E+018,19,2,"""SENSORS""",,1536018373,259070801,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
