task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,moving_avg_time,task_status,moving_avg_status,who_succeeded
1,1536017584,413395723,1536017591,259203445,6.845807790756226,6.845807790756226,1,1.0,"""human"""
2,1536017606,770388469,1536017614,259155936,7.488767623901367,7.167287707328796,1,1.0,"""human"""
3,1536017629,625414394,1536017649,259095437,19.633681058883667,11.322752157847086,1,1.0,"""human"""
4,1536017665,361034053,1536017685,159435889,19.798401832580566,13.441664576530457,1,1.0,"""robot"""
5,1536017733,437179626,1536017763,258870606,29.821691036224365,16.717669868469237,1,1.0,"""robot"""
6,1536017777,382042929,1536017810,259340540,32.8772976398468,19.410941163698833,1,1.0,"""robot"""
7,1536017824,838720260,1536017854,258921768,29.420201539993286,20.84083550316947,1,1.0,"""robot"""
8,1536017866,775939981,1536017889,259106969,22.483166933059692,21.046126931905746,1,1.0,"""human"""
9,1536017904,425898045,1536017947,258765642,42.83286762237549,23.466875897513496,1,1.0,"""robot"""
10,1536017968,22636560,1536018007,259166868,39.032801389694214,25.023468446731567,1,1.0,"""robot"""
11,1536018019,387103654,1536018053,259040221,33.871936559677124,25.827874638817526,1,1.0,"""robot"""
12,1536018065,531044314,1536018072,259045553,6.728001356124878,24.236218531926472,1,1.0,"""human"""
13,1536018088,400563539,1536018099,259227725,10.858664274215698,23.207175896717953,1,1.0,"""human"""
14,1536018114,263662974,1536018149,258961266,34.99529814720154,24.04918462889535,1,1.0,"""robot"""
15,1536018160,741034040,1536018168,259118552,7.518084526062012,22.947111288706463,1,1.0,"""human"""
16,1536018183,441100117,1536018212,258851974,28.81775188446045,23.314026325941086,1,1.0,"""robot"""
17,1536018225,493528299,1536018255,691182856,30.197654485702515,23.718945629456464,1,1.0,"""human"""
18,1536018290,626872189,1536018320,909339634,30.282467365264893,24.083585725890266,1,1.0,"""robot"""
19,1536018357,671927826,1536018373,259070801,15.587142944335938,23.63640452686109,1,1.0,"""human"""
20,1536018388,409437389,1536018415,258700085,26.849262714385986,23.797047436237335,1,1.0,"""robot"""
21,1536018453,478293963,1536018469,259132034,15.780838251113892,23.415323189326696,1,1.0,"""human"""
22,1536018483,595735115,1536018520,358914759,36.763179779052734,24.02204394340515,1,1.0,"""robot"""
23,1536018533,458046995,1536018563,359141451,29.901094436645508,24.277654834415603,1,1.0,"""robot"""
24,1536018576,753762099,1536018589,359133486,12.605371475219727,23.791309694449108,1,1.0,"""human"""
25,1536018604,819929715,1536018612,359224488,7.539294958114624,23.141229104995727,1,1.0,"""human"""
26,1536018627,418134696,1536018634,359146478,6.941011905670166,22.51814382809859,1,1.0,"""human"""
27,1536018649,973193658,1536018662,359163457,12.385969877243042,22.142878126215052,1,1.0,"""human"""
28,1536018678,719006902,1536018685,359198721,6.6401917934417725,21.589210757187434,1,1.0,"""human"""
29,1536018701,229116270,1536018729,974621229,28.7455050945282,21.835979527440564,1,1.0,"""robot"""
30,1536018769,409569647,1536018812,359052915,42.949483156204224,22.539762981732686,1,1.0,"""robot"""
31,1536018832,714851627,1536018862,359158730,29.644307136535645,22.76894182543601,1,1.0,"""robot"""
32,1536018875,512759201,1536018905,358791898,29.84603261947632,22.990100912749767,1,1.0,"""robot"""
33,1536018917,545918323,1536018941,359123879,23.81320571899414,23.01504348263596,1,1.0,"""human"""
34,1536018957,473042381,1536018990,208315904,32.735273361206055,23.30093259671155,1,1.0,"""human"""
35,1536019022,257747122,1536019056,358816587,34.10106945037842,23.609507935387747,1,1.0,"""robot"""
36,1536019070,949752041,1536019102,359140612,31.409388542175293,23.82617128557629,1,1.0,"""robot"""
37,1536019113,461616237,1536019120,359128516,6.897512197494507,23.368639958871377,1,1.0,"""human"""
38,1536019136,203693083,1536019172,359220026,36.155526876449585,23.70513698301817,1,1.0,"""robot"""
39,1536019185,544394363,1536019220,359011071,34.81461691856384,23.989995442903957,1,1.0,"""robot"""
40,1536019231,995932346,1536019239,359197639,7.3632652759552,23.57432718873024,1,1.0,"""human"""
41,1536019255,16472292,1536019307,858048467,52.69332551956177,24.284546660213934,1,1.0,"""robot"""
42,1536019319,648521901,1536019363,359040142,43.71051836013794,24.74706979592641,1,1.0,"""robot"""
43,1536019388,716143834,1536019420,791163677,32.07501983642578,24.91748723872872,1,1.0,"""robot"""
44,1536019458,92061786,1536019476,359096575,17.438478708267212,24.747509772127326,1,1.0,"""human"""
45,1536019492,437134168,1536019525,359207173,32.922072887420654,24.929166730244955,1,1.0,"""human"""
46,1536019541,514197877,1536019579,358909963,37.844712018966675,25.209939453912817,1,1.0,"""robot"""
47,1536019604,904347086,1536019658,358841183,53.4544939994812,25.810887422967465,1,1.0,"""robot"""
48,1536019669,651814277,1536019676,359125167,6.707310914993286,25.412896245718002,1,1.0,"""human"""
49,1536019692,350784761,1536019735,358993012,43.00820827484131,25.771984246312357,1,1.0,"""robot"""
50,1536019756,702111569,1536019785,358755976,28.656644582748413,25.829677453041075,1,1.0,"""robot"""
