task_id,total_disc_reward,cumulative_reward,moving_avg_reward,overall_est_accur,warnings_received,cumulative_warnings,moving_avg_warnings,robot_model_ID
1,-1.17628,-1.17628,-1.17628,14.285714285714285,2,2.0,2.0,6
2,4.35465,3.17837,1.589185,62.5,0,2.0,1.0,0
3,5.7624,8.94077,2.980256666666667,100.0,0,2.0,0.6666666666666666,0
4,5.31505,14.25582,3.563955,37.5,0,2.0,0.5,0
5,2.59995,16.85577,3.3711539999999998,42.857142857142854,1,3.0,0.6,12
6,4.37386,21.22963,3.5382716666666667,62.5,0,3.0,0.5,2
7,-2.65753,18.5721,2.6531571428571428,57.14285714285714,0,3.0,0.42857142857142855,2
8,-1.12136,17.45074,2.1813425,40.0,2,5.0,0.625,11
9,5.42352,22.87426,2.541584444444444,33.33333333333333,0,5.0,0.5555555555555556,0
10,5.88,28.75426,2.875426,100.0,0,5.0,0.5,2
11,-2.71176,26.042499999999997,2.3674999999999997,16.666666666666664,0,5.0,0.45454545454545453,2
12,5.42352,31.466019999999997,2.622168333333333,42.857142857142854,0,5.0,0.4166666666666667,0
13,5.31505,36.78107,2.8293130769230768,28.57142857142857,0,5.0,0.38461538461538464,2
14,5.7624,42.54347,3.0388192857142857,75.0,0,5.0,0.35714285714285715,2
15,5.20875,47.75222,3.1834813333333334,33.33333333333333,0,5.0,0.3333333333333333,2
16,1.75023,49.50245,3.093903125,33.33333333333333,2,7.0,0.4375,2
17,4.46312,53.96557,3.174445294117647,66.66666666666666,0,7.0,0.4117647058823529,2
18,5.20875,59.17432,3.2874622222222225,33.33333333333333,0,7.0,0.3888888888888889,2
19,5.00249,64.17681,3.3777268421052633,40.0,0,7.0,0.3684210526315789,0
20,2.65642,66.83323,3.3416615,42.857142857142854,1,8.0,0.4,2
21,2.31789,69.15112,3.2929104761904764,22.22222222222222,0,8.0,0.38095238095238093,0
22,5.7624,74.91352,3.4051600000000004,75.0,0,8.0,0.36363636363636365,2
23,5.53421,80.44773,3.4977273913043483,66.66666666666666,0,8.0,0.34782608695652173,2
24,5.64715,86.09488,3.587286666666667,50.0,0,8.0,0.3333333333333333,2
25,5.42352,91.5184,3.660736,33.33333333333333,0,8.0,0.32,2
26,5.88,97.3984,3.7460923076923076,100.0,0,8.0,0.3076923076923077,0
27,-2.71176,94.68664,3.5069125925925926,33.33333333333333,0,8.0,0.2962962962962963,0
28,-2.65753,92.02911,3.2867539285714287,50.0,0,8.0,0.2857142857142857,2
29,3.41346,95.44257,3.291123103448276,28.57142857142857,0,8.0,0.27586206896551724,0
30,5.88,101.32257,3.377419,100.0,0,8.0,0.26666666666666666,3
31,5.42352,106.74609,3.443422258064516,85.71428571428571,0,8.0,0.25806451612903225,3
32,5.00249,111.74857999999999,3.4921431249999997,40.0,0,8.0,0.25,3
33,5.31505,117.06362999999999,3.5473827272727267,37.5,0,8.0,0.24242424242424243,3
34,5.20875,122.27237999999998,3.596246470588235,25.0,0,8.0,0.23529411764705882,3
35,5.88,128.15238,3.661496571428571,100.0,0,8.0,0.22857142857142856,3
36,5.88,134.03238,3.723121666666666,100.0,0,8.0,0.2222222222222222,3
37,3.27829,137.31067,3.7110991891891887,22.22222222222222,0,8.0,0.21621621621621623,3
38,2.65642,139.96708999999998,3.68334447368421,57.14285714285714,1,9.0,0.23684210526315788,5
39,5.00249,144.96957999999998,3.7171687179487174,36.36363636363637,0,9.0,0.23076923076923078,5
40,5.7624,150.73198,3.7682995,66.66666666666666,0,9.0,0.225,5
41,4.68675,155.41872999999998,3.7907007317073167,60.0,0,9.0,0.21951219512195122,5
42,5.42352,160.84224999999998,3.8295773809523803,33.33333333333333,0,9.0,0.21428571428571427,5
43,4.32291,165.16516,3.841050232558139,22.22222222222222,0,9.0,0.20930232558139536,5
44,5.7624,170.92756,3.8847172727272725,66.66666666666666,0,9.0,0.20454545454545456,5
45,4.16339,175.09095,3.89091,22.22222222222222,0,9.0,0.2,5
46,-3.59872,171.49223,3.728091956521739,14.285714285714285,0,9.0,0.1956521739130435,5
47,5.10458,176.59681,3.757378936170213,30.0,0,9.0,0.19148936170212766,5
48,5.88,182.47681,3.8016002083333333,100.0,0,9.0,0.1875,5
49,5.7624,188.23921,3.8416165306122454,100.0,0,9.0,0.1836734693877551,5
50,5.31505,193.55426000000003,3.8710852000000004,37.5,0,9.0,0.18,5
51,5.7624,199.31666000000004,3.9081698039215693,100.0,0,9.0,0.17647058823529413,5
52,2.49148,201.80814000000004,3.88092576923077,37.5,1,10.0,0.19230769230769232,5
53,5.88,207.68814000000003,3.918644150943397,100.0,0,10.0,0.18867924528301888,5
54,5.88,213.56814000000003,3.9549655555555563,100.0,0,10.0,0.18518518518518517,5
55,5.88,219.44814000000002,3.989966181818182,100.0,0,10.0,0.18181818181818182,5
56,5.88,225.32814000000002,4.023716785714286,100.0,0,10.0,0.17857142857142858,5
57,-5.47887,219.84927000000002,3.8570047368421054,14.285714285714285,1,11.0,0.19298245614035087,5
58,5.7624,225.61167000000003,3.8898563793103453,75.0,0,11.0,0.1896551724137931,6
59,5.88,231.49167000000003,3.9235876271186445,100.0,0,11.0,0.1864406779661017,6
60,5.88,237.37167000000002,3.9561945000000005,100.0,0,11.0,0.18333333333333332,6
61,5.88,243.25167000000002,3.9877322950819676,100.0,0,11.0,0.18032786885245902,6
62,5.7624,249.01407000000003,4.016355967741936,100.0,0,11.0,0.1774193548387097,6
63,5.88,254.89407000000003,4.04593761904762,100.0,0,11.0,0.1746031746031746,6
64,5.7624,260.65647,4.07275734375,100.0,0,11.0,0.171875,6
65,5.7624,266.41887,4.098751846153847,100.0,0,11.0,0.16923076923076924,6
66,5.88,272.29887,4.125740454545455,100.0,0,11.0,0.16666666666666666,6
67,5.88,278.17887,4.151923432835821,100.0,0,11.0,0.16417910447761194,6
68,5.88,284.05887,4.177336323529412,100.0,0,11.0,0.16176470588235295,6
69,5.7624,289.82127,4.200308260869566,100.0,0,11.0,0.15942028985507245,6
70,5.88,295.70127,4.224303857142857,100.0,0,11.0,0.15714285714285714,6
71,5.7624,301.46367000000004,4.245967183098592,75.0,0,11.0,0.15492957746478872,6
72,5.7624,307.22607000000005,4.267028750000001,100.0,0,11.0,0.1527777777777778,6
73,2.49148,309.7175500000001,4.242706164383563,37.5,1,12.0,0.1643835616438356,6
74,5.7624,315.4799500000001,4.263242567567569,100.0,0,12.0,0.16216216216216217,6
75,5.88,321.3599500000001,4.284799333333335,100.0,0,12.0,0.16,6
76,5.7624,327.1223500000001,4.3042414473684225,100.0,0,12.0,0.15789473684210525,6
77,5.88,333.0023500000001,4.3247058441558455,100.0,0,12.0,0.15584415584415584,6
78,2.49699,335.4993400000001,4.301273589743591,11.11111111111111,1,13.0,0.16666666666666666,6
79,5.7624,341.2617400000001,4.319768860759495,100.0,0,13.0,0.16455696202531644,6
80,5.7624,347.0241400000001,4.3378017500000015,100.0,0,13.0,0.1625,6
81,2.49148,349.5156200000001,4.315007654320989,42.857142857142854,1,14.0,0.1728395061728395,6
82,5.88,355.3956200000001,4.334092926829269,100.0,0,14.0,0.17073170731707318,6
83,5.88,361.2756200000001,4.352718313253013,100.0,0,14.0,0.1686746987951807,6
84,5.7624,367.03802000000013,4.36950023809524,100.0,0,14.0,0.16666666666666666,6
85,2.44165,369.4796700000001,4.346819647058825,37.5,1,15.0,0.17647058823529413,6
86,5.7624,375.2420700000001,4.3632798837209315,100.0,0,15.0,0.1744186046511628,2
87,5.7624,381.00447000000014,4.379361724137933,100.0,0,15.0,0.1724137931034483,3
88,5.88,386.88447000000014,4.396414431818183,100.0,0,15.0,0.17045454545454544,5
89,5.88,392.76447000000013,4.4130839325842715,100.0,0,15.0,0.16853932584269662,5
90,5.88,398.6444700000001,4.429383000000001,100.0,0,15.0,0.16666666666666666,5
91,5.88,404.5244700000001,4.445323846153848,100.0,0,15.0,0.16483516483516483,5
92,2.49148,407.01595000000015,4.42408641304348,25.0,1,16.0,0.17391304347826086,5
93,5.7624,412.77835000000016,4.438476881720431,100.0,0,16.0,0.17204301075268819,6
94,5.7624,418.5407500000002,4.452561170212768,100.0,0,16.0,0.1702127659574468,6
95,2.44165,420.98240000000015,4.431393684210528,33.33333333333333,1,17.0,0.17894736842105263,6
96,4.48233,425.46473000000015,4.431924270833335,42.857142857142854,1,18.0,0.1875,2
97,5.7624,431.22713000000016,4.44564051546392,100.0,0,18.0,0.18556701030927836,2
98,5.42352,436.65065000000016,4.455618877551022,28.57142857142857,0,18.0,0.1836734693877551,2
99,5.88,442.53065000000015,4.4700065656565675,66.66666666666666,0,18.0,0.18181818181818182,2
100,2.49148,445.0221300000002,4.450221300000002,25.0,1,19.0,0.19,3
101,-0.868126,444.15400400000016,4.397564396039606,33.33333333333333,0,19.0,0.18811881188118812,5
102,5.20875,449.36275400000017,4.405517196078433,33.33333333333333,0,19.0,0.18627450980392157,5
103,5.7624,455.1251540000002,4.418690815533982,50.0,0,19.0,0.18446601941747573,5
104,2.05077,457.1759240000002,4.3959223461538475,23.076923076923077,1,20.0,0.19230769230769232,5
105,2.49148,459.6674040000002,4.377784800000002,37.5,1,21.0,0.2,5
106,5.42352,465.0909240000002,4.387650226415096,28.57142857142857,0,21.0,0.19811320754716982,5
107,2.60438,467.6953040000002,4.370984149532712,33.33333333333333,0,21.0,0.19626168224299065,5
108,5.88,473.5753040000002,4.38495651851852,66.66666666666666,0,21.0,0.19444444444444445,5
109,5.31505,478.8903540000002,4.393489486238534,12.5,0,21.0,0.1926605504587156,5
110,-3.61787,475.2724840000002,4.320658945454547,20.0,1,22.0,0.2,5
111,5.20875,480.4812340000002,4.328659765765767,44.44444444444444,0,22.0,0.1981981981981982,5
112,2.44165,482.9228840000002,4.311811464285716,33.33333333333333,1,23.0,0.20535714285714285,5
113,5.53421,488.45709400000015,4.322629150442479,66.66666666666666,0,23.0,0.20353982300884957,5
114,2.07886,490.5359540000002,4.302946964912282,25.0,1,24.0,0.21052631578947367,5
115,5.42352,495.95947400000017,4.312691078260871,42.857142857142854,0,24.0,0.20869565217391303,5
116,5.88,501.83947400000017,4.326202362068967,66.66666666666666,0,24.0,0.20689655172413793,5
117,5.42352,507.26299400000016,4.335581145299146,28.57142857142857,0,24.0,0.20512820512820512,5
118,5.20875,512.4717440000002,4.342980881355934,11.11111111111111,0,24.0,0.2033898305084746,5
119,5.31505,517.7867940000002,4.351149529411766,12.5,0,24.0,0.20168067226890757,5
120,5.53421,523.3210040000002,4.361008366666669,50.0,0,24.0,0.2,5
121,2.55123,525.8722340000003,4.34605152066116,33.33333333333333,1,25.0,0.2066115702479339,5
122,5.42352,531.2957540000003,4.354883229508199,14.285714285714285,0,25.0,0.20491803278688525,5
123,5.31505,536.6108040000004,4.362689463414637,37.5,0,25.0,0.2032520325203252,5
124,2.49148,539.1022840000004,4.347599064516133,37.5,1,26.0,0.20967741935483872,5
125,5.20875,544.3110340000004,4.354488272000003,25.0,0,26.0,0.208,6
126,5.20875,549.5197840000004,4.361268126984131,66.66666666666666,0,26.0,0.20634920634920634,5
127,-0.850763,548.6690210000004,4.320228511811027,40.0,0,26.0,0.2047244094488189,5
128,-4.46869,544.2003310000003,4.251565085937503,44.44444444444444,1,27.0,0.2109375,5
129,5.20875,549.4090810000004,4.25898512403101,11.11111111111111,0,27.0,0.20930232558139536,5
130,-3.60085,545.8082310000003,4.198524853846156,36.36363636363637,1,28.0,0.2153846153846154,5
131,5.42352,551.2317510000004,4.207875961832064,28.57142857142857,0,28.0,0.21374045801526717,5
132,5.20875,556.4405010000004,4.215458340909094,33.33333333333333,0,28.0,0.21212121212121213,5
133,-5.48558,550.9549210000004,4.142518203007522,11.11111111111111,1,29.0,0.21804511278195488,5
134,5.64715,556.6020710000004,4.153746798507465,100.0,0,29.0,0.21641791044776118,5
135,-0.0542352,556.5478358000004,4.122576561481484,25.0,1,30.0,0.2222222222222222,5
136,5.64715,562.1949858000004,4.1337866602941205,40.0,0,30.0,0.22058823529411764,5
137,-2.60438,559.5906058000004,4.084602962043799,11.11111111111111,0,30.0,0.21897810218978103,5
138,5.20875,564.7993558000004,4.092748955072467,55.55555555555556,0,30.0,0.21739130434782608,5
139,5.88,570.6793558000004,4.105606876258996,66.66666666666666,0,30.0,0.2158273381294964,5
140,5.42352,576.1028758000004,4.115020541428574,14.285714285714285,0,30.0,0.21428571428571427,5
141,5.31505,581.4179258000005,4.123531388652486,25.0,0,30.0,0.2127659574468085,5
142,-0.850763,580.5671628000005,4.088501146478876,20.0,0,30.0,0.2112676056338028,5
143,5.42352,585.9906828000005,4.097836942657346,28.57142857142857,0,30.0,0.2097902097902098,5
144,5.7624,591.7530828000005,4.109396408333336,75.0,0,30.0,0.20833333333333334,6
145,2.60329,594.3563728000005,4.09900946758621,37.5,1,31.0,0.21379310344827587,6
146,2.71176,597.0681328000005,4.089507758904113,14.285714285714285,0,31.0,0.21232876712328766,5
147,-3.61787,593.4502628000005,4.037076617687078,22.22222222222222,1,32.0,0.21768707482993196,5
148,-5.31614,588.1341228000005,3.9738792081081113,22.22222222222222,1,33.0,0.22297297297297297,5
149,5.31505,593.4491728000005,3.9828803543624196,37.5,0,33.0,0.2214765100671141,5
150,5.64715,599.0963228000005,3.993975485333337,60.0,0,33.0,0.22,5
151,-0.885842,598.2104808000005,3.961658813245036,62.5,0,33.0,0.2185430463576159,5
152,-0.903921,597.3065598000005,3.9296484197368455,71.42857142857143,0,33.0,0.21710526315789475,6
153,2.65642,599.9629798000005,3.9213266653594805,42.857142857142854,1,34.0,0.2222222222222222,5
154,-2.71176,597.2512198000005,3.8782546740259773,57.14285714285714,0,34.0,0.22077922077922077,5
155,5.42352,602.6747398000006,3.888224127741939,71.42857142857143,0,34.0,0.21935483870967742,6
156,5.88,608.5547398000006,3.9009919217948754,100.0,0,34.0,0.21794871794871795,6
157,-2.71176,605.8429798000005,3.858872482802551,57.14285714285714,0,34.0,0.21656050955414013,6
158,5.53421,611.3771898000006,3.86947588481013,66.66666666666666,0,34.0,0.21518987341772153,2
159,2.32755,613.7047398000005,3.8597782377358523,44.44444444444444,1,35.0,0.22012578616352202,5
160,5.7624,619.4671398000005,3.871669623750003,100.0,0,35.0,0.21875,6
