rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.53615668825773E+018,1,0,"""HUMAN""",,1536156688,254427484,"""beginner_tired_noncollaborative.POMDPx""",,1536156687,886311712,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53615668825773E+018,1,0,"""HUMAN""",,1536156688,254427484,"""beginner_tired_noncollaborative.POMDPx""",,1536156688,886311712,"""2""","""Evaluating""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53615669481532E+018,1,1,"""HUMAN""",,1536156694,812808918,"""beginner_tired_noncollaborative.POMDPx""",,1536156689,351604908,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53615669481532E+018,1,1,"""HUMAN""",,1536156694,812808918,"""beginner_tired_noncollaborative.POMDPx""",,1536156690,351604908,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53615669481532E+018,1,1,"""HUMAN""",,1536156694,812808918,"""beginner_tired_noncollaborative.POMDPx""",,1536156691,351604908,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53615669481532E+018,1,1,"""HUMAN""",,1536156694,812808918,"""beginner_tired_noncollaborative.POMDPx""",,1536156692,351604908,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53615669481532E+018,1,1,"""HUMAN""",,1536156694,812808918,"""beginner_tired_noncollaborative.POMDPx""",,1536156693,351604908,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53615669481532E+018,1,1,"""HUMAN""",,1536156694,812808918,"""beginner_tired_noncollaborative.POMDPx""",,1536156694,351604908,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53615669858513E+018,1,2,"""HUMAN""",,1536156698,582092595,"""beginner_tired_noncollaborative.POMDPx""",,1536156695,904337338,"""3""","""Tired""","""Tired""",True,0,'','',[],'','','','','',[]
1.53615669858513E+018,1,2,"""HUMAN""",,1536156698,582092595,"""beginner_tired_noncollaborative.POMDPx""",,1536156696,904337338,"""3""","""Tired""","""Tired""",True,0,'','',[],'','','','','',[]
1.53615669858513E+018,1,2,"""HUMAN""",,1536156698,582092595,"""beginner_tired_noncollaborative.POMDPx""",,1536156697,904337338,"""3""","""Tired""","""Tired""",True,0,'','',[],'','','','','',[]
1.53615669858513E+018,1,2,"""HUMAN""",,1536156698,582092595,"""beginner_tired_noncollaborative.POMDPx""",,1536156698,904337338,"""3""","""Tired""","""Tired""",True,0,'','',[],'','','','','',[]
1.53615670188247E+018,1,3,"""HUMAN""",,1536156701,880238532,"""beginner_tired_noncollaborative.POMDPx""",,1536156699,645492394,"""2""","""Recovery""","""Recovery""",True,0,'','',[],'','','','','',[]
1.53615670188247E+018,1,3,"""HUMAN""",,1536156701,880238532,"""beginner_tired_noncollaborative.POMDPx""",,1536156700,645492394,"""2""","""Recovery""","""Recovery""",True,0,'','',[],'','','','','',[]
1.53615670188247E+018,1,3,"""HUMAN""",,1536156701,880238532,"""beginner_tired_noncollaborative.POMDPx""",,1536156701,645492394,"""2""","""Recovery""","""Recovery""",True,0,'','',[],'','','','','',[]
1.5361567054456E+018,1,4,"""HUMAN""",,1536156705,442901933,"""beginner_tired_noncollaborative.POMDPx""",,1536156702,962919416,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.5361567054456E+018,1,4,"""HUMAN""",,1536156705,442901933,"""beginner_tired_noncollaborative.POMDPx""",,1536156703,962919416,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.5361567054456E+018,1,4,"""HUMAN""",,1536156705,442901933,"""beginner_tired_noncollaborative.POMDPx""",,1536156704,962919416,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.5361567054456E+018,1,4,"""HUMAN""",,1536156705,442901933,"""beginner_tired_noncollaborative.POMDPx""",,1536156705,962919416,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615670895868E+018,1,5,"""HUMAN""",,1536156708,956205472,"""beginner_tired_noncollaborative.POMDPx""",,1536156706,511708565,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615670895868E+018,1,5,"""HUMAN""",,1536156708,956205472,"""beginner_tired_noncollaborative.POMDPx""",,1536156707,511708565,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615670895868E+018,1,5,"""HUMAN""",,1536156708,956205472,"""beginner_tired_noncollaborative.POMDPx""",,1536156708,511708565,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615670895868E+018,1,5,"""HUMAN""",,1536156708,956205472,"""beginner_tired_noncollaborative.POMDPx""",,1536156709,511708565,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615671252358E+018,1,6,"""HUMAN""",,1536156712,521391767,"""beginner_tired_noncollaborative.POMDPx""",,1536156710,14322729,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
