rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.53615668825773E+018,1,0,"""HUMAN""",,1536156688,254427484,"""beginner_tired_noncollaborative.POMDPx""",,1536156687,886311712,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53615669481532E+018,1,1,"""HUMAN""",,1536156694,812808918,"""beginner_tired_noncollaborative.POMDPx""",,1536156689,351604908,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53615669858513E+018,1,2,"""HUMAN""",,1536156698,582092595,"""beginner_tired_noncollaborative.POMDPx""",,1536156695,904337338,"""3""","""Tired""","""Tired""",True,0,'','',[],'','','','','',[]
1.53615670188247E+018,1,3,"""HUMAN""",,1536156701,880238532,"""beginner_tired_noncollaborative.POMDPx""",,1536156699,645492394,"""2""","""Recovery""","""Recovery""",True,0,'','',[],'','','','','',[]
1.5361567054456E+018,1,4,"""HUMAN""",,1536156705,442901933,"""beginner_tired_noncollaborative.POMDPx""",,1536156702,962919416,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615670895868E+018,1,5,"""HUMAN""",,1536156708,956205472,"""beginner_tired_noncollaborative.POMDPx""",,1536156706,511708565,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615671252358E+018,1,6,"""HUMAN""",,1536156712,521391767,"""beginner_tired_noncollaborative.POMDPx""",,1536156710,14322729,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615671579008E+018,1,7,"""HUMAN""",,1536156715,787621516,"""beginner_tired_noncollaborative.POMDPx""",,1536156713,587371560,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615671580832E+018,1,8,"""HUMAN""",,1536156715,805593751,"""beginner_tired_noncollaborative.POMDPx""",,1536156713,587371560,"""2""","""RobotInterfered""","""GlobalSuccess""",False,0,'','',[],'','','','','',[]
1.53615674160875E+018,2,0,"""HUMAN""",,1536156741,605512811,"""beginner_tired_noncollaborative.POMDPx""",,1536156729,416045521,"""0""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53615674496796E+018,2,1,"""HUMAN""",,1536156744,965719001,"""beginner_tired_noncollaborative.POMDPx""",,1536156742,694677690,"""0""","""FailedToGrasp""","""FailedToGrasp""",True,0,'','',[],'','','','','',[]
1.53615674852325E+018,2,2,"""HUMAN""",,1536156748,520647002,"""beginner_tired_noncollaborative.POMDPx""",,1536156746,44093880,"""0""","""FailedToGrasp""","""FailedToGrasp""",True,0,'','',[],'','','','','',[]
1.53615675231968E+018,2,3,"""HUMAN""",,1536156752,316758994,"""beginner_tired_noncollaborative.POMDPx""",,1536156749,593362219,"""3""","""Tired""","""Tired""",True,0,'','',[],'','','','','',[]
1.53615675942649E+018,2,4,"""HUMAN""",,1536156759,423786464,"""beginner_tired_noncollaborative.POMDPx""",,1536156753,397984456,"""2""","""Recovery""","""Recovery""",True,0,'','',[],'','','','','',[]
1.53615676336932E+018,2,5,"""HUMAN""",,1536156763,366553993,"""beginner_tired_noncollaborative.POMDPx""",,1536156760,493255524,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615676695684E+018,2,6,"""HUMAN""",,1536156766,954333244,"""beginner_tired_noncollaborative.POMDPx""",,1536156764,434747037,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615677049579E+018,2,7,"""HUMAN""",,1536156770,493581417,"""beginner_tired_noncollaborative.POMDPx""",,1536156768,40167456,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615678199233E+018,2,8,"""HUMAN""",,1536156781,989273469,"""beginner_tired_noncollaborative.POMDPx""",,1536156771,565471695,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615678201571E+018,2,9,"""HUMAN""",,1536156782,13030741,"""beginner_tired_noncollaborative.POMDPx""",,1536156771,565471695,"""2""","""RobotInterfered""","""GlobalSuccess""",False,0,'','',[],'','','','','',[]
1.53615679676886E+018,3,0,"""HUMAN""",,1536156796,765590574,"""beginner_tired_noncollaborative.POMDPx""",,1536156796,425266440,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53615680361656E+018,3,1,"""HUMAN""",,1536156803,613912445,"""beginner_tired_noncollaborative.POMDPx""",,1536156797,833085863,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.5361568110467E+018,3,2,"""HUMAN""",,1536156811,43828662,"""beginner_tired_noncollaborative.POMDPx""",,1536156804,675837863,"""3""","""Tired""","""Tired""",True,0,'','',[],'','','','','',[]
1.536156814637E+018,3,3,"""HUMAN""",,1536156814,634821827,"""beginner_tired_noncollaborative.POMDPx""",,1536156812,104925071,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615681812449E+018,3,4,"""HUMAN""",,1536156818,122140262,"""beginner_tired_noncollaborative.POMDPx""",,1536156815,717278843,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615682197605E+018,3,5,"""HUMAN""",,1536156821,973770648,"""beginner_tired_noncollaborative.POMDPx""",,1536156819,177165315,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
