rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.53615668705523E+018,1,0,"""MANAGER""",,1536156687,54977157,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy6.pomdpx""",'','',[]
1.53615668823749E+018,1,0,"""ROBOT""",,1536156688,234874689,'',,1536156688,232042815,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy6.pomdpx""",'','',"[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53615668825773E+018,1,0,"""HUMAN""",,1536156688,254427484,"""beginner_tired_noncollaborative.POMDPx""",,1536156687,886311712,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53615668826412E+018,1,1,"""ROBOT""",,1536156688,263013383,'',,1536156688,232042815,"""idle""","""TaskHuman""","""MayBeTired""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.5361566933041E+018,1,1,"""OBSERVATION""",,1536156693,301557744,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1.53615669481532E+018,1,1,"""HUMAN""",,1536156694,812808918,"""beginner_tired_noncollaborative.POMDPx""",,1536156689,351604908,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53615669482658E+018,1,2,"""ROBOT""",,1536156694,825019819,'',,1536156694,576843070,"""planning for grasping""","""NoFocus""","""MayBeTired""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53615669707509E+018,1,2,"""OBSERVATION""",,1536156697,73595287,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, False]","""ONGOING""",'','','','',[]
1.53615669858513E+018,1,2,"""HUMAN""",,1536156698,582092595,"""beginner_tired_noncollaborative.POMDPx""",,1536156695,904337338,"""3""","""Tired""","""Tired""",True,0,'','',[],'','','','','',[]
1.53615669859236E+018,1,3,"""ROBOT""",,1536156698,591391199,'',,1536156698,359318872,"""planning for grasping""","""NoFocus""","""NeedsHelp""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.5361567003814E+018,1,3,"""OBSERVATION""",,1536156700,379943766,'',,0,0,'','','',False,0,"""LA","""LA","[False, False, False, False, False, False]","""ONGOING""",'','','','',[]
1.53615670188247E+018,1,3,"""HUMAN""",,1536156701,880238532,"""beginner_tired_noncollaborative.POMDPx""",,1536156699,645492394,"""2""","""Recovery""","""Recovery""",True,0,'','',[],'','','','','',[]
1.53615670189056E+018,1,4,"""ROBOT""",,1536156701,889479804,'',,1536156701,694288961,"""grasp""","""NeedsHelp""","""NeedsHelp""",True,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53615670402489E+018,1,4,"""OBSERVATION""",,1536156704,23304754,'',,0,0,'','','',False,0,"""LA","""LA","[False, False, False, False, False, False]","""ONGOING""",'','','','',[]
1.5361567054456E+018,1,4,"""HUMAN""",,1536156705,442901933,"""beginner_tired_noncollaborative.POMDPx""",,1536156702,962919416,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615670545105E+018,1,5,"""ROBOT""",,1536156705,450063814,'',,1536156705,309998212,"""planning for grasping""","""MayBeTired""","""NeedsHelp""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53615670757989E+018,1,5,"""OBSERVATION""",,1536156707,578485727,'',,0,0,'','','',False,0,"""LA","""LA","[False, False, False, False, False, False]","""ONGOING""",'','','','',[]
1.53615670895868E+018,1,5,"""HUMAN""",,1536156708,956205472,"""beginner_tired_noncollaborative.POMDPx""",,1536156706,511708565,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615670896781E+018,1,6,"""ROBOT""",,1536156708,966666509,'',,1536156708,824032437,"""grasp""","""NeedsHelp""","""NeedsHelp""",True,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53615671122178E+018,1,6,"""OBSERVATION""",,1536156711,220204845,'',,0,0,'','','',False,0,"""LA","""LA","[False, False, False, False, False, False]","""ONGOING""",'','','','',[]
1.53615671251752E+018,1,6,"""SENSORS""",,1536156712,517381599,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53615671252358E+018,1,6,"""HUMAN""",,1536156712,521391767,"""beginner_tired_noncollaborative.POMDPx""",,1536156710,14322729,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53615671253158E+018,1,7,"""ROBOT""",,1536156712,530611311,'',,1536156712,500115030,"""idle""","""GlobalSuccess""","""NeedsHelp""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53615671451652E+018,1,7,"""OBSERVATION""",,1536156714,514995198,'',,0,0,'','','',False,0,"""LA","""LA","[False, False, False, False, False, False]","""SUCCESS""","""robot""",'','','',[]
