task_id,task_init_secs,task_init_nsecs,acted_secs,acted_nsecs,taken_action,belief_state,real_state,human_state,human_model,isEstimationCorrect,robot_model,immediate_reward,total_disc_reward,warning_received
1,1536156687,54977157,1536156688,232042815,"""idle""","""TaskHuman""","""MayBeTired""","""Evaluating""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy6.pomdpx""","""0""","""0""",0
1,1536156687,54977157,1536156694,576843070,"""planning for grasping""","""NoFocus""","""MayBeTired""","""Tired""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy6.pomdpx""","""0""","""0""",0
1,1536156687,54977157,1536156698,359318872,"""planning for grasping""","""NoFocus""","""NeedsHelp""","""Recovery""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy6.pomdpx""","""0""","""0""",0
1,1536156687,54977157,1536156701,694288961,"""grasp""","""NeedsHelp""","""NeedsHelp""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",True,"""policy6.pomdpx""","""0""","""0""",0
1,1536156687,54977157,1536156705,309998212,"""planning for grasping""","""MayBeTired""","""NeedsHelp""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy6.pomdpx""","""0""","""0""",0
1,1536156687,54977157,1536156708,824032437,"""grasp""","""NeedsHelp""","""NeedsHelp""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",True,"""policy6.pomdpx""","""0""","""0""",0
1,1536156687,54977157,1536156712,500115030,"""idle""","""GlobalSuccess""","""NeedsHelp""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy6.pomdpx""","""0""","""0""",0
1,1536156687,54977157,1536156715,775468976,"""idle""","""GlobalSuccess""","""GlobalSuccess""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",True,"""policy6.pomdpx""","""6""","""5.20875""",0
2,1536156728,550617329,1536156729,718245527,"""idle""","""TaskHuman""","""TaskHuman""","""TaskHuman""","""beginner_tired_noncollaborative.POMDPx""",True,"""policy11.pomdpx""","""6""","""5.20875""",0
2,1536156728,550617329,1536156741,356109253,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""","""FailedToGrasp""","""beginner_tired_noncollaborative.POMDPx""",True,"""policy11.pomdpx""","""0""","""0""",0
2,1536156728,550617329,1536156744,843966436,"""cancel all actions""","""WarningReceived""","""NoNeedHelp""","""FailedToGrasp""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy11.pomdpx""","""0""","""0""",0
2,1536156728,550617329,1536156748,509750249,"""idle""","""NoNeedHelp""","""MayBeTired""","""Tired""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy11.pomdpx""","""0""","""0""",0
2,1536156728,550617329,1536156752,190384934,"""planning for grasping""","""MayNotBeCapable""","""NeedsHelp""","""Recovery""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy11.pomdpx""","""0""","""0""",0
2,1536156728,550617329,1536156755,198061569,"""grasp""","""NeedsHelp""","""NeedsHelp""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",True,"""policy11.pomdpx""","""0""","""0""",0
2,1536156728,550617329,1536156763,153901583,"""grasp""","""NeedsHelp""","""NeedsHelp""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",True,"""policy11.pomdpx""","""0""","""0""",0
2,1536156728,550617329,1536156766,709722219,"""grasp""","""NeedsHelp""","""NeedsHelp""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",True,"""policy11.pomdpx""","""0""","""0""",0
2,1536156728,550617329,1536156770,333033077,"""grasp""","""NeedsHelp""","""NeedsHelp""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",True,"""policy11.pomdpx""","""0""","""0""",0
2,1536156728,550617329,1536156781,977219897,"""idle""","""GlobalSuccess""","""GlobalSuccess""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",True,"""policy11.pomdpx""","""6""","""5.00249""",0
3,1536156795,560601651,1536156796,751702428,"""idle""","""TaskHuman""","""TaskHuman""","""TaskHuman""","""beginner_tired_noncollaborative.POMDPx""",True,"""policy11.pomdpx""","""6""","""5.00249""",0
3,1536156795,560601651,1536156796,751702428,"""idle""","""TaskHuman""","""MayBeTired""","""Evaluating""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy11.pomdpx""","""0""","""0""",0
3,1536156795,560601651,1536156803,336147721,"""planning for grasping""","""NoFocus""","""MayBeTired""","""Tired""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy11.pomdpx""","""0""","""0""",0
3,1536156795,560601651,1536156806,910369536,"""grasp""","""NeedsHelp""","""MayBeTired""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy11.pomdpx""","""0""","""0""",0
3,1536156795,560601651,1536156814,425876052,"""grasp""","""NeedsHelp""","""MayBeTired""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy11.pomdpx""","""0""","""0""",0
3,1536156795,560601651,1536156817,919348728,"""grasp""","""NeedsHelp""","""MayBeTired""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy11.pomdpx""","""0""","""0""",0
3,1536156795,560601651,1536156821,714786432,"""grasp""","""NeedsHelp""","""GlobalSuccess""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy11.pomdpx""","""6""","""5.42352""",0
4,1536156835,212988844,1536156836,384643278,"""idle""","""TaskHuman""","""TaskHuman""","""TaskHuman""","""beginner_tired_noncollaborative.POMDPx""",True,"""policy3.pomdpx""","""6""","""5.42352""",0
4,1536156835,212988844,1536156836,384643278,"""idle""","""TaskHuman""","""MayBeTired""","""Evaluating""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy3.pomdpx""","""0""","""0""",0
4,1536156835,212988844,1536156842,696455830,"""planning for grasping""","""NoFocus""","""MayBeTired""","""NoAttention""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy3.pomdpx""","""0""","""0""",0
4,1536156835,212988844,1536156846,235639011,"""grasp""","""NeedsHelp""","""MayBeTired""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy3.pomdpx""","""0""","""0""",0
4,1536156835,212988844,1536156853,901277131,"""planning for grasping""","""MayBeTired""","""MayBeTired""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",True,"""policy3.pomdpx""","""0""","""0""",0
4,1536156835,212988844,1536156857,380743678,"""grasp""","""NeedsHelp""","""MayBeTired""","""RobotInterfered""","""beginner_tired_noncollaborative.POMDPx""",False,"""policy3.pomdpx""","""0""","""0""",0
