rosbagTimestamp,task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.53615668823749E+018,1,0,"""ROBOT""",,1536156688,234874689,'',,1536156688,232042815,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy6.pomdpx""",'','',"[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53615668826412E+018,1,1,"""ROBOT""",,1536156688,263013383,'',,1536156688,232042815,"""idle""","""TaskHuman""","""MayBeTired""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53615669482658E+018,1,2,"""ROBOT""",,1536156694,825019819,'',,1536156694,576843070,"""planning for grasping""","""NoFocus""","""MayBeTired""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53615669859236E+018,1,3,"""ROBOT""",,1536156698,591391199,'',,1536156698,359318872,"""planning for grasping""","""NoFocus""","""NeedsHelp""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53615670189056E+018,1,4,"""ROBOT""",,1536156701,889479804,'',,1536156701,694288961,"""grasp""","""NeedsHelp""","""NeedsHelp""",True,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53615670545105E+018,1,5,"""ROBOT""",,1536156705,450063814,'',,1536156705,309998212,"""planning for grasping""","""MayBeTired""","""NeedsHelp""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53615670896781E+018,1,6,"""ROBOT""",,1536156708,966666509,'',,1536156708,824032437,"""grasp""","""NeedsHelp""","""NeedsHelp""",True,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53615671253158E+018,1,7,"""ROBOT""",,1536156712,530611311,'',,1536156712,500115030,"""idle""","""GlobalSuccess""","""NeedsHelp""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53615671579643E+018,1,8,"""ROBOT""",,1536156715,795302343,'',,1536156715,775468976,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,0,'','',[],'','',"""policy6.pomdpx""","""6""","""5.20875""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53615672972274E+018,2,0,"""ROBOT""",,1536156729,720608234,'',,1536156729,718245527,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy11.pomdpx""","""6""","""5.20875""","[1.0527541505211957e-08, 3.14881593022065e-11, 3.14881593022065e-11, 3.14881593022065e-11, 1.9994981226290065e-09, 3.14881593022065e-11, 3.14881593022065e-11, 3.14881593022065e-11, 1.0, 2.280642341645489e-09]"
