task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,moving_avg_time,task_status,moving_avg_status,who_succeeded
1,1536156687,54977157,1536156712,517381599,24.967610120773315,24.967610120773315,1,1.0,"""robot"""
2,1536156728,550617329,1536156770,507635779,41.95701861381531,33.46231436729431,1,1.0,"""robot"""
3,1536156795,560601651,1536156821,505106531,25.944504737854004,30.95637782414754,1,1.0,"""robot"""
4,1536156835,212988844,1536156860,516171020,25.303182125091553,29.543078899383545,1,1.0,"""robot"""
5,1536156873,680167985,1536156899,510883463,25.830715656280518,28.80060625076294,1,1.0,"""robot"""
6,1536156911,497283986,1536156937,513407653,26.01612377166748,28.336525837580364,1,1.0,"""robot"""
7,1536156950,940583953,1536156984,507475420,33.56689143180847,29.083720922470093,1,1.0,"""robot"""
8,1536156994,469794920,1536157019,507025336,25.037230253219604,28.57790958881378,1,1.0,"""robot"""
9,1536157036,41266148,1536157061,504653631,25.091992139816284,28.19058542781406,1,1.0,"""robot"""
10,1536157077,420453577,1536157099,512396405,22.09194278717041,27.580721163749693,1,1.0,"""robot"""
11,1536157113,105746937,1536157138,508896710,25.403149843215942,27.382760134610262,1,1.0,"""robot"""
12,1536157151,781802088,1536157174,514051395,22.73224925994873,26.9952175617218,1,1.0,"""robot"""
13,1536157191,143714231,1536157216,506979473,25.3632652759552,26.869682770508987,1,1.0,"""robot"""
14,1536157229,604984046,1536157251,508258420,21.903274297714233,26.514939308166504,1,1.0,"""robot"""
15,1536157267,778239403,1536157300,504896046,32.726656675338745,26.92905379931132,1,1.0,"""robot"""
16,1536157315,331552289,1536157339,516853647,24.185301303863525,26.757569268345833,1,1.0,"""robot"""
17,1536157353,300993095,1536157379,507736020,26.206742763519287,26.725167709238388,1,1.0,"""robot"""
18,1536157392,207987287,1536157444,255079416,52.04709219932556,28.13194129202101,1,1.0,"""robot"""
19,1536157460,635971634,1536157483,510661346,22.87468981742859,27.85524384598983,1,1.0,"""robot"""
20,1536157497,318128790,1536157523,505481174,26.187352418899536,27.771849274635315,1,1.0,"""robot"""
21,1536157536,728549987,1536157563,521388043,26.792838096618652,27.72522969472976,1,1.0,"""robot"""
22,1536157576,121793957,1536157613,506912298,37.38511824607849,28.164315537972882,1,1.0,"""robot"""
23,1536157626,560849560,1536157651,506494636,24.945644855499268,28.024373334387075,1,1.0,"""robot"""
24,1536157665,143067176,1536157702,504702775,37.36163568496704,28.413425932327907,1,1.0,"""robot"""
25,1536157718,834806947,1536157740,514372544,21.67956566810608,28.144071521759034,1,1.0,"""robot"""
26,1536157750,533686736,1536157773,514192516,22.98050594329834,27.94547284566439,1,1.0,"""robot"""
27,1536157786,906809539,1536157812,504666168,25.597856521606445,27.858524092921503,1,1.0,"""robot"""
28,1536157826,507402490,1536157849,509076458,23.001673936843872,27.685065158775874,1,1.0,"""robot"""
29,1536157866,72062525,1536157890,511929321,23.791304111480713,27.550797536455352,1,1.0,"""robot"""
30,1536157903,647973983,1536157936,510741203,32.86276721954346,27.72786319255829,1,1.0,"""robot"""
31,1536157949,575636166,1536157971,513406009,21.937769889831543,27.54108598924452,1,1.0,"""robot"""
32,1536157980,964444458,1536158006,514472193,25.55002784729004,27.478865422308445,1,1.0,"""robot"""
33,1536158019,663220370,1536158042,504786932,22.841566562652588,27.338341214440085,1,1.0,"""robot"""
34,1536158055,565309071,1536158078,504673151,22.939364194869995,27.208959537393905,1,1.0,"""robot"""
35,1536158091,862829373,1536158117,519841265,25.65701174736023,27.164618171964374,1,1.0,"""robot"""
36,1536158130,183452726,1536158162,504975346,32.32152247428894,27.30786551369561,1,1.0,"""robot"""
37,1536158172,78805219,1536158205,515374802,32.727322816848755,27.45433733269975,1,1.0,"""robot"""
38,1536158233,203898962,1536158257,504751418,24.30085253715515,27.371350890711735,1,1.0,"""robot"""
39,1536158270,743464484,1536158296,514288768,25.770824193954468,27.330311744641033,1,1.0,"""robot"""
40,1536158306,139820861,1536158328,517384050,22.37756323814392,27.206493031978606,1,1.0,"""robot"""
41,1536158341,422229301,1536158367,505049104,26.08281970024109,27.179086365350862,1,1.0,"""robot"""
42,1536158383,946633307,1536158409,518719686,25.572086334228516,27.14082445984795,1,1.0,"""robot"""
43,1536158422,481873656,1536158447,520480376,25.038606643676758,27.091935673425365,1,1.0,"""robot"""
44,1536158457,657036001,1536158490,578170583,32.92113447189331,27.224417464299634,1,1.0,"""robot"""
45,1536158504,426176650,1536158528,583655774,24.157479286193848,27.156263282563952,1,1.0,"""robot"""
46,1536158546,95157436,1536158580,584008999,33.632434606552124,27.297049615694128,1,1.0,"""robot"""
47,1536158607,958918624,1536158634,571964607,26.613045930862427,27.28249634580409,1,1.0,"""robot"""
