rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.53820738802818E+018,1,0,"""MANAGER""",,1538207388,26983256,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy6.pomdpx""",'','',[]
1.53820738921248E+018,1,0,"""ROBOT""",,1538207389,210682624,'',,1538207389,208409745,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy6.pomdpx""",'','',"[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.5382073931002E+018,1,0,"""OBSERVATION""",,1538207393,98769939,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1.53820739457813E+018,1,0,"""HUMAN""",,1538207394,574954111,"""distracted_collaborative.POMDPx""",,1538207388,900151862,"""1""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53820739458865E+018,1,1,"""ROBOT""",,1538207394,587661863,'',,1538207394,336254218,"""planning for grasping""","""NoFocus""","""NoFocus""",True,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53820739676711E+018,1,1,"""OBSERVATION""",,1538207396,765552848,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1.53820740231451E+018,1,1,"""HUMAN""",,1538207402,312274432,"""distracted_collaborative.POMDPx""",,1538207395,654429076,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53820740232787E+018,1,2,"""ROBOT""",,1538207402,326803735,'',,1538207398,22479725,"""point to remind""","""NeedsToBeReminded""","""TaskHuman""",False,0,'','',[],'','',"""policy6.pomdpx""","""-1""","""-0.9604""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53820740496658E+018,1,2,"""OBSERVATION""",,1538207404,965177318,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
1.53820740651931E+018,1,2,"""HUMAN""",,1538207406,516646061,"""distracted_collaborative.POMDPx""",,1538207403,381887296,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53820740652731E+018,1,3,"""ROBOT""",,1538207406,526329367,'',,1538207406,241923815,"""planning for grasping""","""NoFocus""","""NeedsToBeReminded""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""-0.9604""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53820740915046E+018,1,3,"""OBSERVATION""",,1538207409,149052815,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','','',[]
