task_id,task_init_secs,task_init_nsecs,acted_secs,acted_nsecs,taken_action,belief_state,real_state,human_state,human_model,isEstimationCorrect,robot_model,immediate_reward,total_disc_reward,warning_received
1,1538207388,26983256,1538207394,336254218,"""planning for grasping""","""NoFocus""","""NoFocus""","""NoAttention""","""distracted_collaborative.POMDPx""",True,"""policy6.pomdpx""","""0""","""0""",0
1,1538207388,26983256,1538207398,22479725,"""point to remind""","""NeedsToBeReminded""","""TaskHuman""","""Evaluating""","""distracted_collaborative.POMDPx""",False,"""policy6.pomdpx""","""-1""","""-0.9604""",0
1,1538207388,26983256,1538207406,241923815,"""planning for grasping""","""NoFocus""","""NeedsToBeReminded""","""NoAttention""","""distracted_collaborative.POMDPx""",False,"""policy6.pomdpx""","""0""","""-0.9604""",0
1,1538207388,26983256,1538207410,431562451,"""point to remind""","""NeedsToBeReminded""","""TaskHuman""","""Evaluating""","""distracted_collaborative.POMDPx""",False,"""policy6.pomdpx""","""-1""","""-1.88277""",0
1,1538207388,26983256,1538207414,544282192,"""planning for grasping""","""NoFocus""","""NeedsToBeReminded""","""NoAttention""","""distracted_collaborative.POMDPx""",False,"""policy6.pomdpx""","""0""","""-1.88277""",0
1,1538207388,26983256,1538207418,598680302,"""planning for grasping""","""NeedsToBeReminded""","""NeedsToBeReminded""","""NoAttention""","""distracted_collaborative.POMDPx""",True,"""policy6.pomdpx""","""0""","""-1.88277""",0
1,1538207388,26983256,1538207422,571506753,"""planning for grasping""","""MayBeTired""","""NeedsToBeReminded""","""NoAttention""","""distracted_collaborative.POMDPx""",False,"""policy6.pomdpx""","""0""","""-1.88277""",0
1,1538207388,26983256,1538207427,256218280,"""planning for grasping""","""NeedsHelp""","""NeedsToBeReminded""","""NoAttention""","""distracted_collaborative.POMDPx""",False,"""policy6.pomdpx""","""0""","""-1.88277""",0
1,1538207388,26983256,1538207431,572141802,"""planning for grasping""","""TaskHuman""","""NeedsToBeReminded""","""NoAttention""","""distracted_collaborative.POMDPx""",False,"""policy6.pomdpx""","""0""","""-1.88277""",0
1,1538207388,26983256,1538207443,171956989,"""planning for grasping""","""GlobalFail""","""GlobalFail""","""NoAttention""","""distracted_collaborative.POMDPx""",True,"""policy6.pomdpx""","""-1""","""-2.69984""",0
2,1538207453,819468329,1538207454,986608102,"""idle""","""TaskHuman""","""TaskHuman""","""TaskHuman""","""distracted_collaborative.POMDPx""",True,"""base.pomdpx""","""-1""","""-2.69984""",0
2,1538207453,819468329,1538207454,986608102,"""idle""","""TaskHuman""","""TaskHuman""","""Evaluating""","""distracted_collaborative.POMDPx""",True,"""base.pomdpx""","""0""","""0""",0
2,1538207453,819468329,1538207464,659894704,"""idle""","""GlobalSuccess""","""GlobalSuccess""","""Evaluating""","""distracted_collaborative.POMDPx""",True,"""base.pomdpx""","""6""","""5.88""",0
3,1538207474,971930707,1538207476,142668857,"""idle""","""TaskHuman""","""TaskHuman""","""TaskHuman""","""distracted_collaborative.POMDPx""",True,"""base.pomdpx""","""6""","""5.88""",0
3,1538207474,971930707,1538207476,142668857,"""idle""","""TaskHuman""","""TaskHuman""","""TaskHuman""","""distracted_collaborative.POMDPx""",True,"""base.pomdpx""","""0""","""0""",0
3,1538207474,971930707,1538207482,318377002,"""planning for grasping""","""NoFocus""","""NoFocus""","""NoAttention""","""distracted_collaborative.POMDPx""",True,"""base.pomdpx""","""0""","""0""",0
3,1538207474,971930707,1538207486,273108615,"""planning for grasping""","""NeedsToBeReminded""","""NeedsToBeReminded""","""NoAttention""","""distracted_collaborative.POMDPx""",True,"""base.pomdpx""","""0""","""0""",0
3,1538207474,971930707,1538207490,414993691,"""grasp""","""NeedsHelp""","""NeedsToBeReminded""","""RobotInterfered""","""distracted_collaborative.POMDPx""",False,"""base.pomdpx""","""0""","""0""",0
