task_id,total_disc_reward,cumulative_reward,moving_avg_reward,overall_est_accur,warnings_received,cumulative_warnings,moving_avg_warnings,robot_model_ID
1,5.20875,5.20875,5.20875,25,0,0,0,5
2,5.42352,10.63227,5.316135,14.2857142857,0,0,0,6
3,5.42352,16.05579,5.35193,14.2857142857,0,0,0,11
4,5.31505,21.37084,5.34271,37.5,0,0,0,8
5,5.31505,26.68589,5.337178,25,0,0,0,8
6,5.42352,32.10941,5.3515683333,14.2857142857,0,0,0,3
7,2.71176,34.82117,4.9744528571,14.2857142857,0,0,0,4
8,5.20875,40.02992,5.00374,44.4444444444,0,0,0,4
9,5.42352,45.45344,5.0503822222,57.1428571429,0,0,0,4
10,2.60329,48.05673,4.805673,12.5,1,1,0.1,4
11,5.42352,53.48025,4.8618409091,28.5714285714,0,1,0.0909090909,4
12,-3.31832,50.16193,4.1801608333,41.6666666667,1,2,0.1666666667,4
13,-0.211561,49.950369,3.8423360769,40,2,4,0.3076923077,4
14,-0.0520875,49.8982815,3.5641629643,20,1,5,0.3571428571,4
15,5.20875,55.1070315,3.6738021,22.2222222222,0,5,0.3333333333,4
16,2.71176,57.8187915,3.6136744688,28.5714285714,0,5,0.3125,4
17,5.42352,63.2423115,3.7201359706,28.5714285714,0,5,0.2941176471,4
18,2.65753,65.8998415,3.6611023056,37.5,0,5,0.2777777778,4
19,5.20875,71.1085915,3.7425574474,44.4444444444,0,5,0.2631578947,4
20,2.45122,73.5598115,3.677990575,58.3333333333,0,5,0.25,4
21,5.10458,78.6643915,3.7459234048,11.1111111111,0,5,0.2380952381,4
22,2.50124,81.1656315,3.6893468864,36.3636363636,0,5,0.2272727273,4
23,5.10458,86.2702115,3.7508787609,50,0,5,0.2173913043,4
24,2.71176,88.9819715,3.7075821458,42.8571428571,0,5,0.2083333333,4
25,5.31505,94.2970215,3.77188086,37.5,0,5,0.2,4
26,-2.87234,91.4246815,3.5163339038,30,2,7,0.2692307692,4
