rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.5383341056486E+018,1,0,"""HUMAN""",,1538334105,645667736,"""distracted_collaborative.POMDPx""",,1538334105,294556470,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.5383341148747E+018,1,1,"""HUMAN""",,1538334114,872267573,"""distracted_collaborative.POMDPx""",,1538334106,725430113,"""0""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53833411488988E+018,1,2,"""HUMAN""",,1538334114,886512369,"""distracted_collaborative.POMDPx""",,1538334106,725430113,"""0""","""Evaluating""","""GlobalSuccess""",False,0,'','',[],'','','','','',[]
1.53833413151245E+018,2,0,"""HUMAN""",,1538334131,509474593,"""distracted_collaborative.POMDPx""",,1538334126,251278186,"""1""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53833413151245E+018,2,0,"""HUMAN""",,1538334131,509474593,"""distracted_collaborative.POMDPx""",,1538334127,251278186,"""1""","""NoAttention""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53833413151245E+018,2,0,"""HUMAN""",,1538334131,509474593,"""distracted_collaborative.POMDPx""",,1538334128,251278186,"""1""","""NoAttention""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53833413151245E+018,2,0,"""HUMAN""",,1538334131,509474593,"""distracted_collaborative.POMDPx""",,1538334129,251278186,"""1""","""NoAttention""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53833413151245E+018,2,0,"""HUMAN""",,1538334131,509474593,"""distracted_collaborative.POMDPx""",,1538334130,251278186,"""1""","""NoAttention""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53833413151245E+018,2,0,"""HUMAN""",,1538334131,509474593,"""distracted_collaborative.POMDPx""",,1538334131,251278186,"""1""","""NoAttention""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53833413593923E+018,2,1,"""HUMAN""",,1538334135,936968189,"""distracted_collaborative.POMDPx""",,1538334132,594102538,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53833413593923E+018,2,1,"""HUMAN""",,1538334135,936968189,"""distracted_collaborative.POMDPx""",,1538334133,594102538,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53833413593923E+018,2,1,"""HUMAN""",,1538334135,936968189,"""distracted_collaborative.POMDPx""",,1538334134,594102538,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53833413593923E+018,2,1,"""HUMAN""",,1538334135,936968189,"""distracted_collaborative.POMDPx""",,1538334135,594102538,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53833413593923E+018,2,1,"""HUMAN""",,1538334135,936968189,"""distracted_collaborative.POMDPx""",,1538334136,594102538,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53833413998982E+018,2,2,"""HUMAN""",,1538334139,987564268,"""distracted_collaborative.POMDPx""",,1538334137,15670650,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53833413998982E+018,2,2,"""HUMAN""",,1538334139,987564268,"""distracted_collaborative.POMDPx""",,1538334138,15670650,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53833413998982E+018,2,2,"""HUMAN""",,1538334139,987564268,"""distracted_collaborative.POMDPx""",,1538334139,15670650,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53833413998982E+018,2,2,"""HUMAN""",,1538334139,987564268,"""distracted_collaborative.POMDPx""",,1538334140,15670650,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53833414407732E+018,2,3,"""HUMAN""",,1538334144,75195792,"""distracted_collaborative.POMDPx""",,1538334141,59669389,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53833414407732E+018,2,3,"""HUMAN""",,1538334144,75195792,"""distracted_collaborative.POMDPx""",,1538334142,59669389,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53833414407732E+018,2,3,"""HUMAN""",,1538334144,75195792,"""distracted_collaborative.POMDPx""",,1538334143,59669389,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53833414407732E+018,2,3,"""HUMAN""",,1538334144,75195792,"""distracted_collaborative.POMDPx""",,1538334144,59669389,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.5383341479606E+018,2,4,"""HUMAN""",,1538334147,957952379,"""distracted_collaborative.POMDPx""",,1538334145,157293358,"""2""","""WarningTheRobot""","""WarningTheRobot""",True,0,'','',[],'','','','','',[]
