task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,moving_avg_time,task_status,moving_avg_status,who_succeeded
1,1538334104,415149761,1538334111,78399121,7.3688414096832275,7.3688414096832275,1,1.0,"""human"""
2,1538334125,398924221,1538334151,77907322,26.380149126052856,16.874495267868042,1,1.0,"""robot"""
3,1538334167,148314414,1538334204,78206860,37.63375401496887,23.794248183568318,1,1.0,"""robot"""
4,1538334216,235922813,1538334223,78276299,7.546840190887451,19.732396185398102,1,1.0,"""human"""
5,1538334239,937522023,1538334292,910885400,52.973363399505615,26.380589628219603,0,0.8,''
6,1538334305,934072083,1538334336,78001974,30.845947742462158,27.124815980593365,1,0.8333333333333334,"""robot"""
7,1538334350,64353206,1538334374,78255470,24.13902258872986,26.698274067470006,1,0.8571428571428571,"""human"""
8,1538334390,616527011,1538334409,78255342,19.16602635383606,25.756743103265762,1,0.875,"""human"""
9,1538334425,727012267,1538334478,543782320,52.81677007675171,28.763412766986423,1,0.8888888888888888,"""robot"""
10,1538334491,172708030,1538334520,78221233,29.609504222869873,28.84802191257477,1,0.9,"""robot"""
11,1538334535,354469447,1538334590,78045416,55.425984621047974,31.264200340617787,1,0.9090909090909091,"""robot"""
12,1538334604,631919494,1538334620,78474387,16.15282440185547,30.004919012387592,1,0.9166666666666666,"""human"""
13,1538334636,130681842,1538334689,261799410,53.13111758232117,31.783857363920944,1,0.9230769230769231,"""robot"""
14,1538334704,709096235,1538334757,410288059,52.701191902160645,33.27795268808092,1,0.9285714285714286,"""robot"""
15,1538334770,464101318,1538334792,78206780,22.31796646118164,32.547286939620975,1,0.9333333333333333,"""human"""
16,1538334808,842790233,1538334846,78038144,37.937591314315796,32.8841809630394,1,0.9375,"""robot"""
17,1538334871,913818251,1538334905,78131259,33.867494344711304,32.94202292666716,1,0.9411764705882353,"""robot"""
18,1538334918,390985993,1538334942,78518652,24.394200563430786,32.46714390648736,1,0.9444444444444444,"""human"""
19,1538334957,416248396,1538334964,78288461,7.366636276245117,31.14606455752724,1,0.9473684210526315,"""human"""
20,1538334981,530027958,1538334989,78287534,8.25284743309021,30.00140370130539,1,0.95,"""human"""
21,1538335004,646570015,1538335039,78169079,35.13512086868286,30.24586642356146,1,0.9523809523809523,"""robot"""
22,1538335053,5810062,1538335091,78122158,38.200215339660645,30.607427737929605,1,0.9545454545454546,"""robot"""
23,1538335103,31018394,1538335110,78244681,7.472262859344482,29.60155100407808,1,0.9565217391304348,"""human"""
24,1538335127,484937957,1538335168,78292461,41.29798674583435,30.08890249331792,1,0.9583333333333334,"""human"""
25,1538335192,804980858,1538335219,77947600,26.97449517250061,29.964326200485228,1,0.96,"""robot"""
26,1538335234,602249322,1538335267,78014848,33.17789912223816,30.087925159014187,1,0.9615384615384616,"""robot"""
