rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1542131974053248747,1,0,"""MANAGER""",,1542131974,50713504,"""expert_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy8.pomdpx""",'','',[]
1542131975276449826,1,0,"""ROBOT""",,1542131975,269649420,'',,1542131975,263187793,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy8.pomdpx""",'','',[]
1542131975316541379,1,0,"""HUMAN""",,1542131975,312223137,"""expert_tired_noncollaborative.POMDPx""",,1542131974,863799171,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1542131975362205153,1,1,"""ROBOT""",,1542131975,360647106,'',,1542131975,263187793,"""idle""","""TaskHuman""","""MayBeTired""",False,0,'','',[],'','',"""policy8.pomdpx""","""0""","""0""",[]
1542131981337834604,1,1,"""SENSORS""",,1542131981,336543007,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','','',[]
1542131983458295383,1,1,"""OBSERVATION""",,1542131983,453385127,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, True, False, False, False]","""SUCCESS""","""human""",'','','',[]
1542131984726314289,1,1,"""HUMAN""",,1542131984,722052066,"""expert_tired_noncollaborative.POMDPx""",,1542131976,423867320,"""0""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1542131984734092332,1,2,"""ROBOT""",,1542131984,732969518,'',,1542131984,700614907,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,0,'','',[],'','',"""policy8.pomdpx""","""6""","""5.88""",[]
1542131984744411201,1,2,"""HUMAN""",,1542131984,741092853,"""expert_tired_noncollaborative.POMDPx""",,1542131976,423867320,"""0""","""Evaluating""","""GlobalSuccess""",False,0,'','',[],'','','','','',[]
1542131995092107617,2,0,"""MANAGER""",,1542131995,91928430,"""expert_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy8.pomdpx""",'','',[]
1542131996261693409,2,0,"""ROBOT""",,1542131996,259070725,'',,1542131996,255555946,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy8.pomdpx""","""6""","""5.88""",[]
1542131996273003594,2,0,"""HUMAN""",,1542131996,269705350,"""expert_tired_noncollaborative.POMDPx""",,1542131995,941461102,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
