task_id,test1,test2,test3,test4,test5
1,5.88,5.31505,5.64715,5.88,5.20875
2,5.88,2.49148,5.88,5.88,5.7624
3,5.88,5.88,5.7624,5.88,5.88
4,5.64715,5.88,5.88,5.20875,5.7624
5,2.49699,-5.42795,2.65301,5.88,5.31505
6,5.31505,5.64715,5.88,5.88,5.88
7,5.31505,-2.71176,5.31505,5.31505,5.88
8,2.65301,5.7624,2.94,2.59995,5.31505
9,5.7624,5.42352,5.88,5.64715,5.88
10,5.88,5.88,5.31505,-2.71176,5.7624
11,5.20875,5.88,5.88,5.31505,5.88
12,5.88,5.88,5.88,5.31505,5.7624
13,5.20875,5.7624,5.88,5.7624,5.7624
14,5.7624,5.64715,5.7624,5.88,5.88
15,5.7624,5.64715,5.7624,-0.109577,5.20875
16,5.64715,5.88,5.88,5.42352,5.88
17,5.20875,-0.381927,5.88,5.31505,5.7624
18,5.53421,5.88,5.88,5.20875,5.20875
19,5.64715,5.64715,5.7624,5.88,2.7671
20,5.88,5.88,5.88,5.88,2.49148
21,5.88,5.88,5.64715,5.42352,5.7624
22,5.88,5.88,5.88,5.88,5.31505
23,5.31505,5.88,5.88,5.7624,5.88
24,5.88,5.7624,5.88,5.88,5.31505
25,5.88,5.42352,5.7624,2.65301,5.53421
26,5.31505,5.53421,5.88,5.7624,5.7624
27,-13.4231,5.7624,5.31505,5.88,5.53421
28,5.20875,5.31505,5.10458,5.88,5.88
29,5.88,5.88,5.20875,5.7624,5.53421
30,2.65301,5.88,5.31505,5.20875,2.49148
