task_id,total_disc_reward,cumulative_reward,moving_avg_reward,overall_est_accur,warnings_received,cumulative_warnings,moving_avg_warnings,robot_model_ID
1,5.20875,5.20875,5.20875,37.5,0,0.0,0.0,6
2,5.00249,10.21124,5.10562,70.0,0,0.0,0.0,11
3,5.42352,15.63476,5.211586666666666,14.285714285714285,0,0.0,0.0,11
4,5.42352,21.05828,5.26457,42.857142857142854,0,0.0,0.0,3
5,5.53421,26.592489999999998,5.318498,33.33333333333333,0,0.0,0.0,3
6,5.42352,32.016009999999994,5.336001666666665,14.285714285714285,0,0.0,0.0,11
7,5.31505,37.331059999999994,5.333008571428571,25.0,0,0.0,0.0,3
8,5.20875,42.539809999999996,5.3174762499999995,44.44444444444444,0,0.0,0.0,3
9,5.31505,47.854859999999995,5.317206666666666,37.5,0,0.0,0.0,3
10,5.31505,53.169909999999994,5.316991,14.285714285714285,0,0.0,0.0,3
11,5.31505,58.484959999999994,5.316814545454545,37.5,0,0.0,0.0,3
12,5.31505,63.80000999999999,5.316667499999999,25.0,0,0.0,0.0,11
13,5.42352,69.22353,5.324886923076923,28.57142857142857,0,0.0,0.0,3
14,5.20875,74.43227999999999,5.316591428571428,33.33333333333333,0,0.0,0.0,3
15,-2.86909,71.56318999999999,4.770879333333332,30.0,3,3.0,0.2,3
16,-0.163813,71.39937699999999,4.462461062499999,25.0,2,5.0,0.3125,3
17,5.20875,76.60812699999998,4.506360411764705,22.22222222222222,0,5.0,0.29411764705882354,3
18,4.80439,81.41251699999998,4.52291761111111,58.333333333333336,0,5.0,0.2777777777777778,3
19,5.42352,86.83603699999998,4.570317736842104,14.285714285714285,0,5.0,0.2631578947368421,3
20,5.42352,92.25955699999997,4.612977849999998,42.857142857142854,0,5.0,0.25,3
21,5.42352,97.68307699999997,4.651575095238094,28.57142857142857,0,5.0,0.23809523809523808,3
22,5.20875,102.89182699999996,4.676901227272726,55.55555555555556,0,5.0,0.22727272727272727,11
23,5.31505,108.20687699999996,4.704646826086955,50.0,0,5.0,0.21739130434782608,3
24,5.10458,113.31145699999996,4.721310708333331,50.0,0,5.0,0.20833333333333334,3
25,5.42352,118.73497699999996,4.749399079999998,42.857142857142854,0,5.0,0.2,3
26,5.42352,124.15849699999995,4.775326807692306,14.285714285714285,0,5.0,0.19230769230769232,3
27,5.31505,129.47354699999997,4.795316555555554,37.5,0,5.0,0.18518518518518517,3
28,5.31505,134.78859699999998,4.813878464285714,37.5,0,5.0,0.17857142857142858,3
29,5.31505,140.103647,4.83116024137931,50.0,0,5.0,0.1724137931034483,3
30,5.42352,145.527167,4.8509055666666665,42.857142857142854,0,5.0,0.16666666666666666,3
31,5.31505,150.842217,4.865877967741936,12.5,0,5.0,0.16129032258064516,3
32,5.42352,156.265737,4.88330428125,14.285714285714285,0,5.0,0.15625,11
33,-0.275626,155.990111,4.726973060606061,25.0,2,7.0,0.21212121212121213,3
34,-0.167156,155.822955,4.583028088235294,14.285714285714285,2,9.0,0.2647058823529412,3
35,5.42352,161.246475,4.607042142857143,28.57142857142857,0,9.0,0.2571428571428571,3
36,5.20875,166.455225,4.6237562500000005,44.44444444444444,0,9.0,0.25,3
37,2.55123,169.00645500000002,4.567742027027028,44.44444444444444,1,10.0,0.2702702702702703,3
38,5.31505,174.32150500000003,4.58740802631579,50.0,0,10.0,0.2631578947368421,11
39,5.31505,179.63655500000004,4.606065512820514,25.0,0,10.0,0.2564102564102564,3
40,5.42352,185.06007500000004,4.626501875000001,14.285714285714285,0,10.0,0.25,3
41,5.31505,190.37512500000005,4.643295731707318,37.5,0,10.0,0.24390243902439024,3
42,5.42352,195.79864500000005,4.661872500000001,28.57142857142857,0,10.0,0.23809523809523808,3
43,-0.167156,195.63148900000004,4.549569511627908,14.285714285714285,2,12.0,0.27906976744186046,3
44,5.31505,200.94653900000006,4.5669667954545465,37.5,0,12.0,0.2727272727272727,11
45,5.31505,206.26158900000007,4.583590866666668,25.0,0,12.0,0.26666666666666666,3
46,2.55123,208.81281900000008,4.539409108695653,44.44444444444444,1,13.0,0.2826086956521739,3
47,5.53421,214.34702900000008,4.560575085106384,33.33333333333333,0,13.0,0.2765957446808511,3
