task_id,expertise,mood,trust,TaskHuman,GlobalSuccess,GlobalFail,FailedToGrasp,NoAttention,Evaluating,Tired,Recovery,WarningTheRobot,RobotIsWarned,TaskRobot
1,beginner,stubborn,YES,1,1,0,0,0,14,0,0,0,0,0
2,beginner,stubborn,YES,1,1,0,0,0,11,0,0,0,0,0
3,beginner,stubborn,YES,1,9,0,0,0,11,0,0,0,0,0
4,beginner,stubborn,YES,1,1,0,0,0,44,0,0,0,0,0
5,beginner,thinker,YES,1,0,1,0,0,51,0,0,0,0,0
6,beginner,stubborn,YES,1,1,0,0,0,19,0,0,0,0,0
7,beginner,stubborn,YES,1,1,0,0,0,12,0,0,0,0,0
8,beginner,stubborn,YES,1,1,0,0,0,14,0,0,0,0,0
9,beginner,stubborn,YES,1,1,0,0,0,14,0,0,0,0,0
10,beginner,stubborn,YES,1,1,0,0,0,33,0,0,0,0,0
11,beginner,stubborn,YES,1,0,1,11,0,21,0,0,0,0,0
12,beginner,stubborn,YES,1,1,0,0,0,15,0,0,0,0,0
13,beginner,tired,YES,1,1,0,0,0,13,0,0,0,0,0
14,beginner,stubborn,YES,1,1,0,0,0,12,0,0,0,0,0
15,beginner,thinker,YES,1,0,1,5,0,28,0,0,0,0,0
16,beginner,stubborn,YES,1,1,0,0,0,19,0,0,0,0,0
17,beginner,stubborn,YES,1,0,1,6,0,30,0,0,0,0,0
18,beginner,stubborn,YES,1,1,0,0,0,14,0,0,0,0,0
19,beginner,tired,YES,1,0,1,11,0,26,0,0,0,0,0
20,beginner,thinker,YES,1,1,0,0,0,32,0,0,0,0,0
21,beginner,thinker,YES,1,0,1,7,0,29,0,0,0,0,0
22,beginner,stubborn,YES,1,1,0,0,0,27,0,0,0,0,0
23,beginner,tired,YES,1,0,1,6,0,32,0,0,0,0,0
24,beginner,stubborn,YES,1,1,0,14,0,23,0,0,0,0,0
25,beginner,tired,YES,1,0,1,15,0,24,0,0,0,0,0
26,beginner,tired,YES,1,0,1,8,0,28,0,0,0,0,0
27,beginner,thinker,YES,1,0,1,7,0,30,0,0,0,0,0
28,beginner,tired,YES,1,0,1,8,0,32,0,0,0,0,0
29,beginner,stubborn,YES,1,1,0,0,0,18,0,0,0,0,0
30,beginner,stubborn,YES,1,1,0,13,0,18,0,0,0,0,0
31,beginner,thinker,YES,1,1,0,0,0,18,0,0,0,0,0
32,beginner,tired,YES,1,1,0,0,0,20,0,0,0,0,0
33,beginner,thinker,YES,1,0,1,0,0,37,0,0,0,0,0
34,beginner,tired,YES,1,0,1,0,0,37,0,0,0,0,0
35,beginner,distracted,YES,1,0,1,0,0,11,26,0,0,0,0
36,beginner,thinker,YES,1,0,1,0,0,0,32,7,0,0,0
37,beginner,tired,YES,1,0,0,0,0,8,0,0,0,0,0
38,beginner,tired,YES,1,0,1,0,0,0,33,8,0,0,0
39,beginner,tired,YES,1,0,1,5,0,18,12,0,0,0,0
40,beginner,tired,YES,1,0,1,9,0,28,0,0,0,0,0
