rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1507200545248544576,1,0,HUMAN,,1507200545,245858044,beginner,stubborn,YES,,1507200545,109137244,idle,TaskHuman,TaskHuman,True,'','','','','',''
1507200558669225412,1,1,HUMAN,,1507200558,667246960,beginner,stubborn,YES,,1507200551,482887287,grasp,Evaluating,Evaluating,True,'','','','','',''
1507200562700213160,1,2,HUMAN,,1507200562,698706815,beginner,stubborn,YES,,1507200560,497964162,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1507200573140141085,2,0,HUMAN,,1507200573,138891288,beginner,stubborn,YES,,1507200572,955956354,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1507200582463547706,2,1,HUMAN,,1507200582,461935503,beginner,stubborn,YES,,1507200575,401304696,grasp,Evaluating,Evaluating,True,'','','','','',''
1507200587056994363,2,2,HUMAN,,1507200587,55325393,beginner,stubborn,YES,,1507200584,245161427,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1507200594373845014,3,0,HUMAN,,1507200594,372282807,beginner,stubborn,YES,,1507200594,272627174,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1507200604650847516,3,1,HUMAN,,1507200604,649491576,beginner,stubborn,YES,,1507200597,220564027,grasp,Evaluating,Evaluating,True,'','','','','',''
1507200609994558589,3,2,HUMAN,,1507200609,993281213,beginner,stubborn,YES,,1507200606,519733055,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1507200615962321861,3,3,HUMAN,,1507200615,959948457,beginner,stubborn,YES,,1507200614,494599351,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1507200623157341170,4,0,HUMAN,,1507200623,155461260,beginner,stubborn,YES,,1507200622,841418091,grasp,TaskHuman,GlobalSuccess,False,'','','','','',''
1507200628759170612,4,1,HUMAN,,1507200628,757775975,beginner,stubborn,YES,,1507200626,528611007,grasp,Evaluating,Evaluating,True,'','','','','',''
1507200635736917919,4,2,HUMAN,,1507200635,735449615,beginner,stubborn,YES,,1507200633,274511838,idle,Evaluating,Evaluating,True,'','','','','',''
1507200641667624108,4,3,HUMAN,,1507200641,666270608,beginner,stubborn,YES,,1507200638,829730185,idle,Evaluating,Evaluating,True,'','','','','',''
1507200647412101967,4,4,HUMAN,,1507200647,410833573,beginner,stubborn,YES,,1507200644,219891700,idle,Evaluating,Evaluating,True,'','','','','',''
1507200655939155924,4,5,HUMAN,,1507200655,937853120,beginner,stubborn,YES,,1507200648,921671891,grasp,Evaluating,Evaluating,True,'','','','','',''
1507200665534045355,4,6,HUMAN,,1507200665,532205265,beginner,stubborn,YES,,1507200657,735039679,grasp,Evaluating,Evaluating,True,'','','','','',''
1507200670623206889,4,7,HUMAN,,1507200670,621881007,beginner,stubborn,YES,,1507200667,444352989,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1507200680660768651,5,0,HUMAN,,1507200680,659704857,beginner,thinker,YES,,1507200680,443384748,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1507200686102664147,5,1,HUMAN,,1507200686,101053721,beginner,thinker,YES,,1507200683,679765452,idle,Evaluating,Evaluating,True,'','','','','',''
1507200694646157543,5,2,HUMAN,,1507200694,644852484,beginner,thinker,YES,,1507200691,894264040,idle,Evaluating,Evaluating,True,'','','','','',''
