rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1507200544241347357,1,0,MANAGER,,1507200544,237961641,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1507200545248544576,1,0,HUMAN,,1507200545,245858044,beginner,stubborn,YES,,1507200545,109137244,idle,TaskHuman,TaskHuman,True,'','','','','',''
1507200545451989725,1,1,ROBOT,,1507200545,450431680,'','','',,1507200545,450248613,idle,TaskHuman,TaskHuman,True,'','','','','',''
1507200550417642326,1,1,ROBOT,,1507200550,414670402,'','','',,1507200545,450248613,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1507200555890478509,1,1,SENSORS,,1507200555,890330006,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1507200557407422215,1,1,OBSERVATION,,1507200557,404051274,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1507200558669225412,1,1,HUMAN,,1507200558,667246960,beginner,stubborn,YES,,1507200551,482887287,grasp,Evaluating,Evaluating,True,'','','','','',''
1507200559431255020,1,2,ROBOT,,1507200559,430094040,'','','',,1507200558,665377975,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1507200561444589121,1,2,OBSERVATION,,1507200561,443100615,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1507200562700213160,1,2,HUMAN,,1507200562,698706815,beginner,stubborn,YES,,1507200560,497964162,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1507200572082809347,2,0,MANAGER,,1507200572,81972895,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1507200573140141085,2,0,HUMAN,,1507200573,138891288,beginner,stubborn,YES,,1507200572,955956354,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1507200574295460806,2,1,ROBOT,,1507200574,294231809,'','','',,1507200573,281915235,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1507200579888837664,2,1,SENSORS,,1507200579,888724337,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1507200581194565866,2,1,OBSERVATION,,1507200581,193040924,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1507200582463547706,2,1,HUMAN,,1507200582,461935503,beginner,stubborn,YES,,1507200575,401304696,grasp,Evaluating,Evaluating,True,'','','','','',''
1507200583130085112,2,2,ROBOT,,1507200583,128928171,'','','',,1507200582,460802005,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1507200585972225589,2,2,OBSERVATION,,1507200585,970573393,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1507200587056994363,2,2,HUMAN,,1507200587,55325393,beginner,stubborn,YES,,1507200584,245161427,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1507200593400034903,3,0,MANAGER,,1507200593,399273009,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1507200594373845014,3,0,HUMAN,,1507200594,372282807,beginner,stubborn,YES,,1507200594,272627174,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1507200596142776323,3,1,ROBOT,,1507200596,141783169,'','','',,1507200594,587759046,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1507200601889080055,3,1,SENSORS,,1507200601,888978875,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1507200603405782586,3,1,OBSERVATION,,1507200603,404146147,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1507200604650847516,3,1,HUMAN,,1507200604,649491576,beginner,stubborn,YES,,1507200597,220564027,grasp,Evaluating,Evaluating,True,'','','','','',''
1507200605430312334,3,2,ROBOT,,1507200605,428985181,'','','',,1507200604,648585242,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1507200608727782304,3,2,OBSERVATION,,1507200608,726390338,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1507200609994558589,3,2,HUMAN,,1507200609,993281213,beginner,stubborn,YES,,1507200606,519733055,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1507200613437727627,3,3,ROBOT,,1507200613,436498805,'','','',,1507200609,992454031,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,11.6424
1507200615538652980,3,3,OBSERVATION,,1507200615,537255998,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1507200615962321861,3,3,HUMAN,,1507200615,959948457,beginner,stubborn,YES,,1507200614,494599351,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1507200621952943192,4,0,MANAGER,,1507200621,952790176,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1507200623157341170,4,0,HUMAN,,1507200623,155461260,beginner,stubborn,YES,,1507200622,841418091,grasp,TaskHuman,GlobalSuccess,False,'','','','','',''
1507200625455864341,4,1,ROBOT,,1507200625,454687349,'','','',,1507200623,204952041,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1507200627506475578,4,1,OBSERVATION,,1507200627,504579096,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1507200628759170612,4,1,HUMAN,,1507200628,757775975,beginner,stubborn,YES,,1507200626,528611007,grasp,Evaluating,Evaluating,True,'','','','','',''
1507200632199330613,4,2,ROBOT,,1507200632,198153195,'','','',,1507200628,756702324,idle,MayNotBeCapable,TaskHuman,False,'','','','',0,0
1507200634472447873,4,2,OBSERVATION,,1507200634,470972969,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1507200635736917919,4,2,HUMAN,,1507200635,735449615,beginner,stubborn,YES,,1507200633,274511838,idle,Evaluating,Evaluating,True,'','','','','',''
1507200637760260638,4,3,ROBOT,,1507200637,757821432,'','','',,1507200635,734465445,planning for grasping,NoFocus,TaskHuman,False,'','','','',0,0
1507200640389109019,4,3,OBSERVATION,,1507200640,387519953,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1507200641667624108,4,3,HUMAN,,1507200641,666270608,beginner,stubborn,YES,,1507200638,829730185,idle,Evaluating,Evaluating,True,'','','','','',''
1507200643141238048,4,4,ROBOT,,1507200643,139836291,'','','',,1507200641,665192844,planning for grasping,TaskHuman,TaskHuman,True,'','','','',0,0
1507200646111054481,4,4,OBSERVATION,,1507200646,109704325,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1507200647412101967,4,4,HUMAN,,1507200647,410833573,beginner,stubborn,YES,,1507200644,219891700,idle,Evaluating,Evaluating,True,'','','','','',''
1507200647872552382,4,5,ROBOT,,1507200647,871505818,'','','',,1507200647,407735501,idle,NeedsHelp,TaskHuman,False,'','','','',0,0
1507200654643244933,4,5,OBSERVATION,,1507200650,276521687,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1507200655939155924,4,5,HUMAN,,1507200655,937853120,beginner,stubborn,YES,,1507200648,921671891,grasp,Evaluating,Evaluating,True,'','','','','',''
1507200656682327236,4,6,ROBOT,,1507200656,681206300,'','','',,1507200655,934527949,planning for grasping,MayNotBeCapable,TaskHuman,False,'','','','',0,0
1507200662879934669,4,6,SENSORS,,1507200662,879749550,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1507200664277750685,4,6,OBSERVATION,,1507200664,276400384,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1507200665534045355,4,6,HUMAN,,1507200665,532205265,beginner,stubborn,YES,,1507200657,735039679,grasp,Evaluating,Evaluating,True,'','','','','',''
1507200666388707938,4,7,ROBOT,,1507200666,387507898,'','','',,1507200665,530700907,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.31505
1507200669294465928,4,7,OBSERVATION,,1507200669,293076459,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1507200670623206889,4,7,HUMAN,,1507200670,621881007,beginner,stubborn,YES,,1507200667,444352989,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1507200679563899653,5,0,MANAGER,,1507200679,563596498,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1507200680660768651,5,0,HUMAN,,1507200680,659704857,beginner,thinker,YES,,1507200680,443384748,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1507200682599426888,5,1,ROBOT,,1507200682,598324741,'','','',,1507200680,746711449,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1507200684839021963,5,1,OBSERVATION,,1507200684,837503652,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1507200686102664147,5,1,HUMAN,,1507200686,101053721,beginner,thinker,YES,,1507200683,679765452,idle,Evaluating,Evaluating,True,'','','','','',''
1507200690836001394,5,2,ROBOT,,1507200690,834630247,'','','',,1507200686,99148149,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1507200693361147928,5,2,OBSERVATION,,1507200693,359758184,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1507200694646157543,5,2,HUMAN,,1507200694,644852484,beginner,thinker,YES,,1507200691,894264040,idle,Evaluating,Evaluating,True,'','','','','',''
1507200699447538662,5,3,ROBOT,,1507200699,446515734,'','','',,1507200694,643738393,planning for grasping,MayBeTired,TaskHuman,False,'','','','',0,0
1507200701794460635,5,3,OBSERVATION,,1507200701,793065334,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
