task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,task_status,who_succeeded
1,1507200544,237961641,1507200555,890330006,11.652368545532227,SUCCESS,human
2,1507200572,81972895,1507200579,888724337,7.068995475769043,SUCCESS,human
3,1507200593,399273009,1507200601,888978875,8.489706039428711,SUCCESS,human
4,1507200621,952790176,1507200662,879749550,40.92695927619934,SUCCESS,human
5,1507200679,563596498,1507200724,890147415,45.32655096054077,FAIL,''
6,1507200745,191463374,1507200760,877842012,15.686378479003906,SUCCESS,human
7,1507200777,32229231,1507200786,890041076,9.567748785018921,SUCCESS,human
8,1507200802,722245981,1507200812,889661501,10.167415618896484,SUCCESS,human
9,1507200827,480129639,1507200837,890223390,10.410093784332275,SUCCESS,human
10,1507200854,50832214,1507200879,877752358,25.36943006515503,SUCCESS,human
11,1507200897,584734666,1507200930,76416330,33.179428577423096,FAIL,''
12,1507200944,130310403,1507200954,877724310,10.747414112091064,SUCCESS,human
13,1507200968,890601026,1507200977,877697532,8.987096548080444,SUCCESS,human
14,1507200991,949594381,1507201000,890656704,8.941062211990356,SUCCESS,human
15,1507201015,597488530,1507201047,845326851,32.247838258743286,FAIL,''
16,1507202940,910075207,1507202953,728969775,12.818894624710083,SUCCESS,human
17,1507203179,852113875,1507203212,294584467,32.44247055053711,FAIL,''
18,1507203228,227617044,1507203239,729878776,11.502261638641357,SUCCESS,human
19,1507203255,905421189,1507203288,129307592,32.223886251449585,FAIL,''
20,1507203303,534290699,1507203329,729092846,26.194802045822144,SUCCESS,human
21,1507203502,590148199,1507203534,929382126,32.33923387527466,FAIL,''
22,1507203558,111437646,1507203579,846778335,21.73534083366394,SUCCESS,human
23,1507203596,108655902,1507203628,846307223,32.737651348114014,FAIL,''
24,1507203654,93325269,1507203686,396522621,31.46326994895935,FAIL,''
25,1507203706,776668625,1507203739,130576432,32.35390782356262,FAIL,''
26,1507203765,263348113,1507203797,579620612,32.316272497177124,FAIL,''
27,1507203817,815020976,1507203850,30026027,32.48523926734924,FAIL,''
28,1507203870,684512795,1507203903,29774878,32.61323595046997,FAIL,''
29,1507203931,27220057,1507203943,848424190,12.576223611831665,SUCCESS,human
30,1507203961,411323222,1507203986,847669826,25.436346530914307,SUCCESS,human
31,1507204012,94240575,1507204022,849649793,9.907244205474854,SUCCESS,human
32,1507204049,486283439,1507204061,847987045,12.361703395843506,SUCCESS,human
33,1507204086,418242467,1507204118,730221058,32.311978578567505,FAIL,''
34,1507204140,520329107,1507204172,963827181,32.44349813461304,FAIL,''
35,1507204190,634753322,1507204223,47408916,32.839335918426514,FAIL,''
36,1507204242,765199561,1507204275,133511538,32.36831188201904,FAIL,''
37,1507204305,150318349,1507204318,849298866,13.698980569839478,SUCCESS,human
38,1507204334,914683764,1507204367,431309630,32.51662588119507,FAIL,''
39,1507204400,678898503,1507204433,14553064,32.46663212776184,FAIL,''
40,1507204461,744014678,1507204493,982453190,32.23843836784363,FAIL,''
task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,task_status,who_succeeded
1,1507200544,237961641,1507200555,890330006,11.652368545532227,SUCCESS,human
2,1507200572,81972895,1507200579,888724337,7.068995475769043,SUCCESS,human
3,1507200593,399273009,1507200601,888978875,8.489706039428711,SUCCESS,human
4,1507200621,952790176,1507200662,879749550,40.92695927619934,SUCCESS,human
5,1507200679,563596498,1507200724,890147415,45.32655096054077,FAIL,''
