rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.5072076949107E+018,28,0,MANAGER,,1507207694,910530551,beginner,tired,NO,,0,0,'','','',False,'','',START,'','',''
1.50720769613809E+018,28,0,ROBOT,,1507207696,135948799,'','','',,1507207696,135878727,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50720769830115E+018,28,0,OBSERVATION,,1507207698,299779017,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50720769955669E+018,28,0,HUMAN,,1507207699,555228396,beginner,tired,NO,,1507207695,804704654,looking around,TaskHuman,TaskHuman,True,'','','','','',''
1.50720770108616E+018,28,1,ROBOT,,1507207701,85089340,'','','',,1507207699,548900404,planning for grasping,NoFocus,MayBeTired,False,'','','','',0,0
1.50720770406836E+018,28,1,OBSERVATION,,1507207704,66592563,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50720770533247E+018,28,1,HUMAN,,1507207705,330757825,beginner,tired,NO,,1507207702,152631356,looking around,Evaluating,Evaluating,True,'','','','','',''
1.50720770620213E+018,28,2,ROBOT,,1507207706,200726264,'','','',,1507207705,329917405,point to remind,NeedsToBeReminded,MayBeTired,False,'','','','',0,0
1.50720770930194E+018,28,2,OBSERVATION,,1507207709,299855676,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50720771060111E+018,28,2,HUMAN,,1507207710,599732500,beginner,tired,NO,,1507207707,265631715,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50720771400881E+018,28,3,ROBOT,,1507207714,7552566,'','','',,1507207710,598583344,planning for grasping,NoFocus,MayNotBeCapable,False,'','','','',0,0
1.50720771660156E+018,28,3,OBSERVATION,,1507207716,599835511,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50720771789824E+018,28,3,HUMAN,,1507207717,896767273,beginner,tired,NO,,1507207715,71775243,idle,FailedToGrasp,FailedToGrasp,True,'','','','','',''
1.50720771856264E+018,28,4,ROBOT,,1507207718,561178367,'','','',,1507207717,895341040,planning for grasping,NeedsHelp,MayBeTired,False,'','','','',0,0
1.50720772061787E+018,28,4,OBSERVATION,,1507207720,616509094,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50720772183063E+018,28,4,HUMAN,,1507207721,829152236,beginner,tired,NO,,1507207719,636180578,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50720772755047E+018,28,5,SENSORS,,1507207727,550274683,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50720772965547E+018,28,5,ROBOT,,1507207729,654267800,'','','',,1507207721,828268119,planning for grasping,NoNeedHelp,GlobalFail,False,'','','','',-3,-2.71176
1.50720773205117E+018,28,5,OBSERVATION,,1507207732,49831458,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),FAIL,'','',''
1.50720773310952E+018,28,5,HUMAN,,1507207733,108098503,beginner,tired,NO,,1507207730,712235294,idle,GlobalFail,GlobalFail,True,'','','','','',''
1.50720774011803E+018,29,0,MANAGER,,1507207740,117773317,beginner,distracted,NO,,0,0,'','','',False,'','',START,'','',''
1.50720774121924E+018,29,0,HUMAN,,1507207741,218017225,beginner,distracted,NO,,1507207741,15645700,idle,TaskHuman,GlobalFail,False,'','','','','',''
1.50720774291554E+018,29,1,ROBOT,,1507207742,913691280,'','','',,1507207741,300274780,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50720774855072E+018,29,1,SENSORS,,1507207748,550604552,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50720774976823E+018,29,1,OBSERVATION,,1507207749,766765861,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.5072077510378E+018,29,1,HUMAN,,1507207751,35866005,beginner,distracted,NO,,1507207743,990018723,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50720776297341E+018,30,0,MANAGER,,1507207762,973265622,beginner,tired,NO,,0,0,'','','',False,'','',START,'','',''
1.50720776621809E+018,30,0,OBSERVATION,,1507207766,216478695,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50720776749559E+018,30,0,HUMAN,,1507207767,494278385,beginner,tired,NO,,1507207763,835274316,looking around,TaskHuman,Evaluating,False,'','','','','',''
1.50720777406788E+018,30,1,ROBOT,,1507207774,66467803,'','','',,1507207767,490892704,planning for grasping,NoFocus,MayBeTired,False,'','','','',0,0
1.50720777585121E+018,30,1,OBSERVATION,,1507207775,849802101,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50720777710165E+018,30,1,HUMAN,,1507207777,100068111,beginner,tired,NO,,1507207775,136989189,looking around,Evaluating,Evaluating,True,'','','','','',''
1.5072077779719E+018,30,2,ROBOT,,1507207777,970582671,'','','',,1507207777,98983682,idle,TaskHuman,MayBeTired,False,'','','','',0,0
1.50720778455069E+018,30,2,SENSORS,,1507207784,550579769,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50720778696802E+018,30,2,OBSERVATION,,1507207786,966497553,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50720778823532E+018,30,2,HUMAN,,1507207788,234093379,beginner,tired,NO,,1507207779,45999776,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50720778897662E+018,30,3,ROBOT,,1507207788,975263823,'','','',,1507207788,230913784,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.64715
1.50720779535043E+018,30,3,OBSERVATION,,1507207791,400121648,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50720784444495E+018,31,0,MANAGER,,1507207844,444800759,beginner,distracted,NO,,0,0,'','','',False,'','',START,'','',''
1.50720784808462E+018,31,0,OBSERVATION,,1507207848,83169598,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50720784934668E+018,31,0,HUMAN,,1507207849,345339254,beginner,distracted,NO,,1507207845,306906711,looking around,TaskHuman,Evaluating,False,'','','','','',''
1.50720784935954E+018,31,1,ROBOT,,1507207849,358116684,'','','',,1507207849,343999070,planning for grasping,NoFocus,NoFocus,True,'','','','',0,0
1.50720785153457E+018,31,1,OBSERVATION,,1507207851,533190354,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50720785282509E+018,31,1,HUMAN,,1507207852,823705739,beginner,distracted,NO,,1507207850,430186635,looking around,NoAttention,NoAttention,True,'','','','','',''
1.50720785364997E+018,31,2,ROBOT,,1507207853,648628522,'','','',,1507207852,822242734,planning for grasping,NeedsToBeReminded,TaskHuman,False,'','','','',0,0
1.50720785663478E+018,31,2,OBSERVATION,,1507207856,633364666,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50720785792658E+018,31,2,HUMAN,,1507207857,925145573,beginner,distracted,NO,,1507207854,721066980,looking around,Evaluating,Evaluating,True,'','','','','',''
1.50720785793111E+018,31,3,ROBOT,,1507207857,929888985,'','','',,1507207857,922258268,planning for grasping,NeedsToBeReminded,TaskHuman,False,'','','','',0,0
1.50720786031819E+018,31,3,OBSERVATION,,1507207860,316758905,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.5072078616386E+018,31,3,HUMAN,,1507207861,636428121,beginner,distracted,NO,,1507207858,993404719,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50720786757055E+018,31,4,ROBOT,,1507207867,569178646,'','','',,1507207861,635267991,point to remind,NeedsToBeReminded,MayNotBeCapable,False,'','','','',0,0
