rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.5072076949107E+018,28,0,MANAGER,,1507207694,910530551,beginner,tired,NO,,0,0,'','','',False,'','',START,'','',''
1.50720772755047E+018,28,5,SENSORS,,1507207727,550274683,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50720774011803E+018,29,0,MANAGER,,1507207740,117773317,beginner,distracted,NO,,0,0,'','','',False,'','',START,'','',''
1.50720774855072E+018,29,1,SENSORS,,1507207748,550604552,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50720776297341E+018,30,0,MANAGER,,1507207762,973265622,beginner,tired,NO,,0,0,'','','',False,'','',START,'','',''
1.50720778455069E+018,30,2,SENSORS,,1507207784,550579769,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50720784444495E+018,31,0,MANAGER,,1507207844,444800759,beginner,distracted,NO,,0,0,'','','',False,'','',START,'','',''
1.50720787674994E+018,31,5,SENSORS,,1507207876,749841922,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50720790434271E+018,32,0,MANAGER,,1507207904,341251583,beginner,thinker,NO,,0,0,'','','',False,'','',START,'','',''
1.50720793663338E+018,32,5,SENSORS,,1507207936,633235375,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50720794717575E+018,33,0,MANAGER,,1507207947,175597065,beginner,distracted,NO,,0,0,'','','',False,'','',START,'','',''
1.50720797940032E+018,33,5,SENSORS,,1507207979,400246302,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50720801286661E+018,33,6,SENSORS,,1507208012,866463892,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50720803176857E+018,34,0,MANAGER,,1507208031,767624144,beginner,thinker,NO,,0,0,'','','',False,'','',START,'','',''
1.50720805955105E+018,34,5,SENSORS,,1507208059,550887788,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50720807500771E+018,35,0,MANAGER,,1507208075,7506492,beginner,thinker,NO,,0,0,'','','',False,'','',START,'','',''
1.50720810753345E+018,35,4,SENSORS,,1507208107,533361106,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50720812640928E+018,36,0,MANAGER,,1507208126,409095784,beginner,distracted,NO,,0,0,'','','',False,'','',START,'','',''
1.50720815870124E+018,36,5,SENSORS,,1507208158,701101233,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50720817224132E+018,37,0,MANAGER,,1507208172,241176962,beginner,thinker,NO,,0,0,'','','',False,'','',START,'','',''
1.50720820468452E+018,37,6,SENSORS,,1507208204,684303370,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.5072082163647E+018,38,0,MANAGER,,1507208216,364554555,beginner,thinker,NO,,0,0,'','','',False,'','',START,'','',''
1.50720824870018E+018,38,5,SENSORS,,1507208248,700035473,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50720827076086E+018,39,0,MANAGER,,1507208270,760629975,beginner,thinker,NO,,0,0,'','','',False,'','',START,'','',''
1.50720830323446E+018,39,5,SENSORS,,1507208303,234330880,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50720831655205E+018,39,7,SENSORS,,1507208316,551945540,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50720833607792E+018,40,0,MANAGER,,1507208336,77601342,beginner,thinker,NO,,0,0,'','','',False,'','',START,'','',''
1.50720834855271E+018,40,2,SENSORS,,1507208348,552556979,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
