task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,task_status,who_succeeded
28,1507207694,910530551,1507207727,550274683,32.63974404335022,FAIL,''
29,1507207740,117773317,1507207748,550604552,8.432831287384033,SUCCESS,human
30,1507207762,973265622,1507207784,550579769,21.577314138412476,SUCCESS,human
31,1507207844,444800759,1507207876,749841922,32.30504107475281,FAIL,''
32,1507207904,341251583,1507207936,633235375,32.29198384284973,FAIL,''
33,1507207947,175597065,1507207979,400246302,32.22464942932129,FAIL,''
34,1507208031,767624144,1507208059,550887788,27.783263683319092,SUCCESS,human
35,1507208075,7506492,1507208107,533361106,31.78271198272705,FAIL,''
36,1507208126,409095784,1507208158,701101233,32.29200553894043,FAIL,''
37,1507208172,241176962,1507208204,684303370,32.44312644004822,FAIL,''
38,1507208216,364554555,1507208248,700035473,32.33548092842102,FAIL,''
39,1507208270,760629975,1507208303,234330880,32.47370100021362,FAIL,''
40,1507208336,77601342,1507208348,552556979,11.776543617248535,SUCCESS,human
