rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.507205429586E+018,1,0,MANAGER,,1507205429,585819344,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50720543942545E+018,1,1,SENSORS,,1507205439,425345872,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50720553844156E+018,2,0,MANAGER,,1507205538,441271269,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50720555141076E+018,2,2,SENSORS,,1507205551,410617953,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50720557770588E+018,3,0,MANAGER,,1507205577,705659249,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50720561004341E+018,3,6,SENSORS,,1507205610,43234963,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50720562267861E+018,4,0,MANAGER,,1507205622,678316610,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50720563341084E+018,4,1,SENSORS,,1507205633,410639780,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50720564866955E+018,5,0,MANAGER,,1507205648,669396285,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50720565841087E+018,5,1,SENSORS,,1507205658,410688458,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50720567328083E+018,6,0,MANAGER,,1507205673,280687452,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50720569341089E+018,6,3,SENSORS,,1507205693,410733961,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50720570995248E+018,7,0,MANAGER,,1507205709,952102100,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50720571841098E+018,7,1,SENSORS,,1507205718,410800405,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50720573039299E+018,8,0,MANAGER,,1507205730,392794453,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50720575141106E+018,8,3,SENSORS,,1507205751,410955073,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50720576713692E+018,9,0,MANAGER,,1507205767,136752280,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50720577841081E+018,9,1,SENSORS,,1507205778,410694933,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50720579150013E+018,10,0,MANAGER,,1507205791,499933502,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.50720584041046E+018,10,7,SENSORS,,1507205840,410296357,'','','',,0,0,'','','',False,'','',FAIL,'','',''
1.50720585130377E+018,11,0,MANAGER,,1507205851,303582509,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.5072058838099E+018,11,4,SENSORS,,1507205883,809769109,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50720590046677E+018,12,0,MANAGER,,1507205900,466537771,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
