task_id,expertise,mood,trust,TaskHuman,GlobalSuccess,GlobalFail,FailedToGrasp,NoAttention,Evaluating,Tired,Recovery,WarningTheRobot,RobotIsWarned,TaskRobot
1,beginner,stubborn,YES,1,1,0,0,0,11,0,0,0,0,0
2,beginner,stubborn,YES,1,1,0,0,0,11,0,0,0,0,0
3,beginner,stubborn,YES,1,1,0,7,0,18,0,0,0,0,0
4,beginner,stubborn,YES,1,1,0,0,0,16,0,0,0,0,0
5,beginner,stubborn,YES,1,1,0,7,0,14,0,0,0,0,0
6,beginner,stubborn,YES,1,1,0,0,0,11,0,0,0,0,0
7,beginner,thinker,YES,1,1,0,0,0,17,0,0,0,0,0
8,beginner,stubborn,YES,1,0,0,0,0,3,0,0,0,0,0
9,beginner,stubborn,YES,1,1,0,7,0,20,0,0,0,0,0
10,beginner,stubborn,YES,1,1,0,0,0,11,0,0,0,0,0
11,beginner,stubborn,YES,1,1,0,0,0,10,0,0,0,0,0
12,beginner,stubborn,YES,1,1,0,0,0,10,0,0,0,0,0
13,beginner,thinker,YES,1,1,0,0,0,31,0,0,0,0,0
14,beginner,thinker,YES,1,1,0,0,0,10,0,0,0,0,0
15,beginner,tired,YES,1,0,1,6,0,31,0,0,0,0,0
16,beginner,stubborn,YES,1,1,0,0,0,13,0,0,0,0,0
17,beginner,stubborn,YES,1,1,0,0,0,17,0,0,0,0,0
18,beginner,stubborn,YES,1,1,0,11,0,21,0,0,0,0,0
19,beginner,stubborn,YES,1,1,0,0,0,11,0,0,0,0,0
20,beginner,stubborn,YES,1,0,0,0,0,3,0,0,0,0,0
21,beginner,tired,YES,1,1,0,6,0,18,0,0,0,0,0
22,beginner,thinker,YES,1,1,0,13,0,22,0,0,0,0,0
23,beginner,thinker,YES,1,1,0,0,0,22,0,0,0,0,0
24,beginner,stubborn,YES,1,1,0,8,0,10,0,0,0,0,0
25,beginner,tired,YES,1,1,0,0,0,34,0,0,0,0,0
26,beginner,stubborn,YES,1,1,0,0,0,10,0,0,0,0,0
27,beginner,stubborn,YES,1,1,0,0,0,10,0,0,0,0,0
28,beginner,tired,YES,1,1,0,0,0,10,7,15,0,0,0
29,beginner,stubborn,YES,1,1,0,0,0,17,0,0,0,0,0
30,beginner,thinker,YES,1,1,0,0,0,15,0,0,0,0,0
31,beginner,tired,YES,1,0,1,9,17,8,0,0,0,0,0
32,beginner,thinker,YES,1,0,1,0,0,34,0,0,6,0,0
33,beginner,tired,YES,1,1,0,0,0,32,0,0,0,0,0
34,beginner,tired,YES,1,1,0,0,0,11,0,0,0,0,0
35,beginner,thinker,YES,1,1,0,6,0,26,0,0,0,0,0
36,beginner,distracted,YES,1,1,0,5,0,27,0,0,0,0,0
37,beginner,tired,YES,1,0,1,12,0,22,0,0,0,0,0
38,beginner,tired,YES,1,1,0,0,0,9,7,16,0,0,0
39,beginner,tired,YES,1,0,1,6,0,29,0,0,0,0,0
40,beginner,thinker,YES,1,1,0,5,0,27,0,0,0,0,0
