rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50694966591624E+018,1,0,HUMAN,,1506949665,914907222,beginner,stubborn,YES,,1506949665,659807053,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50694966591624E+018,1,0,HUMAN,,1506949665,914907222,beginner,stubborn,YES,,1506949666,659807053,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50694966591624E+018,1,0,HUMAN,,1506949665,914907222,beginner,stubborn,YES,,1506949667,659807053,idle,Evaluating,TaskHuman,True,'','','','','',''
1.50694966591624E+018,1,0,HUMAN,,1506949665,914907222,beginner,stubborn,YES,,1506949668,659807053,idle,Evaluating,TaskHuman,True,'','','','','',''
1.5069496718419E+018,1,1,HUMAN,,1506949671,840682387,beginner,stubborn,YES,,1506949669,187175099,idle,Evaluating,Evaluating,True,'','','','','',''
1.5069496718419E+018,1,1,HUMAN,,1506949671,840682387,beginner,stubborn,YES,,1506949670,187175099,idle,Evaluating,Evaluating,True,'','','','','',''
1.5069496718419E+018,1,1,HUMAN,,1506949671,840682387,beginner,stubborn,YES,,1506949671,187175099,idle,Evaluating,Evaluating,True,'','','','','',''
1.5069496718419E+018,1,1,HUMAN,,1506949671,840682387,beginner,stubborn,YES,,1506949672,187175099,idle,Evaluating,Evaluating,True,'','','','','',''
1.5069496718419E+018,1,1,HUMAN,,1506949671,840682387,beginner,stubborn,YES,,1506949673,187175099,idle,Evaluating,Evaluating,True,'','','','','',''
1.50694968202359E+018,1,2,HUMAN,,1506949682,22067131,beginner,stubborn,YES,,1506949674,466692728,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50694968202359E+018,1,2,HUMAN,,1506949682,22067131,beginner,stubborn,YES,,1506949675,466692728,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50694968202359E+018,1,2,HUMAN,,1506949682,22067131,beginner,stubborn,YES,,1506949676,466692728,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50694968202359E+018,1,2,HUMAN,,1506949682,22067131,beginner,stubborn,YES,,1506949677,466692728,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50694968202359E+018,1,2,HUMAN,,1506949682,22067131,beginner,stubborn,YES,,1506949678,466692728,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50694968202359E+018,1,2,HUMAN,,1506949682,22067131,beginner,stubborn,YES,,1506949679,466692728,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50694968202359E+018,1,2,HUMAN,,1506949682,22067131,beginner,stubborn,YES,,1506949680,466692728,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50694968202359E+018,1,2,HUMAN,,1506949682,22067131,beginner,stubborn,YES,,1506949681,466692728,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50694968202359E+018,1,2,HUMAN,,1506949682,22067131,beginner,stubborn,YES,,1506949682,466692728,grasp,Evaluating,Evaluating,True,'','','','','',''
