task_id,task_init_secs,task_init_nsecs,acted_secs,acted_nsecs,taken_action,belief_state,real_state,human_state,human_mood,human_trust,isEstimationCorrect,immediate_reward,total_disc_reward,warning_received,needs_help_est
1,1506949664,775748450,1506949665,951024980,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
1,1506949664,775748450,1506949671,839702147,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
1,1506949664,775748450,1506949682,20925693,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,
2,1506949695,766888693,1506949696,936084107,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,
2,1506949695,766888693,1506949707,468280928,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.88,0,
3,1506949719,840515036,1506949721,7036685,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,
3,1506949719,840515036,1506949731,417637135,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.88,0,
4,1506949743,122656182,1506949744,316291555,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
4,1506949743,122656182,1506949754,191419861,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,
5,1506949766,527717157,1506949767,715803189,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,
5,1506949766,527717157,1506949773,2955767,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,
5,1506949766,527717157,1506949783,33478035,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.88,0,
6,1506949796,598976041,1506949797,749778777,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,
6,1506949796,598976041,1506949803,5785044,idle,MayBeTired,TaskHuman,Evaluating,thinker,YES,False,0,0,0,
6,1506949796,598976041,1506949806,676146296,planning for grasping,MayBeTired,MayBeTired,Evaluating,thinker,YES,True,0,0,0,
6,1506949796,598976041,1506949814,475923837,planning for grasping,NeedsHelp,NeedsHelp,Evaluating,thinker,YES,True,0,0,0,1
6,1506949796,598976041,1506949819,290535789,grasp,NeedsHelp,GlobalSuccess,TaskHuman,thinker,YES,True,6,5.88,0,
7,1506950067,161189186,1506950075,393181822,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.88,0,
8,1506950088,670031970,1506950089,892296503,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,
8,1506950088,670031970,1506950101,104161769,idle,GlobalSuccess,GlobalSuccess,,,,True,6,5.88,0,
9,1506950114,360227489,1506950115,569434576,idle,TaskHuman,TaskHuman,,,,True,0,0,0,
