rosbagTimestamp,task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,immediate_reward,total_disc_reward
1.50694966595257E+018,1,1,ROBOT,,1506949665,951110599,,1506949665,951024980,idle,TaskHuman,TaskHuman,True,'',''
1.50694966807904E+018,1,1,ROBOT,,1506949668,77797951,,1506949665,951024980,idle,TaskHuman,TaskHuman,True,0,0
1.50694967340471E+018,1,2,ROBOT,,1506949673,403438341,,1506949671,839702147,idle,TaskHuman,TaskHuman,True,0,0
1.50694968263845E+018,1,3,ROBOT,,1506949682,636963559,,1506949682,20925693,idle,GlobalSuccess,GlobalSuccess,True,6,4.86
1.50694969873454E+018,2,1,ROBOT,,1506949698,733412401,,1506949696,936084107,idle,TaskHuman,TaskHuman,True,0,0
1.50694970841503E+018,2,2,ROBOT,,1506949708,413803741,,1506949707,468280928,idle,GlobalSuccess,GlobalSuccess,True,6,5.4
1.50694972256753E+018,3,1,ROBOT,,1506949722,566424196,,1506949721,7036685,idle,TaskHuman,TaskHuman,True,0,0
1.50694973203873E+018,3,2,ROBOT,,1506949732,37540104,,1506949731,417637135,idle,GlobalSuccess,GlobalSuccess,True,6,5.4
1.50694974595879E+018,4,1,ROBOT,,1506949745,957706738,,1506949744,316291555,idle,TaskHuman,TaskHuman,True,0,0
1.50694975549441E+018,4,2,ROBOT,,1506949755,493052498,,1506949754,191419861,idle,GlobalSuccess,GlobalSuccess,True,6,5.4
1.50694976986302E+018,5,1,ROBOT,,1506949769,861808524,,1506949767,715803189,idle,TaskHuman,TaskHuman,True,0,0
1.50694977429054E+018,5,2,ROBOT,,1506949774,289311978,,1506949773,2955767,idle,TaskHuman,TaskHuman,True,0,0
1.50694978405288E+018,5,3,ROBOT,,1506949784,51489759,,1506949783,33478035,idle,GlobalSuccess,GlobalSuccess,True,6,4.86
1.50694979919079E+018,6,1,ROBOT,,1506949799,189665610,,1506949797,749778777,idle,TaskHuman,TaskHuman,True,0,0
1.50694980353026E+018,6,2,ROBOT,,1506949803,528814621,,1506949803,5785044,idle,MayBeTired,TaskHuman,False,0,0
1.50694981088826E+018,6,3,ROBOT,,1506949810,887052037,,1506949806,676146296,planning for grasping,MayBeTired,TaskHuman,False,-1,-0.81
1.50694981560524E+018,6,4,ROBOT,,1506949815,603973566,,1506949814,475923837,planning for grasping,NeedsHelp,TaskHuman,False,-1,-1.539
1.50694982980299E+018,6,5,ROBOT,,1506949829,801685927,,1506949819,290535789,grasp,NeedsHelp,GlobalSuccess,False,6,2.3976
1.50695007693475E+018,7,1,ROBOT,,1506950076,933802170,,1506950075,393181822,idle,GlobalSuccess,GlobalSuccess,True,6,5.4
1.50695009185065E+018,8,1,ROBOT,,1506950091,845966638,,1506950089,892296503,idle,TaskHuman,TaskHuman,True,0,0
1.50695010226221E+018,8,2,ROBOT,,1506950102,261096827,,1506950101,104161769,idle,GlobalSuccess,GlobalSuccess,True,6,5.4
1.50695011790285E+018,9,1,ROBOT,,1506950117,901750313,,1506950115,569434576,idle,TaskHuman,TaskHuman,True,0,0
1.50695012789454E+018,9,2,ROBOT,,1506950127,893403041,,1506950126,437053881,idle,GlobalSuccess,GlobalSuccess,True,6,5.4
1.50695014349502E+018,10,1,ROBOT,,1506950143,493843321,,1506950141,222536711,idle,TaskHuman,TaskHuman,True,0,0
1.50695015249811E+018,10,2,ROBOT,,1506950152,496677018,,1506950151,679616891,idle,GlobalSuccess,GlobalSuccess,True,6,5.4
1.50695016615146E+018,11,1,ROBOT,,1506950166,150306283,,1506950164,876293054,idle,TaskHuman,TaskHuman,True,0,0
1.50695017545479E+018,11,2,ROBOT,,1506950175,453290522,,1506950174,225181846,idle,GlobalSuccess,GlobalSuccess,True,6,5.4
1.50695019012702E+018,12,1,ROBOT,,1506950190,125859584,,1506950188,346548425,idle,TaskHuman,TaskHuman,True,0,0
1.50695019476671E+018,12,2,ROBOT,,1506950194,765423032,,1506950193,257235129,idle,TaskHuman,TaskHuman,True,0,0
1.50695020231895E+018,12,3,ROBOT,,1506950202,317950310,,1506950198,525914245,planning for grasping,MayBeTired,TaskHuman,False,-1,-0.81
1.50695020968366E+018,12,4,ROBOT,,1506950209,682384325,,1506950206,144485789,grasp,NeedsHelp,NoNeedHelp,False,0,-0.81
1.5069502195641E+018,12,5,ROBOT,,1506950215,650140755,,1506950212,856582712,cancel all actions,WarningReceived,TaskHuman,False,-1,-1.4661
1.50695023715103E+018,12,6,ROBOT,,1506950237,149454785,,1506950223,219591187,cancel all actions,GlobalFail,GlobalFail,True,-3,-3.23757
1.50695083934295E+018,13,1,ROBOT,,1506950839,341933347,,1506950835,815864467,idle,TaskHuman,TaskHuman,True,0,0
1.50695085085087E+018,13,2,ROBOT,,1506950850,849513609,,1506950842,620447982,idle,TaskHuman,TaskHuman,True,0,0
1.5069508587081E+018,13,3,ROBOT,,1506950858,706914086,,1506950854,991373819,planning for grasping,MayBeTired,TaskHuman,False,-1,-0.81
1.50695087288681E+018,13,4,ROBOT,,1506950872,885803840,,1506950862,495647140,grasp,NeedsHelp,GlobalFail,False,-3,-2.997
1.50695090483895E+018,14,1,ROBOT,,1506950904,837777250,,1506950901,116398918,idle,TaskHuman,TaskHuman,True,0,0
1.50695091227392E+018,14,2,ROBOT,,1506950912,272716442,,1506950908,154532849,idle,TaskHuman,TaskHuman,True,0,0
1.50695092117741E+018,14,3,ROBOT,,1506950921,176148929,,1506950920,397792745,idle,GlobalSuccess,GlobalSuccess,True,6,4.86
