rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50694966477613E+018,1,0,MANAGER,,1506949664,775748450,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50694967899774E+018,1,2,SENSORS,,1506949678,997611390,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50694969576746E+018,2,0,MANAGER,,1506949695,766888693,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50694970449791E+018,2,1,SENSORS,,1506949704,497741324,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50694971984069E+018,3,0,MANAGER,,1506949719,840515036,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50694972849952E+018,3,1,SENSORS,,1506949728,499330161,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.5069497431229E+018,4,0,MANAGER,,1506949743,122656182,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50694975199796E+018,4,1,SENSORS,,1506949751,997764151,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50694976652794E+018,5,0,MANAGER,,1506949766,527717157,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50694977999789E+018,5,2,SENSORS,,1506949779,997768546,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50694979659926E+018,6,0,MANAGER,,1506949796,598976041,beginner,thinker,YES,,0,0,'','','',False,'','',START,'','',''
1.5069498290465E+018,6,5,SENSORS,,1506949829,46351157,'','','',,0,0,'','','',False,'','',SUCCESS,robot,'',''
1.50695006716148E+018,7,0,MANAGER,,1506950067,161189186,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50695007300062E+018,7,0,SENSORS,,1506950073,423223,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50695008867026E+018,8,0,MANAGER,,1506950088,670031970,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50695009749884E+018,8,1,SENSORS,,1506950097,498644726,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50695011436046E+018,9,0,MANAGER,,1506950114,360227489,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50695012349938E+018,9,1,SENSORS,,1506950123,499109614,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50695014002556E+018,10,0,MANAGER,,1506950140,25331653,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
