rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50703209545645E+018,1,0,MANAGER,,1507032095,455963582,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50703209654057E+018,1,0,HUMAN,,1507032096,539061054,beginner,stubborn,YES,,1507032096,390545392,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50703209664639E+018,1,1,ROBOT,,1507032096,644970189,'','','',,1507032096,644884096,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50703209829841E+018,1,1,ROBOT,,1507032098,297577845,'','','',,1507032096,644884096,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50703210462287E+018,1,1,SENSORS,,1507032104,622721678,'','','',,0,0,'','','',False,'','',SUCCESS,human,'',''
1.50703210570548E+018,1,1,OBSERVATION,,1507032105,704244645,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.5070321102905E+018,1,1,HUMAN,,1507032110,289323709,beginner,stubborn,YES,,1507032099,359934445,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50703211096765E+018,1,2,ROBOT,,1507032110,966608928,'','','',,1507032106,944640089,planning for grasping,MayBeTired,GlobalSuccess,False,'','','','',6,5.88
1.50703211325553E+018,1,2,OBSERVATION,,1507032113,254329460,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),SUCCESS,human,'',''
1.50703211451348E+018,1,2,HUMAN,,1507032114,511996923,beginner,stubborn,YES,,1507032112,28527410,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50703212387715E+018,2,0,MANAGER,,1507032123,875870227,beginner,stubborn,YES,,0,0,'','','',False,'','',START,'','',''
1.50703212505926E+018,2,0,HUMAN,,1507032125,57819355,beginner,stubborn,YES,,1507032124,785381907,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50703212652912E+018,2,1,ROBOT,,1507032126,528123459,'','','',,1507032125,72248634,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50703212987245E+018,2,1,OBSERVATION,,1507032129,870968256,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
1.50703213453973E+018,2,1,HUMAN,,1507032134,538626215,beginner,stubborn,YES,,1507032127,592234666,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50703213598157E+018,2,2,ROBOT,,1507032135,980483686,'','','',,1507032131,135813312,planning for grasping,MayNotBeCapable,MayNotBeCapable,True,'','','','',0,0
1.50703213908886E+018,2,2,OBSERVATION,,1507032139,87633098,'','','',,0,0,'','','',False,LA (not OV),LA (not OV),ONGOING,'','',''
