task_id,task_init_secs,task_init_nsecs,acted_secs,acted_nsecs,taken_action,belief_state,real_state,human_state,human_mood,human_trust,isEstimationCorrect,immediate_reward,total_disc_reward,warning_received,need_help_est,
1,1507032095,455963582,1507032096,644884096,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
1,1507032095,455963582,1507032106,944640089,planning for grasping,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
2,1507032123,875870227,1507032125,72248634,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
2,1507032123,875870227,1507032131,135813312,planning for grasping,MayNotBeCapable,MayNotBeCapable,Evaluating,stubborn,YES,True,0,0,0,,
2,1507032123,875870227,1507032140,380649683,grasp,GlobalSuccess,GlobalSuccess,FailedToGrasp,stubborn,YES,True,6,5.7624,0,,
3,1507032168,249383772,1507032169,426407797,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
3,1507032168,249383772,1507032179,653093090,idle,GlobalSuccess,GlobalSuccess,TaskHuman,thinker,YES,True,6,5.88,0,,
4,1507032191,868320640,1507032193,71651191,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
4,1507032191,868320640,1507032204,27558194,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
5,1507032216,183273584,1507032217,371842866,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
5,1507032216,183273584,1507032227,791522178,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.88,0,,
6,1507032266,377907528,1507032267,574341180,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,,
6,1507032266,377907528,1507032277,701208976,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.88,0,,
7,1507032290,283394446,1507032291,458924216,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
7,1507032290,283394446,1507032306,49795573,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
8,1507032320,313431129,1507032321,497797226,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
8,1507032320,313431129,1507032332,428862179,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.88,0,,
9,1507032344,704684981,1507032345,901542303,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,,
9,1507032344,704684981,1507032357,384781678,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.88,0,,
10,1507032370,173691656,1507032371,361032442,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
10,1507032370,173691656,1507032385,495513921,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
11,1507032396,995991386,1507032398,171598246,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
11,1507032396,995991386,1507032405,457147432,idle,MayNotBeCapable,MayNotBeCapable,Evaluating,stubborn,YES,True,0,0,0,,
11,1507032396,995991386,1507032416,476194915,idle,GlobalSuccess,GlobalSuccess,FailedToGrasp,stubborn,YES,True,6,5.7624,0,,
12,1507032429,348837230,1507032430,509918543,idle,TaskHuman,NoFocus,TaskHuman,stubborn,YES,True,0,0,0,,
12,1507032429,348837230,1507032440,1611780,planning for grasping,NoFocus,NoFocus,NoAttention,stubborn,YES,True,0,0,0,,
12,1507032429,348837230,1507032454,165400957,planning for grasping,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.7624,0,,
13,1507032471,211882035,1507032472,395010831,idle,MayBeTired,MayBeTired,TaskHuman,tired,YES,True,0,0,0,,
13,1507032471,211882035,1507032483,27702730,idle,GlobalSuccess,GlobalSuccess,Evaluating,tired,YES,True,6,5.88,0,,
