rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_expertise,human_mood,human_trust,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50721417875629E+018,1,0,HUMAN,,1507214178,755139087,beginner,stubborn,YES,,1507214178,568788926,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50721418913887E+018,1,1,HUMAN,,1507214189,137413338,beginner,stubborn,YES,,1507214181,486661736,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50721419450716E+018,1,2,HUMAN,,1507214194,505250918,beginner,stubborn,YES,,1507214191,397178674,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50721421589779E+018,2,0,HUMAN,,1507214215,896732525,beginner,stubborn,YES,,1507214215,651742167,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50721422733012E+018,2,1,HUMAN,,1507214227,328854110,beginner,stubborn,YES,,1507214219,682086769,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50721423161634E+018,2,2,HUMAN,,1507214231,615098984,beginner,stubborn,YES,,1507214229,271666822,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50721424222808E+018,3,0,HUMAN,,1507214242,226482883,beginner,stubborn,YES,,1507214242,17455669,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50721425326282E+018,3,1,HUMAN,,1507214253,261201799,beginner,stubborn,YES,,1507214245,947280036,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50721425871336E+018,3,2,HUMAN,,1507214258,711957063,beginner,stubborn,YES,,1507214256,316639207,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50721426619776E+018,4,0,HUMAN,,1507214266,196610999,beginner,stubborn,YES,,1507214265,952834081,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50721427601261E+018,4,1,HUMAN,,1507214276,11204995,beginner,stubborn,YES,,1507214268,727446943,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50721427998558E+018,4,2,HUMAN,,1507214279,983354487,beginner,stubborn,YES,,1507214278,11109313,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50721428860586E+018,5,0,HUMAN,,1507214288,604906083,beginner,stubborn,YES,,1507214288,488866033,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50721429990927E+018,5,1,HUMAN,,1507214299,907930881,beginner,stubborn,YES,,1507214292,254505201,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50721430438315E+018,5,2,HUMAN,,1507214304,381835463,beginner,stubborn,YES,,1507214302,290002596,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.5072143125573E+018,6,0,HUMAN,,1507214312,556063333,beginner,stubborn,YES,,1507214312,391349176,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50721432387317E+018,6,1,HUMAN,,1507214323,871822767,beginner,stubborn,YES,,1507214316,556763142,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50721432889402E+018,6,2,HUMAN,,1507214328,892652407,beginner,stubborn,YES,,1507214326,409641492,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50721433659313E+018,7,0,HUMAN,,1507214336,589429419,beginner,stubborn,YES,,1507214336,442730156,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.5072143486522E+018,7,1,HUMAN,,1507214348,650327437,beginner,stubborn,YES,,1507214341,42852687,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50721435312658E+018,7,2,HUMAN,,1507214353,124476907,beginner,stubborn,YES,,1507214350,603433429,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50721436197672E+018,8,0,HUMAN,,1507214361,975533943,beginner,stubborn,YES,,1507214361,732096593,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50721437240675E+018,8,1,HUMAN,,1507214372,405498867,beginner,stubborn,YES,,1507214366,83425736,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50721438241197E+018,8,2,HUMAN,,1507214382,410619629,beginner,stubborn,YES,,1507214374,451721220,grasp,FailedToGrasp,FailedToGrasp,True,'','','','','',''
1.50721438699403E+018,8,3,HUMAN,,1507214386,992590069,beginner,stubborn,YES,,1507214384,522184182,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50721439897514E+018,9,0,HUMAN,,1507214398,973684421,beginner,stubborn,YES,,1507214398,922406727,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50721440932285E+018,9,1,HUMAN,,1507214409,321598613,beginner,stubborn,YES,,1507214403,339224938,idle,Evaluating,Evaluating,True,'','','','','',''
1.5072144176045E+018,9,2,HUMAN,,1507214417,603044879,beginner,stubborn,YES,,1507214410,398205736,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50721442209653E+018,9,3,HUMAN,,1507214422,94914348,beginner,stubborn,YES,,1507214419,428832849,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.5072144361615E+018,10,0,HUMAN,,1507214436,160080868,beginner,stubborn,YES,,1507214435,993674765,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50721444462311E+018,10,1,HUMAN,,1507214444,621726178,beginner,stubborn,YES,,1507214438,940172721,idle,Evaluating,Evaluating,True,'','','','','',''
1.50721445542677E+018,10,2,HUMAN,,1507214455,425397137,beginner,stubborn,YES,,1507214447,720363659,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5072144598775E+018,10,3,HUMAN,,1507214459,876040689,beginner,stubborn,YES,,1507214457,544678675,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50721447316111E+018,11,0,HUMAN,,1507214473,160038549,beginner,stubborn,YES,,1507214472,967753484,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50721448560806E+018,11,1,HUMAN,,1507214485,606812309,beginner,stubborn,YES,,1507214477,859547375,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50721448994727E+018,11,2,HUMAN,,1507214489,945960211,beginner,stubborn,YES,,1507214487,451706298,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50721450184108E+018,12,0,HUMAN,,1507214501,839953073,beginner,stubborn,YES,,1507214501,709187640,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50721451399151E+018,12,1,HUMAN,,1507214513,990150272,beginner,stubborn,YES,,1507214506,873794418,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50721452146164E+018,12,2,HUMAN,,1507214521,460127342,beginner,stubborn,YES,,1507214519,24421959,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50721452934073E+018,13,0,HUMAN,,1507214529,339207191,beginner,stubborn,YES,,1507214529,185447266,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50721454363449E+018,13,1,HUMAN,,1507214543,632599902,beginner,stubborn,YES,,1507214536,129445995,grasp,Evaluating,Evaluating,True,'','','','','',''
1.50721454818081E+018,13,2,HUMAN,,1507214548,179421488,beginner,stubborn,YES,,1507214545,531786891,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50721458877519E+018,14,0,HUMAN,,1507214588,773634824,beginner,stubborn,YES,,1507214588,445778133,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.50721459780724E+018,14,1,HUMAN,,1507214597,805680353,beginner,stubborn,YES,,1507214592,106857605,grasp,Evaluating,Evaluating,True,'','','','','',''
1.5072146084215E+018,14,2,HUMAN,,1507214608,420093656,beginner,stubborn,YES,,1507214600,471763344,grasp,FailedToGrasp,FailedToGrasp,True,'','','','','',''
1.50721461269244E+018,14,3,HUMAN,,1507214612,690978553,beginner,stubborn,YES,,1507214610,206061382,idle,GlobalSuccess,GlobalSuccess,True,'','','','','',''
1.50721462019253E+018,15,0,HUMAN,,1507214620,191609396,beginner,thinker,YES,,1507214620,126789376,idle,TaskHuman,GlobalSuccess,False,'','','','','',''
1.5072146294252E+018,15,1,HUMAN,,1507214629,423534176,beginner,thinker,YES,,1507214624,223348228,idle,NoAttention,NoAttention,True,'','','','','',''
