task_id,task_init_secs,task_init_nsecs,acted_secs,acted_nsecs,taken_action,belief_state,real_state,human_state,human_mood,human_trust,isEstimationCorrect,immediate_reward,total_disc_reward,warning_received,Need Est.,
1,1507214177,712829243,1507214178,882846505,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
1,1507214177,712829243,1507214189,136500584,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
2,1507214214,774731697,1507214215,956051208,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
2,1507214214,774731697,1507214227,327909103,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.88,0,,
3,1507214241,134113552,1507214242,342058466,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,,
3,1507214241,134113552,1507214253,255689848,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.88,0,,
4,1507214265,69580207,1507214266,254627183,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
4,1507214265,69580207,1507214276,10210517,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
5,1507214287,618213184,1507214288,805680903,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
5,1507214287,618213184,1507214299,906757634,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.88,0,,
6,1507214311,479075676,1507214312,663316948,idle,TaskHuman,TaskHuman,GlobalSuccess,stubborn,YES,True,0,0,0,,
6,1507214311,479075676,1507214323,870914888,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.88,0,,
7,1507214335,581816180,1507214336,762594990,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
7,1507214335,581816180,1507214348,649333325,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
8,1507214360,862823536,1507214362,72967317,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
8,1507214360,862823536,1507214369,250875249,planning for grasping,MayNotBeCapable,MayNotBeCapable,Evaluating,stubborn,YES,True,0,0,0,,
8,1507214360,862823536,1507214382,409570406,idle,GlobalSuccess,GlobalSuccess,FailedToGrasp,stubborn,YES,True,6,5.7624,0,,
9,1507214398,43703297,1507214399,244258586,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
9,1507214398,43703297,1507214406,186333003,planning for grasping,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
9,1507214398,43703297,1507214417,599778929,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.7624,0,,
10,1507214435,100465913,1507214436,285510110,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
10,1507214435,100465913,1507214441,502598049,planning for grasping,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
10,1507214435,100465913,1507214455,424322064,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.7624,0,,
11,1507214472,76405814,1507214473,285365383,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
11,1507214472,76405814,1507214485,605885362,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.88,0,,
12,1507214500,826751096,1507214502,18569527,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
12,1507214500,826751096,1507214513,988945715,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
13,1507214528,333502586,1507214529,518676914,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
13,1507214528,333502586,1507214543,631563794,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.88,0,,
14,1507214587,598090929,1507214588,811942693,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
14,1507214587,598090929,1507214594,679299367,planning for grasping,MayNotBeCapable,MayNotBeCapable,FailedToGrasp,stubborn,YES,True,0,0,0,,
14,1507214587,598090929,1507214608,419104274,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.7624,0,,
15,1507214619,238438833,1507214620,428186583,idle,TaskHuman,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,,
15,1507214619,238438833,1507214626,272793958,planning for grasping,TaskHuman,TaskHuman,NoAttention,thinker,YES,True,0,0,0,,
15,1507214619,238438833,1507214634,77330839,idle,TaskHuman,MayNotBeCapable,Evaluating,thinker,YES,True,0,0,0,,
15,1507214619,238438833,1507214641,370963392,planning for grasping,MayNotBeCapable,TaskHuman,TaskHuman,thinker,YES,True,0,0,0,,
15,1507214619,238438833,1507214645,718939016,grasp,NeedsHelp,GlobalSuccess,NoAttention,thinker,YES,True,6,5.53421,0,1,
16,1507214668,694969306,1507214669,912847511,idle,TaskHuman,MayBeTired,Evaluating,tired,YES,False,0,0,0,,
16,1507214668,694969306,1507214676,794382846,planning for grasping,NoFocus,MayBeTired,TaskHuman,tired,YES,False,0,0,0,,
16,1507214668,694969306,1507214684,78157350,planning for grasping,NoFocus,MayBeTired,Evaluating,tired,YES,False,0,0,0,,
16,1507214668,694969306,1507214689,175358238,point to remind,NeedsToBeReminded,MayBeTired,Evaluating,tired,YES,False,0,0,0,,
16,1507214668,694969306,1507214703,407334539,idle,GlobalSuccess,GlobalSuccess,TaskHuman,tired,YES,True,6,5.53421,0,,
17,1507214731,783007419,1507214732,950211840,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
17,1507214731,783007419,1507214743,243859855,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
18,1507214754,989060410,1507214756,181729019,idle,TaskHuman,TaskHuman,FailedToGrasp,thinker,YES,True,0,0,0,,
