task_id,task_init_secs,task_init_nsecs,acted_secs,acted_nsecs,taken_action,belief_state,real_state,human_state,human_mood,human_trust,isEstimationCorrect,immediate_reward,total_disc_reward,warning_received,Needs Est.,
1,1507226359,548627813,1507226360,780472478,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
1,1507226359,548627813,1507226371,129396057,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
2,1507226380,417699002,1507226381,631469898,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
2,1507226380,417699002,1507226391,913165802,idle,GlobalSuccess,GlobalSuccess,Evaluating,stubborn,YES,True,6,5.88,0,,
3,1507226401,974394564,1507226403,171612304,idle,TaskHuman,TaskHuman,FailedToGrasp,stubborn,YES,True,0,0,0,,
3,1507226401,974394564,1507226408,358418500,idle,MayNotBeCapable,MayNotBeCapable,TaskHuman,stubborn,YES,True,0,0,0,,
3,1507226401,974394564,1507226412,506003851,planning for grasping,MayNotBeCapable,MayNotBeCapable,Evaluating,stubborn,YES,True,0,0,0,,
3,1507226401,974394564,1507226425,377260872,idle,GlobalSuccess,GlobalSuccess,FailedToGrasp,stubborn,YES,True,6,5.64715,0,,
4,1507226439,90372413,1507226440,279801794,idle,TaskHuman,TaskHuman,,,,True,0,0,0,,
4,1507226439,90372413,1507226453,596173022,idle,GlobalSuccess,GlobalSuccess,,,,True,6,5.88,0,,
5,1507226467,889471585,1507226469,127956534,idle,TaskHuman,TaskHuman,TaskHuman,stubborn,YES,True,0,0,0,,
5,1507226467,889471585,1507226473,654065167,idle,MayNotBeCapable,MayNotBeCapable,Evaluating,stubborn,YES,True,0,0,0,,
5,1507226467,889471585,1507226478,9583978,planning for grasping,MayNotBeCapable,MayNotBeCapable,FailedToGrasp,stubborn,YES,True,0,0,0,,
5,1507226467,889471585,1507226489,636568420,idle,GlobalSuccess,GlobalSuccess,TaskHuman,stubborn,YES,True,6,5.64715,0,,
6,1507226504,874280964,1507226506,87809852,idle,TaskHuman,TaskHuman,Evaluating,stubborn,YES,True,0,0,0,,
6,1507226504,874280964,1507226516,69208548,idle,GlobalSuccess,GlobalSuccess,GlobalSuccess,stubborn,YES,True,6,5.88,0,,
7,1507226526,514989655,1507226527,707234299,idle,TaskHuman,TaskHuman,GlobalSuccess,thinker,YES,True,0,0,0,,
7,1507226526,514989655,1507226533,202896824,planning for grasping,TaskHuman,TaskHuman,,,,True,0,0,0,,
