rosbagTimestamp,task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_expertise,human_mood,human_trust,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,real_obs_received,obs_with_noise,task_status,who_succeeded,immediate_reward,total_disc_reward
1.50722636078211E+018,1,1,ROBOT,,1507226360,780573590,'','','',,1507226360,780472478,idle,TaskHuman,TaskHuman,True,'','','','','',''
1.50722636217604E+018,1,1,ROBOT,,1507226362,174957806,'','','',,1507226360,780472478,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722637113671E+018,1,2,ROBOT,,1507226371,135489432,'','','',,1507226371,129396057,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50722638293581E+018,2,1,ROBOT,,1507226382,934543073,'','','',,1507226381,631469898,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722639192093E+018,2,2,ROBOT,,1507226391,919781821,'','','',,1507226391,913165802,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50722640471288E+018,3,1,ROBOT,,1507226404,711506587,'','','',,1507226403,171612304,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722640923776E+018,3,2,ROBOT,,1507226409,236213161,'','','',,1507226408,358418500,idle,MayNotBeCapable,MayNotBeCapable,True,'','','','',0,0
1.50722641676606E+018,3,3,ROBOT,,1507226416,764571955,'','','',,1507226412,506003851,planning for grasping,MayNotBeCapable,TaskHuman,False,'','','','',0,0
1.50722642696594E+018,3,4,ROBOT,,1507226426,964523301,'','','',,1507226425,377260872,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.64715
1.50722644517378E+018,4,1,ROBOT,,1507226445,172481833,'','','',,1507226440,279801794,idle,TaskHuman,TaskHuman,True,'','','','',0,0
1.50722645579813E+018,4,2,ROBOT,,1507226455,796335889,'','','',,1507226453,596173022,idle,GlobalSuccess,GlobalSuccess,True,'','','','',6,5.88
1.50722647002481E+018,5,1,ROBOT,,1507226470,22894560,'','','',,1507226469,127956534,idle,TaskHuman,TaskHuman,True,'','','','',0,0
